ACCE_ABSORB	Absorption des bonus
HELP_OPEN_CHAT	Ouvrir le tchat : Entrée
HELP_OPEN_INVENTORY	Ouvrir l'inventaire : I
HELP_OPEN_LOG	Ouvrir historique des tchats: L
HELP_OPEN_MINIMAP	Ouvrir mini-carte : Shift + M
HELP_OPEN_QUEST	Ouvrir fenêtre de missions : N
HELP_OPEN_SKILL	Ouvrir arbre de compétences : V
HELP_OPEN_WHISPER	Mode chuchotement : Shift + Entrée
HELP_OPEN_ZONEMAP	Ouvrir carte d'aperçu : M
HELP_PICK_ITEM	Ramasser objets : w ou ² ou touche gauche de la souris
HELP_QUICKSLOT	Objets en accès rapide
HELP_SCREEN_CAPTURE	Enregistrer capture d'écran : Imprim Ecran (print scr) (enreg. dans "Metin2/screenshot")
HELP_SHOW_ALL_NAME	Afficher les noms : Alt
HELP_SP	Points de mana (PM)
HELP_SYSTEM_BUTTON	Touches systèmes
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Inventaire
INVENTORY_TITLE	Inventaire
ITEM_MALL	Boutique
LOAD_ERROR	Le fichier est endommagé. Veuillez en installer un nouveau. Appuyez à présent sur Echapp
LOGIN_CONNECT	Se connecter
LOGIN_CONNECTING	Vous devez être connecté au serveur
LOGIN_DEFAULT_SERVERADDR	Nom du serveur, Canal 1
LOGIN_EXIT	Sortie
LOGIN_REGION_TITLE	Choisissez un emplacement pour émettre un compte
LOGIN_SELECT_BUTTON	Choisissez
LOGIN_SELECT_EXIT	Sortie
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Choisissez un serveur
MALL_PASSWORD_TITLE	Mot de passe
MALL_TITLE	Entrepôt de la boutique
MARKET_TITLE	Charger
MARKLIST_REFRESH	Rafraîchir
MARKLIST_TITLE	Enregistrer le symbole de Guilde
MESSAGE	Ceci est un message
MESSENGER_ADD_FRIEND	Ajouter un(e) ami(e)
MESSENGER_DELETE_FRIEND	Supprimer
MESSENGER_MOBILE	Envoyer un message
MESSENGER_OPEN_GUILD	Ouvrir la fenêtre de Guilde
MESSENGER_TITLE	Amis
MESSENGER_USE_GUILD_MOVE_SKILL	Utilisez la compétence de Guilde de mouvement
MESSENGER_WHISPER	Chuchoter
MINIMIZE	Minimiser
MOUSEBUTTON_ATTACK	Attaquer
MOUSEBUTTON_AUTO_ATTACK	Attaquer automatiquement
MOUSEBUTTON_CAMERA	Caméra
MOUSEBUTTON_SKILL	Compétences
MUSICLIST_TITLE	Choix des musiques
NO	Non
OK	OK
OPTION_ALWAYS_SHOW_NAME	Nom
OPTION_ALWAYS_SHOW_NAME_OFF	Restreint
OPTION_ALWAYS_SHOW_NAME_ON	Toujours
OPTION_BLOCK	Bloquer
OPTION_BLOCK_EXCHANGE	Echanger
OPTION_BLOCK_FRIEND	Amis
OPTION_BLOCK_GUILD	Guilde
OPTION_BLOCK_PARTY	Groupe
OPTION_BLOCK_PARTY_REQUEST	Demander
OPTION_BLOCK_WHISPER	Chuchoter
OPTION_CAMERA_DISTANCE	Caméra
OPTION_CAMERA_DISTANCE_LONG	Loin
OPTION_CAMERA_DISTANCE_SHORT	Proche
OPTION_DELETE_MOBILE_BUTTON	Effacer le numéro de téléphone portable
OPTION_EFFECT	Infos combat
OPTION_FOG	Brouillard
OPTION_FOG_DENSE	Épais
OPTION_FOG_LIGHT	Léger
OPTION_FOG_MIDDLE	Moyen
OPTION_INPUT_MOBILE_BUTTON	Entrer le numéro de téléphone portable
OPTION_MOBILE	Téléphone portable
OPTION_MUSIC	Musique
OPTION_MUSIC_CHANGE	Changer
OPTION_MUSIC_DEFAULT_THEMA	Musique standard de Metin2
OPTION_NAME_COLOR	Couleur
OPTION_NAME_COLOR_EMPIRE	Empire
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	Mode PvP
OPTION_PVPMODE_FREE	Libre
OPTION_PVPMODE_FREE_TOOLTIP	Vous êtes autorisé à attaquer tous les joueurs.
OPTION_PVPMODE_GUILD	Guilde
OPTION_PVPMODE_GUILD_TOOLTIP	Vous pouvez attaquer tous les joueurs exceptés les membres de votre guilde.
OPTION_PVPMODE_PEACE	Paix
OPTION_PVPMODE_PEACE_TOOLTIP	Il est interdit d'attaquer un joueur de son empire.
OPTION_PVPMODE_REVENGE	Ennemi
OPTION_PVPMODE_REVENGE_TOOLTIP	Vous ne pouvez attaquer que les joueurs ayant un autre alignement.
OPTION_SOUND	Bruitages
OPTION_TARGET_BOARD	Menu cible
OPTION_TARGET_BOARD_NO_VIEW	Fermer
OPTION_TARGET_BOARD_VIEW	Montrer
OPTION_TILING	Mém. graph.
OPTION_TILING_APPLY	Appliquer
OPTION_TILING_CPU	Processeur
OPTION_TILING_GPU	GPU
OPTION_TITLE	Options
OPTION_VIEW_CHAT	Discussion
OPTION_VIEW_CHAT_OFF	Cacher
OPTION_VIEW_CHAT_ON	Montrer
PARTY_MEMBER_INFO_NAME	Nom du membre du groupe
PASSWORD_DESC_1	Veuillez saisir votre mot de passe
PASSWORD_DESC_2	afin d'ouvrir l'entrepôt.
PASSWORD_DESC_3	Vous avez déjà changé votre mot de passe ?
PASSWORD_DESC_4	Si ce n'est pas le cas, votre mot de passe est : « 000000 ».
PASSWORD_DESC_5	Changez votre mot de passe dans l'entrepôt.
PASSWORD_TITLE	Retenir le mot de passe
PICK_MONEY_TITLE	Séparer
PRIVATE_SHOP_CLOSE_BUTTON	Fermer magasin
PRIVATE_SHOP_NAME	Nom du magasin
PRIVATE_SHOP_TITLE	Ouvrir magasin privé
OFFLINE_SHOP_CREATE_TITLE	Créer une boutique Hors-Ligne
REFINE_COST	Coût de la progression : 0 Yang
REFINE_INFO	Probabilité de réussir l'amélioration : 100%
REFINE_TTILE	Augmentations
REPORT_VIOLENT_WHISPER	Furtif
RESTART_HERE	Recommencer ici
RESTART_TOWN	Recommencer dans la cité
SAFE_CHANGE_PASSWORD	Changer le mot de passe
SAFE_TITLE	Entrepôt
SELECT_ATT_GRADE	STR
SELECT_CREATE	Créer
SELECT_DELETE	Effacer
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nom de l'Empire
SELECT_EXIT	Fermer
SELECT_HP	VIT
SELECT_LEVEL	Niveau
SELECT_METIN_STONE_TITLE	Sélectionner une pierre d'Esprit
SELECT_NAME	Nom
SELECT_NO_GUILD	Pas de Guilde
SELECT_PLAYTIME	Temps de jeu
SELECT_SELECT	Commencer
SELECT_SP	INT
SELECT_TITLE	Choisir un titre
SHOP_BUY	Acheter
SHOP_SELL	Vendre
SHOP_TITLE	Magasin
SKILL_SUPPORT_TITLE	Compétences standards
SYSTEMOPTION_TITLE	Options système
SYSTEM_CHANGE	Changer de personnage
SYSTEM_EXIT	Fin du jeu
SYSTEM_HELP	Aide
SYSTEM_LOGOUT	Déconnecter
SYSTEM_MALL	Boutique
SYSTEM_OPTION	Options système
TASKBAR_MONEY	Barre d'argent
TASKBAR_CHARACTER	Personnage [C/V/B/N]
TASKBAR_CHAT	Fenêtre de tchat [Enter]
TASKBAR_DISABLE	Désactivée
TASKBAR_EXPAND	Agrandir la fenêtre
TASKBAR_INVENTORY	Inventaire [I]
TASKBAR_MESSENGER	Liste d'amis [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Accès rapide au champ de bataille suivant [Shift+Nombre, Alt]
TASKBAR_PREV_QUICKSLOT	Accès rapide au champ de bataille précédent [Shift+Nombre]
TASKBAR_SYSTEM	Options[ESC]
WHISPER_BAN	Ignorer
WHISPER_NAME	Chuchoter
WHISPER_REPORT	rapport
WHISPER_SEND	Envoyer
YES	Oui
ZONE_MAP	Carte d'aperçu
INVENTORY_SORT	Trier
GUILD_SAFE_TITLE	Entrepôt de guilde
GUILD_SAFEBOX_MONEY_TITLE	Entrepôt de guilde - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	Combien de yang voulez-vous déposer ou retirer ?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Dépôt
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Se retirer
GUILD_SAFE_LOG_TITLE	Historique d’entrepôt de guilde
GUILD_SAFE_LOG_BUTTON	Logs
ACCOUNT_PASSWORD_Q	Oublié ?
BDAY_EVENT_DESC_D1	Tuez le maximum de Boss
ACCOUNT_USERNAME_Q	Nom de compte oublié ?
ACCOUNT_REGISTER	S'inscrire ?
ACCOUNT_REGISTER_Q	Vous n'avez pas de compte ?
ACCOUNT_CHANNEL	Channel %d
ACCOUNT_USERNAME_LABEL	Nom du compte / ID
ACCOUNT_PASSWORD_LABEL	Mot de passe
ACCOUNT_LOGIN	Connexion
ACCOUNT_YOUR_ACCLIST	Vos comptes
SELECT_LANGUAGE_TITLE	Langue
LOGIN_EMPTY	[Save acc]
COSTUME_WINDOW_TITLE	Costumes
COSTUME_TITLE	Costumes Ouverts
SYSTEM_CHANNEL	Changer de CH
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	Ma boutique hors ligne
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Vitalité
PET_STAT2_NAME	Force
PET_STAT3_NAME	Intelligence
PET_STAT4_NAME	Agilité
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Force contre les Monstre
MOUNT_STAT2_NAME	Défense contre les Monstres
MOUNT_STAT3_NAME	Force contre les Metins
MOUNT_STAT4_NAME	Force contre les Bosses
CHARACTER_VALUE	Propriétés
CHARACTER_STATISTIC	Bonus
CHAR_STAT_MVSPD	Vitesse de déplacement :
CHAR_STAT_ATSPD	Vitesse d'attaque:
CHAR_STAT_SPSPD	Vitesse du sort:
CHAR_STAT_MAGIC_ATK	Attaque magique :
CHAR_STAT_NORMAL_ATK	Attaque normale :
CHAR_STAT_MAGIC_DEF	Défense magique :
CHAR_STAT_NORMAL_DEF	Défense normale :
CHAR_STAT_DODGE	Esquivez:
CHAR_MAIN_HP	(VIT) Vitalité :
CHAR_MAIN_INT	(INT) Intelligence:
CHAR_MAIN_STR	(STR) Force:
CHAR_MAIN_DEX	(DEX) Agilité:
CHAR_MAIN_POINTS	Points disponibles :
CHARACTER_BONI_ATTACK	Attaque
CHARACTER_BONI_DEFENSE	Défense
CHARACTER_BONI_PVM	Monster (PVM)
CHARACTER_BONI_PVP	Joueur (PVP)
CHAR_HP	(PV) Vie
CHAR_MP	Mana (PM)
CHAR_EXP_OF	Désactiver
CHARACTER_ANTI_EXP_ACTIVE	Gain d’expérience: Désactivée
CHARACTER_ANTI_EXP_INACTIVE	Prendre de l'expérience : Activé
QUEST_CATEGORIE_1	Générale
QUEST_CATEGORIE_2	Passe de combat
TASKBAR_OPEN_CHAT	Chat ouvert
DRAGONSOUL_ACTIVATE	Activer
DRAGONSOUL_REFINE_OPEN	Améliorer
DRAGONSOUL_PAGE_BUTTON_1	Brute
DRAGONSOUL_PAGE_BUTTON_2	Taillée
DRAGONSOUL_PAGE_BUTTON_3	Rare
DRAGONSOUL_PAGE_BUTTON_4	Antique
DRAGONSOUL_PAGE_BUTTON_5	Légendaire
DRAGONSOUL_REFINE_WINDOW_TITLE	Fenêtre de raffinage
DRAGONSOUL_TAP_TITLE_1	Diamant-dragon
DRAGONSOUL_TAP_TITLE_2	Rubis-dragon
DRAGONSOUL_TAP_TITLE_3	Jade-dragon
DRAGONSOUL_TAP_TITLE_4	Saphir-dragon
DRAGONSOUL_TAP_TITLE_5	Grenat-dragon
DRAGONSOUL_TAP_TITLE_6	Onyx-dragon
DRAGONSOUL_TITLE	Alchimie des pierres-dragons
GRADE_SELECT	Classe
STEP_SELECT	Degré de pureté
STRENGTH_SELECT	Niveau
DO_REFINE	Raffiner
GAYA_SHOP_TITLE	Boutique Gaya
AUCTION_INFORMER_WINDOW_TITLE	Article vendu
AUCTION_WINDOW_TITLE	Recherche magasin
AUCTION_PAGE_BUTTON_BUY	Acheter
AUCTION_PAGE_BUTTON_SELL	Vendre
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Nom de l'article.....
AUCTION_SEARCH_BUTTON_TEXT	Rechercher
AUCTION_SEARCH_RESET_BUTTON_TEXT	Réinitialiser
AUCTION_LV_TEXT_1	Limite de niveau
AUCTION_LV_TEXT_2	à
AUCTION_PRICE_TEXT_1	Limite des coûts
AUCTION_PRICE_TEXT_2	à
AUCTION_PRICE_OVERLAY_2	-(illimité)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Afficher uniquement les articles de la maison de ventes aux enchères
AUCTION_ONLY_SELF_CHECKBOX	Afficher uniquement vos propres articles
AUCTION_ORDER_TITLE	Options de tri
AUCTION_ORDER_BUTTON_NAME	Nom d'objet
AUCTION_ORDER_BUTTON_PRICE	Prix
AUCTION_ORDER_BUTTON_DATE	Date d'embauche
AUCTION_SELL_NO_ITEM_TEXT	Faites glisser un article dans cette fenêtre pour le sélectionner à la vente.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	L'option Vendre est actuellement désactivée pour la maison de ventes aux enchères.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Saisissez un prix...
AUCTION_SELL_ITEM_BUTTON	Ensemble
AUCTION_SELL_PRICE_TAX_INFO	Les articles que vous placez dans la maison de vente aux enchères seront facturés 9% de taxe. Le prix affiché est la valeur que le joueur doit payer. La valeur après que vous recevez montre combien de yang vous obtenez quand vous vendez.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Dix pages en arrière
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Dix pages plus loin
AUCTION_RACE_TEXT	classe
AUCTION_RACE_TEXT_1	Guerrier
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Chamane
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Mode sécurisé
MINI_GAME_RUMI_EXIT	Terminer
MINI_GAME_RUMI_LBUTTON_DESC	Clic gauche pour ajouter une carte
MINI_GAME_RUMI_RBUTTON_DESC	Clic droit pour supprimer une carte
MINI_GAME_RUMI_SCORE	Points
MINI_GAME_RUMI_START_TEXT	Commencer
MINI_GAME_RUMI_TITLE	Jeu de cartes Metin2 Okey
OPTION_ITEM_HIGHLIGHT	Nouveaux objets
OPTION_ITEM_HIGHLIGHT_ON	Marquer
OPTION_ITEM_HIGHLIGHT_OFF	Rien du tout
OPTION_GOLD_PICKUP	Message de Yang
OPTION_GOLD_PICKUP_ON	Activer
OPTION_GOLD_PICKUP_OFF	Inactive
WEB_LOADING_TITLE	Chargement du navigateur....
WEB_LOADING_DESC	Veuillez patienter un moment, s'il vous plaît.
ANTIEXP_TOOLTIP	Bloquer l'EXP!
OPTION_DISABLE_PICKUP	Ne pas ramasser
OPTION_DISABLE_PICKUP_ARMOR	Armures
OPTION_DISABLE_PICKUP_WEAPON	Armes
OPTION_DISABLE_PICKUP_ETC	Bijoux
GUILD_DRAGONLAIR_RANKING	Liste des meilleurs joueurs
GUILD_DRAGONLAIR_RANKING_COUNT	Place
GUILD_DRAGONLAIR_RANKING_MEMBER	Membres
GUILD_DRAGONLAIR_RANKING_NAME	Guilde
GUILD_DRAGONLAIR_RANKING_TIME	Temps
FAKEBUFF_SKILL_TITLE	Compétences-Buffi
ATTRTREE_TITLE_1	Guerrier
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Chamane
ATTRTREE_TITLE_5	offre spéciale
ATTRTREE_TITLE_6	Monstres
ATTRTREE_REFINE_TITLE	Améliorer
ATTRTREE_REFINE_UPGRADE	Améliorer
ATTRTREE_REFINE_CANCEL	Annuler
SELECT_METIN_DETACH_TITLE	Enlever la pierre
SELECT_METIN_DETACH_INFO	Sélectionnez la pierre que vous souhaitez enlever.
SELECT_METIN_DETACH_BUTTON	enlever
SELECT_ATTR_DETACH_TITLE	Supprimer le bonus
SELECT_ATTR_DETACH_INFO	Sélectionnez le bonus que vous souhaitez supprimer.
SELECT_ATTR_DETACH_BUTTON	enlever
QUEST_CATEGORIE_3	Event-Battlepass
QUEST_CATEGORIE_4	Battlepass illimité
OFFLINE_SHOP_RENEW_BUTTON	Renouveler
DO_REFINE_ALL	Raffiner tout
OPTION_QUEST_LETTER	Lettres de Quête
OPTION_QUEST_LETTER_SHOW	Montrer
OPTION_QUEST_LETTER_HIDE	Cacher
OPTION_PICKUP_ALL	Ramasser
OPTION_PICKUP_FAST	Toute
OPTION_PICKUP_SLOW	Unique
SHOP_SEARCH_SORT_DESC	Trier
SHOP_SEARCH_SORT_ALPHA_AZ	Alphabétiquement - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Ordre alphabétique - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Prix ​​unique croissant
SHOP_SEARCH_SORT_PRICE_DESC	Prix unique en baisse
SHOP_SEARCH_CAT_DESC	Catégories
SHOP_SEARCH_CAT_ALL	Toute
SHOP_SEARCH_CAT_WEAPON	Armes
SHOP_SEARCH_CAT_ARMOR	Armure
SHOP_SEARCH_CAT_JEWELLERY	Bijoux
SHOP_SEARCH_CAT_TALISMAN	Talisman
SHOP_SEARCH_CAT_DRAGONSOUL	L'alchimie de la pierre du dragon
SHOP_SEARCH_CAT_COSTUME	Costume
SHOP_SEARCH_CAT_COSTUME_BONI	Bonus Costume
SHOP_SEARCH_CAT_SKILLS	Sorts
SHOP_SEARCH_CAT_POTIONS	Potions
SHOP_SEARCH_CAT_USABLE	Articles de consommation
SHOP_SEARCH_CAT_FISHS	Poisson
SHOP_SEARCH_CAT_MOUNTS	Montures
SHOP_SEARCH_CAT_PETS	Compagnon
SHOP_SEARCH_CAT_OWNED	Mes objets
LOGIN_SHRINK	rétrécir
LOGIN_EXTEND	Agrandir
OPTION_USENIGHT	Mode nuit
OPTION_CAMERA_DISTANCE_HUGE	Très loin
SPLIT_ITEM	Séparation complète
PLAYER_SELECT_HAIR_TITLE	Choix Coiffure
EVENT_JOIN_TITLE	Rejoindre l'Event!
EVENT_JOIN_ACCEPT_BUTTON	Téléportation
EVENT_JOIN_DECLINE_BUTTON	Décliner
OPTION_SHOP_TITLE	Titre de la boutique
REFINE_FAST_CHECK	Ne fermez pas la fenêtre
GUILD_MEMBER_MELEY	Démarrer Meleys Lair
COMB_TITLE	Transfert de bonus Costume
