VNUM	LOCALE_NAME
1501	Stone Golem
1502	Stone Golem
1503	Giant Rock Golem
1601	Ogre Warrior
1602	Ogre Butcher
1603	Ogre Berserk
1901	Nine Tails
1902	Elite Nine Tails
1903	Elite Nine Tails
1904	Elite Nine Tails
1905	Elite Nine Tails
1906	Elite Nine Tails
2001	Baby Spider
2002	Poison Spider
2003	Red Poison Spider
2004	Claw Spider
2005	Soldier Spider
2031	Baby Poison Spider
2032	Deadly Poison Spider
2033	Red Angry Poison Spider
2034	Claw Poison Spider
2035	Soldier Poison Spider
2036	Proud Soldier Spider
2051	Mean Baby Poison Spider
2052	Mean Dead. Poison Spider
2053	Mean Red Poison Spider
2054	Mean Claw Poison Spider
2055	Mean Sold. Poison Spider
2061	Small Poison Spider
2062	Deadly Poison Spider
2063	Red Deadly Poison Spider
2064	Claw Poison Spider
2065	Soldier Poison Spider
2071	Best. Baby Poison Spider
2072	Best. Deadly Pois. Spider
2073	Best. Red Poison Spider
2074	Best. Claw Poison Spider
2075	Best. Sold. Pois. Spider
2076	Best. Strg. Poison Spider
2091	Queen Spider
2092	Spider Baroness
2093	Dark Queen Spider
2094	Spider Baron
2095	Spider Egg
2101	Desert Fox
2102	Desert Flying Eye
2103	King Scorpion
2104	Young Scorpion Man
2105	Scorpion Archer
2106	Snake Swordsman
2107	Snake Archer
2108	Desert Outlaw
2131	Bestial Scorpion Man
2132	Scorpion Archer
2133	Snake Swordman
2134	Snake Archer
2135	Desert Outlaw
2151	Strong Desert Fox
2152	Strong Dervish
2153	Strong Scorpion King
2154	Strong Scorpion Man
2155	Strong Scorpion Archer
2156	Strong Snake Swordman
2157	Strong Snake Archer
2158	Strong Desert Outlaw
2191	Giant Tortoise
2192	Dark Giant Tortoise
2201	Fighting Tiger Minion
2202	Flame Ghost
2203	Fighting Tiger
2204	Flame
2205	Flame Warrior
2206	Flame King
2207	Dark Flame King
2231	Strong Fight Tiger Slave
2232	Strong Flame Ghost
2233	Strong Fighting Tiger
2234	Strong Flame Ghost
2235	Strong Flame Warrior
2291	Red Dragon
2301	Ghost Tree
2302	Ghost Stump
2303	Dryad
2304	Ghost Willow
2305	Evil Tree
2306	Giant Ghost Tree
2307	Ghost Tree Lord
2311	Red Ghost Tree
2312	Red Ghost Stump
2313	Red Dryad
2314	Red Ghost Willow
2315	Red Evil Tree
2401	Setaou attaquant
2402	Setaou magiciant
2403	Setaou Mystique
2404	Setaou chef
2411	Setaou Soldat
2412	Setaou Archer
2413	Setaou Magique
2414	Setaou Commandant
2415	Setaou Commandant
2431	????
2432	????
2433	test
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Captain Yonghan
2492	General Yonghan
2493	Beran-Setaou
2494	Captain Huashin
2495	General Huashin
2501	Jellyfish of Hell
2502	Hell Hound
2503	Zombie
2504	Hell Officer
2505	Hell Guard
2506	Double-head Hell Archer
2507	Infernal Claw
2508	Hell Warrior
2509	Hell Archer
2510	Hell Spearman
2511	Hell Priest
2512	Hell Major
2513	Hell Slaughterer
2514	Hell General
2541	Evil Hell Warrior
2542	Evil Hell Archer
2543	Evil Hell Spearman
2544	Evil Hell Priest
2545	Evil Hell Major
2546	Evil Hell Slaughterer
2547	Evil Hell General
2591	Tartaros
2592	Hell Bastard
2593	Hell Bastard
2594	Hell Bastard
2595	Erebos
2596	Azrael's Spawn
2597	Charon
2598	Azrael
3001	Gnoll Warrior
3002	Gnoll Archer
3003	Gnoll Defender
3004	Gnoll Magician
3005	Gnoll General
3090	Gnoll Lord
3091	Supreme Gnoll Guard
3101	One-eyed Slugger
3102	Cyclops Soldier
3103	Cyclops Magician
3104	Cyclops Executioner
3105	General Outis
3190	Arges
3191	Polyphemos
3201	Manticore Warrior
3202	Manticore Soldier
3203	Manticore Magus
3204	Manticore Executioner
3205	General Cor
3290	Rakshasa
3291	Martyaxwar
3301	Lemures Warrior
3302	Lemures Soldier
3303	Lemures Magician
3304	Lemures Executioner
3305	Lemures General
3390	Lemures Prince
3391	Lemures Bodyguard
3401	Tritonic Moray
3402	Shark Soldier
3403	Tritonic Magician
3404	Tritonic Hunter
3405	Tritonic Slasher
3490	General Kappa
3491	Triton
3501	Red Thief Amazon
3502	Red Thief Assassin
3503	Red Thief Magician
3504	Red Thief Executioner
3505	Black General
3551	Brutal Red Thief Amazon
3552	Brut. Red Thief Assassin
3553	Brut. Red Thief Magician
3554	Brut.RedThiefExecutioner
3555	White General
3590	Bone Face
3591	Red Chief
3595	Brutal Bone Face
3596	Brutal Red Chief
3601	Crab Warrior
3602	Scorpion Marksman
3603	Shrimp Soldier
3604	Diabolical Hermit
3605	Armoured Crab
3690	General Lobster
3691	King Crab
3701	Gigantic Biter
3702	Gigantic Slaughterer
3703	Gigantic Magus
3704	Twiant
3705	Captain Hooks
3790	Gargoyle
3791	King Wubba
3801	Hangork
3802	Archie Ogre
3803	Brawl Ogre
3804	Ogre Magus
3805	General Ogg
3890	Captain Shruk
3891	The Great Ogre
3901	Willowman
3902	Eoten
3903	Skouman
3904	Captain Hooks
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Carnifex
3909	General Albus
3910	Skeletos
3911	Aku-Boku
3912	Arboretum
3913	Sycomore
3949	Portal: New Continent
3950	Kappa
3951	Lagoon Kappa
3952	Deep-Sea Kappa
3953	Kappa leader
3954	Moray soldier
3955	Deep-Sea Moray Warrior
3956	Siren Queen
3957	Hydras Crude
3958	Hydras Crude
3959	Hydras Crude
3960	Hydra
3961	Hydra
3962	Hydra
3963	Hydra
3964	Hydra
3965	Hydra's Treasure
3971	Guardian of the Labyrinth
3980	Maester Ebros
3981	Maester Aemon
4012	Blue coral creature
4013	Red coral creature
4014	Toxic coral creature
4015	Beach lobster
4016	Forest lobster
4017	Ocean lobster
4018	Deep water ogre
4019	Ocean naga
4020	Jungle lizard
4021	Water nightmare
4022	Brutal water nightmare
4023	Deep ocean creature
4024	King of oceans
5001	Pirate Tanaka
5002	Hae-Tae
5003	Monkey
5004	Pirate Tanaka
5101	Weak Ape Soldier
5102	Weak Ape Thrower
5103	Weak Ape Fighter
5104	Weak Ape General
5111	Apesoldier
5112	Apethrower
5113	Apefighter
5114	Apegeneral
5115	Stone Ape
5116	Ape Leader
5121	Strong Ape Soldier
5122	Strong Ape Thrower
5123	Strong Ape Fighter
5124	Strong Ape General
5125	Strong Stone Ape
5126	Strong Gold Ape
5127	Strong Leader Ape
5131	Clever small Apesoldier
5132	Clever small Apethrower
5133	Clever small Apefighter
5134	Clever small Apegeneral
5141	Clever Apesoldier
5142	Clever Apethrower
5143	Clever Apefighter
5144	Clever Apegeneral
5145	Clever Stoneape
5146	Clever Apeleader
5151	Evil strong Apesoldier
5152	Evil strong Apethrower
5153	Evil strong Apefighter
5154	Evil strong Apegeneral
5155	Evil strong Stoneape
5156	Evil strong Goldape
5157	Evil strong Apeleader
5161	Rock Ape
5162	Walking Ape
5163	Ape Lord
5201	Wild Dog
5202	Wild Boar
5203	Red Wild Boar
5204	Bear
5205	Brown Bear
5206	Black Bear
5207	Hungry Brown Bear
5208	Tiger
5209	White Tiger
6001	Ember Flame Ghost
6002	Ember Flame Tiger
6003	Ember Flame
6004	Ember Flame Warrior
6005	Ember Flame King
6006	Ember Flame Troll
6007	Ember Flame Beard
6008	Ember Flame General
6009	Ember Flame Chieftain
6051	Ignitor
6091	Razador
6101	Frost Crystal
6102	Frost Bug
6103	Frost Man
6104	Frost Yeti
6105	Frost Golem
6106	Frost Troll
6107	Frost Beard
6108	Frost General
6109	Frost Lord
6110	Magma Yeti
6111	Magma Golem
6112	Magma Bug
6113	Magma Men
6114	Magma Crystal
6115	Magma Wyvern
6116	Dragon Watcher Idall
6117	Idall's Minion
6118	Dragon Statue
6151	Szel
6191	Nemere
6192	Jotun Thrym
6193	Dragon Queen Meley
6201	Magma Yeti
6202	 Lava Golem
6203	 Magma Bug
6204	 Magma Man
6205	Magma Crystal
6206	Magma Wyvern
6207	 Dragon Watcher Idall
6209	 Dragon Statue
6301	Ochao Warrior
6302	Ochao Soldier
6303	Ochao Magician
6304	Ochao Executioner
6305	Ochao General
6306	Strong Ochao Warrior
6307	Strong Ochao Soldier
6308	Strong Ochao Magician
6309	Strong Ochao Executioner
6310	Strong Ochao General
6320	Guerrier de l'ombre
6321	Bagjanamu
6322	Guerrier de l'ombre brutale
6391	Ochao Lord
6392	Ochao Bodyguard
6393	Strong Ochao Lord
6394	Strong Ochao Bodyguard
6401	En-Tai Warrior
6402	En-Tai Soldier
6403	En-Tai Druid
6404	En-Tai Healer
6405	En-Tai Guardian
6406	En-Tai Destroyer
6407	En-Tai-Light King
6408	En-Tai-Shadow King
6409	Ochao Healer
6410	Strong En-Tai Warrior
6411	Strong En-Tai Soldier
6412	Strong En-Tai Druid
6413	Strong En-Tai Healer
6414	Strong En-Tai Destroyer
6415	Event Beran-Setaou
6416	Event Nemere
6417	Event Razador
6418	Event Jotun Thrym
6419	Zephyr
6420	Zephyr Imperial
6421	Zephyr Zodiac
6422	Loup
6423	Lup Imperial
6424	Loup Zodiac
6425	Zyong
6426	Imperial Zyong
6427	Zyong Zodiac
6428	Centaur
6429	Centaur Imperial
6430	Centaur Zodiac
6431	Ellyos
6432	Ellyos Imperial
6433	Zodiaque Ellyos
6434	Gardian Dragon
6435	Gardian Dragon Imperial
6436	Gardian Dragon Zodiac
6437	Satan
6438	Satan Imperial
6439	Satan Zodiac
6440	Condor
6441	Imperial Condor
6442	Zodiaque Condor
6443	Zeul Yin
6444	Zeul Yin Zodiac
6445	Zeita Si
6446	Zeita Si Zodiaque
6447	Garda Lui Baashido
6448	Zeul Wei Zodiac
6449	Zeita Mao
6450	Zeita Mao Zodiac
6451	Hai Zeul
6452	Zeul Hai Zodiac
6453	Zeul Zi
6454	Zeul Zi Zodiac
6455	Zeul Shen
6456	Zeul Shen Zodiac
6457	Zeul Wu
6458	Zeul Wu Zodiac
6459	Zeul Chen
6460	Zeul Chen Zodiac
6461	Xu Zeul
6462	Zeul Xu Zodiac
6463	Chou Zeul
6464	Chou Zeul Zodiaque
6465	Zeul You
6466	You Zeul Zodiaque
6467	Loup Zodiac
6468	Loup Bleu Zodiac
6469	Zodiac Lykos
6470	Halouf Zodiac
6471	Sanglier rouge du Zodiac
6472	Zodiac Mi-Jung
6473	Bera du Zodiac
6474	Zodiac Bear
6475	Zodiac Grizzly Bear
6476	Zodiac Brown Bear
6477	Zodiac Eun-Jung
6478	Tigris Zodiac
6479	Tigre Zodiac
6480	White Zodiac Tiger
6481	Zodiac Jin-Hee
6482	Zodiac Baby Spider
6483	Araignée à griffes Zodiaque
6484	Capitaine Bestial Zodiaque
6485	Zodiac Ice Bug
6486	Zodiac Ice Lion
6487	Frosty Zodiac Ice Man
6488	Yeti Zodiaque
6489	Golem de glace Zodiac
6490	Zodiac King Scorpion
6491	Zodiac Snake Swordman
6492	Archer serpent Zodiac
6493	Hors la loi du désert Zodiaque
6494	Zodiac Tree Frog Soldier
6495	Tree Frog Leader
6496	Orc Zodiac d'élite
6497	Éclaireur Orc Zodiaque Élite
6499	El. Zodiac Orc Sorcerer
6501	Tellios
6502	Tellios Imperial
6503	Tellios Zodiac
6504	Om de Fier
6505	Om de Fier Imperial
6506	Om de Fier Zodiac
6507	Orc
6508	Ork Imperial
6509	Orc du Zodiac
6510	Typhoon
6511	Typhoon Imperial
6512	Zodiac du Typhon
6513	Orc Noir du Zodiac
6514	Black Zodiac Orc Giant
6515	Tigre de combat Zodiaque
6516	Zodiac Flame Ghost
6517	Flamme Zodiaque
6518	Zodiac Flame Warrior
6519	Roi Flamme Zodiac
6520	Metin du Rat
6521	Metin du Bœuf
6522	Metin du Tigre
6523	Metin du Dragon
6524	Metin du Serpent
6525	Metin du Cheval
6526	Metin de la Chèvre
6527	Metin du Singe
6528	Metin of the Dog
6529	Cannon
6530	Cannon
6531	Marchand Zodiac
6532	Yin
6534	Wei
6535	Mao
6536	Hai
6538	Shen
6540	Chen
6542	Chou
6543	You
7001	Apesoldier
7002	Aperider
7003	Gimu Apesoldier
7004	Ape Commander
7005	Stone Ape
7006	Gold Ape
7007	Ape General
7008	Tu-Gui Worker
7009	Tu-Gui Soldier Tester
7010	Tu-Gui White Commander
7012	Bi-Ma-Gui-An
7013	Scorpion King
7014	Smart Scorpion Man
7015	Scorpion Archer
7016	Snake Swordfighter
7017	Snake Archer
7018	Desert Outlaw
7019	Tu-Ji Soldier
7020	Hwa-ryung
7021	Tu-Ji Bum
7022	Cham-Ma
7023	Teawha-Mu
7024	Juk-gui
7025	Dung-Juk
7026	Juk-Mok
7027	Hwaryu Juk
7028	Black Juk-Guimok
7029	Ice Devil
7030	Icehorn Killer Whale
7031	Ice Bug
7032	Seol-Gu
7033	Ice Man
7034	Ice Giant
7035	Ice Golem
7036	Ice Devil
7037	Icehorn Killer Whale
7038	Ice Bug
7039	Seol-Gu
7040	Ice Man
7041	Ice Giant
7042	Ice Golem
7043	Ice Devil
7044	Icehorn Killer Whale
7045	Ice Bug
7046	Seol-Gu
7047	Ice Man
7048	Ice Giant
7049	Ice Golem
7050	Desert Flying Eye
7051	King Scorpion
7052	Young Scorpion Man
7053	Scorpion Archer
7054	Snake Swordsman
7055	Snake Archer
7056	Desert Outlaw
7057	Desert Flying Eye
7058	King Scorpion
7059	Young Scorpion Man
7060	Scorpion Archer
7061	Snake Swordsman
7062	Snake Archer
7063	Desert Outlaw
7064	Desert Flying Eye
7065	King Scorpion
7066	Young Scorpion Man
7067	Scorpion Archer
7068	Snake Swordsman
7069	Snake Archer
7070	Desert Outlaw
7071	Fighting Tiger Minion
7072	Flame Ghost
7073	Fighting Tiger
7074	Flame
7075	Flame Warrior
7076	Fighting Tiger Minion
7077	Flame Ghost
7078	Fighting Tiger
7079	Flame
7080	Flame Warrior
7081	Fighting Tiger Minion
7082	Flame Ghost
7083	Fighting Tiger
7084	Flame
7085	Flame Warrior
7086	Ghost Stump
7087	Dryad
7088	Ghost Willow
7089	Evil Tree
7090	Ghost Stump
7091	Dryad
7092	Ghost Willow
7093	Evil Tree
7094	Ghost Stump
7095	Dryad
7096	Ghost Willow
7101	Cannon
7102	Cannon
7103	Arrowtide Ballista
7104	Arrowtide Ballista
7105	Tower
7106	Hearth
7107	Hearth
7108	Hearth
7109	Hearth
7110	Hearth
7111	Hearth
7112	Hearth
7113	Cheeta
7114	Kraton
7115	Charly
7116	Nini
7117	Zulu
7118	Monkey Warrior Deka
7119	Monkey Warrior Oba
7120	King Keung
7121	Kiros
7122	Manchu
7123	Sgok
7124	Indrik
8001	Metin of Sorrow
8002	Metin of Combat
8003	Metin of Battle
8004	Metin of Greed
8005	Metin of Black
8006	Metin of Darkness
8007	Metin of Jealousy
8008	Metin of Soul
8009	Metin of Shadow
8010	Metin of Toughness
8011	Metin of Devil
8012	Metin of Fall
8013	Metin of Death
8014	Metin of Murder
8015	Metin of Toughness
8016	Metin of Devil
8017	Metin of Fall
8018	Metin of Death
8019	Metin of Murder
8020	Shinsoo Rock
8021	Jinno Rock
8022	Chunjo Rock
8023	Emperor Rock
8024	Metin Pung-Ma
8025	Metin Ma-An
8026	Metin Tu-Young
8027	Metin Jeon-Un
8031	Metin of the Mountain
8032	Metin of Vengeance
8033	Metin of Solitude
8034	Metin of Arrogance
8035	Metin of Redemption
8036	Metin of Treason
8037	Metin of Resentment
8038	Metin of Retribution
8039	Metin of Pride
8040	Metin of Malevolence
8041	Easter Metin
8042	Easter Metin
8043	Easter Metin
8044	Easter Metin
8045	Easter Metin
8046	Easter Metin
8047	Easter Metin
8048	Easter Metin
8049	Easter Metin
8050	Easter Metin
8051	Metin of Gloom
8052	Metin of Ember
8053	Metin of Vanity
8054	Metin of Wrath
8055	Metin of Calamity
8056	Metin of Malice
8057	Purgatory Fire Metin
8058	Metin of Cold
8059	Metin of the Tree Beings
8060	Pumpkin Metin
8061	Metin of the Forests
8085	Metin of Monkey
8101	Metin of Sorrow
8102	Metin of Combat
8103	Metin of Battle
8104	Metin of Greed
8105	Metin of Black
8106	Metin of Darkness
8107	Metin of Jealousy
8108	Metin of Soul
8109	Metin of Shadow
8110	Metin of Toughness
8111	Metin of Devil
8112	Metin of Fall
8113	Metin of Death
8114	Metin of Murder
8115	Metin of the Moon
8200	Chocolate Metin Stone
8201	Chocolate Metin Stone
8203	Metin of Enlightenment
8411	Metin of blood
8412	Metin of the Underground
8413	Metin of the Underground
8414	Metin of Blood Revenge
8416	Underwater metin
8417	Pirate metin
8418	Underwater egg
8421	Giant shell
8428	Metin de l'amour
8429	Chocolat
8430	Slime Metin
8431	Garden stone
8432	Pierre de plante
8433	Pierre du jardin du mal
8441	Beach metin
8442	Ocean metin
8443	Jungle totem
8501	Wild Dog
8502	Wild Boar
8503	Bear
8504	White Tiger
8505	Black Giant Orc
8506	Tree Frog Leader
8507	Desert Outlaw
8508	Esoteric Tormentor
8509	Esoteric Summoner
8510	Flame Warrior
8511	Ice Golem
8600	?????
8601	?????
8602	?????
8603	?????
8604	????
8605	????
8606	??
8607	??
8608	test
8609	test
8610	test
8611	test
8612	????
8613	????
8614	??????
8615	??????
8616	Billy Loomis
8617	Jack Torrance
8618	Chucky
8619	Jigsaw
8620	Jason
8621	Michael Myers
8622	Freddy Krueger
8623	Leatherface
9001	Weapon Shop Dealer
9002	Armour Shop Dealer
9003	General Store Saleswoman
9004	Event Helper
9005	Storekeeper
9006	Old Lady
9007	Weapon Shop Dealer
9008	Armour Shop Dealer
9009	Fisherman
9010	General Store
9011	Valentinshändlerin
9012	Teleporter
9139	Vinh-Moc
9140	Zekrom
9141	Gabriel
9142	Faucheuse
9210	Crystal pillar
9212	Crystal seal
9214	Guardian of the Crystal Cave
9215	Fisher
9229	Dame Valentine
9230	Veine de Rhodonite
9231	Monument d'Amour
9232	Rhodolite
9233	Dame Valentine
9234	Herbe inconnue
9235	Dryade
9236	Thu-Rang
9237	Seal Stone
9238	Slime
9239	Vinh-Moc
9240	Zekrom
9241	Gabriel
9242	Faucheuse
9262	Pirate lady
9263	Fossils
9264	Bomb box
9265	Menhir
9266	Shell totem
9439	Garden door
9441	Botani
9442	Récipient ancien
9443	Fontaine enchantée
9444	Poisoned botani
9445	Champignons
9446	Ruche de miel
9460	Garden wolf
9461	Apiculteur
9462	Bee warrior
9463	Plante affamée
9464	Plante carnivore
9465	Root creature
9466	Garden soldier
9467	Garden general 
9468	Evil plant
9469	Big plant
9470	Evil big plant
9471	Raguwan
9472	Garden Tyrant
9473	Plante carnivore
9474	Root creature
9475	Garden soldier
9476	Garden general
9477	Plantes carnivores brute
9478	Brut. root creature
9479	Brut. garden soldier
9480	Brute du jardin général
9481	Infected bees
10001	Yayang_Area 4002 8995
10002	Yongan_Area 4503 9050
10003	Bokjung_Area 1118 2161
10004	Joan_Area 876 2131
10005	Bakra_Area 9064 2214
10006	Pyungmoo_Area 9372 2188
10007	Yongan_Area 4188 9560
10008	Yayang_Area 3179 8332
10009	Joan_Area 897 1127
10010	Bokjung_Area 1759 2210
10011	Pyungmoo_Area 9343 3143
10012	Bakra_Area 8348 2926
10013	Hwang_Temple 5536 1441
10014	Seungryong 3326 7468
10015	Yongbi_Desert 3467 6329
10016	Kuahlo_Dong 600 4960
10017	Hwang_Temple 5906 1102
10018	Gumsan_Tower 2165 7270
10019	Yayang_Area 3211 9009
10020	Jungrang 1356 43
10021	Bokjung_Area 1168 2920
10022	Waryong 2219 93
10023	Bakra_Area 9098 2948
10024	Imha 2718 130
10025	Mount_Sohan 4993 2984
10026	Lungsam 2887 57
10027	Lungsam 2866 437
10028	Red_Forest 11199 708
10029	Snakefield 10590 7262
10030	Yongbi_Desert 3519 6223
10031	Snakefield 10590 7262
10032	Land_of_Giants 8283 7635
10033	Zin-Grotto 10594 7525
10034	2_Zin-Grotto 10594 7525
