w1	Yang
168	”нЁ дгЁн+8
169	”нЁ дгЁн+9
170	”нЁ б«ѕџ+0
171	”нЁ б«ѕџ+1
172	”нЁ б«ѕџ+2
173	”нЁ б«ѕџ+3
174	”нЁ б«ѕџ+4
175	”нЁ б«ѕџ+5
176	”нЁ б«ѕџ+6
177	”нЁ б«ѕџ+7
178	”нЁ б«ѕџ+8
179	”нЁ б«ѕџ+9
180	”нЁ ”«г+0
181	”нЁ ”«г+1
182	”нЁ ”«г+2
183	”нЁ ”«г+3
184	”нЁ ”«г+4
185	”нЁ ”«г+5
186	”нЁ ”«г+6
187	”нЁ ”«г+7
188	”нЁ ”«г+8
189	”нЁ ”«г+9
190	”нЁ «б√”ѕ+0
191	”нЁ «б√”ѕ+1
192	”нЁ «б√”ѕ+2
193	”нЁ «б√”ѕ+3
194	”нЁ «б√”ѕ+4
195	”нЁ «б√”ѕ+5
196	”нЁ «б√”ѕ+6
197	”нЁ «б√”ѕ+7
198	”нЁ «б√”ѕ+8
199	”нЁ «б√”ѕ+9
200	‘Ё—… Ќ«ѕ…+0
201	‘Ё—… Ќ«ѕ…+1
202	‘Ё—… Ќ«ѕ…+2
203	‘Ё—… Ќ«ѕ…+3
204	‘Ё—… Ќ«ѕ…+4
205	‘Ё—… Ќ«ѕ…+5
206	‘Ё—… Ќ«ѕ…+6
207	‘Ё—… Ќ«ѕ…+7
208	‘Ё—… Ќ«ѕ…+8
209	‘Ё—… Ќ«ѕ…+9
210	‘Ё—… ггн …+0
211	‘Ё—… ггн …+1
212	‘Ё—… ггн …+2
213	‘Ё—… ггн …+3
214	‘Ё—… ггн …+4
215	‘Ё—… ггн …+5
216	‘Ё—… ггн …+6
217	‘Ё—… ггн …+7
218	‘Ё—… ггн …+8
219	‘Ё—… ггн …+9
220	”нЁ ёг—н+0
221	”нЁ ёг—н+1
222	”нЁ ёг—н+2
223	”нЁ ёг—н+3
224	”нЁ ёг—н+4
225	”нЁ ёг—н+5
226	”нЁ ёг—н+6
227	”нЁ ёг—н+7
228	”нЁ ёг—н+8
229	”нЁ ёг—н+9
230	”нЁ ”г«жн+0
231	”нЁ ”г«жн+1
232	”нЁ ”г«жн+2
233	”нЁ ”г«жн+3
234	”нЁ ”г«жн+4
235	”нЁ ”г«жн+5
236	”нЁ ”г«жн+6
237	”нЁ ”г«жн+7
238	”нЁ ”г«жн+8
239	”нЁ ”г«жн+9
240	”нЁ  Џжн–н+0
241	”нЁ  Џжн–н+1
242	”нЁ  Џжн–н+2
243	”нЁ  Џжн–н+3
244	”нЁ  Џжн–н+4
245	”нЁ  Џжн–н+5
246	”нЁ  Џжн–н+6
247	”нЁ  Џжн–н+7
248	”нЁ  Џжн–н+8
249	”нЁ  Џжн–н+9
250	‘Ё—… «б‘нЎ«д +0
251	‘Ё—… «б‘нЎ«д +1
252	‘Ё—… «б‘нЎ«д +2
253	‘Ё—… «б‘нЎ«д +3
254	‘Ё—… «б‘нЎ«д +4
255	‘Ё—… «б‘нЎ«д +5
256	‘Ё—… «б‘нЎ«д +6
257	‘Ё—… «б‘нЎ«д +7
258	‘Ё—… «б‘нЎ«д +8
259	‘Ё—… «б‘нЎ«д +9
260	”нЁ «б»«—жд+0
261	”нЁ «б»«—жд+1
262	”нЁ «б»«—жд+2
263	”нЁ «б»«—жд+3
264	”нЁ «б»«—жд+4
265	”нЁ «б»«—жд+5
266	”нЁ «б»«—жд+6
267	”нЁ «б»«—жд+7
268	”нЁ «б»«—жд+8
269	”нЁ «б»«—жд+9
270	”нЁ  —н жд +0
271	”нЁ  —н жд +1
272	”нЁ  —н жд+2
273	”нЁ  —н жд +3
274	”нЁ  —н жд +4
275	”нЁ  —н жд +5
276	”нЁ  —н жд +6
277	”нЁ  —н жд +7
278	”нЁ  —н жд +8
279	”нЁ  —н жд +9
280	”нЁ гёѕ”+0
281	”нЁ гёѕ”+1
282	”нЁ гёѕ”+2
283	”нЁ гёѕ”+3
284	”нЁ гёѕ”+4
285	”нЁ гёѕ”+5
286	”нЁ гёѕ”+6
287	”нЁ гёѕ”+7
288	”нЁ гёѕ”+8
289	”нЁ гёѕ”+9
290	”нЁ »ѕ—н+0
291	”нЁ »ѕ—н+1
292	”нЁ »ѕ—н+2
293	”нЁ »ѕ—н+3
294	”нЁ »ѕ—н+4
295	”нЁ »ѕ—н+5
296	”нЁ »ѕ—н+6
297	”нЁ »ѕ—н+7
298	”нЁ »ѕ—н+8
299	”нЁ »ѕ—н+9
300	‘Ё—… “жѕн«я+0
301	‘Ё—… “жѕн«я+1
302	‘Ё—… “жѕн«я+2
303	‘Ё—… “жѕн«я+3
304	‘Ё—… “жѕн«я+4
305	‘Ё—… “жѕн«я+5
306	‘Ё—… “жѕн«я+6
307	‘Ё—… “жѕн«я+7
308	‘Ё—… “жѕн«я+8
309	‘Ё—… “жѕн«я+9
310	”нЁ “жѕн«я+0
311	”нЁ “жѕн«я+1
312	”нЁ “жѕн«я+2
313	”нЁ “жѕн«я+3
314	”нЁ “жѕн«я+4
315	”нЁ “жѕн«я+5
316	”нЁ “жѕн«я+6
317	”нЁ “жѕн«я+7
318	”нЁ “жѕн«я+8
319	”нЁ “жѕн«я+9
460	”нЁ ќЁн +0
461	”нЁ ќЁн+1
462	”нЁ ќЁн+2
463	”нЁ ќЁн+3
464	”нЁ ќЁн+4
465	”нЁ ќЁн+5
466	”нЁ ќЁн+6
467	”нЁ ќЁн+7
468	”нЁ ќЁн+8
469	”нЁ ќЁн+9
470	д’б ”д «б днд+0
471	д’б ”д «б днд+1
472	д’б ”д «б днд+2
473	д’б ”д «б днд+3
474	д’б ”д «б днд+4
475	д’б ”д «б днд+5
476	д’б ”д «б днд+6
477	д’б ”д «б днд+7
478	д’б ”д «б днд+8
479	д’б ”д «б днд+9
500	”нЁ «бян«дн +0
501	”нЁ «бян«дн +1
502	”нЁ «бян«дн +2
503	”нЁ «бян«дн +3
504	”нЁ «бян«дн +4
505	”нЁ «бян«дн +5
506	”нЁ «бян«дн +6
507	”нЁ «бян«дн +7
508	”нЁ «бян«дн +8
509	”нЁ «бян«дн +9
510	Kyanitsword+0
511	Kyanitsword+1
512	Kyanitsword+2
513	Kyanitsword+3
514	Kyanitsword+4
515	Kyanitsword+5
516	Kyanitsword+6
517	Kyanitsword+7
518	Kyanitsword+8
519	Kyanitsword+9
1000	ќдћ—+0
1001	ќдћ—+1
1002	ќдћ—+2
1003	ќдћ—+3
1004	ќдћ—+4
1005	ќдћ—+5
1006	ќдћ—+6
1007	ќдћ—+7
1008	ќдћ—+8
1009	ќдћ—+9
1010	ќдћ— яж»—«+0
1011	ќдћ— яж»—«+1
1012	ќдћ— яж»—«+2
1013	ќдћ— яж»—«+3
1014	ќдћ— яж»—«+4
1015	ќдћ— яж»—«+5
1016	ќдћ— яж»—«+6
1017	ќдћ— яж»—«+7
1018	ќдћ— яж»—«+8
1019	ќдћ— яж»—«+9
1020	ќдћ— гё’+0
1021	ќдћ— гё’+1
1022	ќдћ— гё’+2
1023	ќдћ— гё’+3
1024	ќдћ— гё’+4
1025	ќдћ— гё’+5
1026	ќдћ— гё’+6
1027	ќдћ— гё’+7
1028	ќдћ— гё’+8
1029	ќдћ— гё’+9
1030	”янд «бЌў+0
1031	”янд «бЌў+1
1032	”янд «бЌў+2
1033	”янд «бЌў+3
1034	”янд «бЌў+4
1035	”янд «бЌў+5
1036	”янд «бЌў+6
1037	”янд «бЌў+7
1038	”янд «бЌў+8
1039	”янд «бЌў+9
1040	”янд Џ÷… «бёЎ+0
1041	”янд Џ÷… «бёЎ+1
1042	”янд Џ÷… «бёЎ+2
1043	”янд Џ÷… «бёЎ+3
1044	”янд… Џ÷… «бёЎ+4
1045	”янд Џ÷… «бёЎ+5
1046	”янд Џ÷… «бёЎ+6
1047	”янд Џ÷… «бёЎ+7
1048	”янд Џ÷… «бёЎ+8
1049	”янд Џ÷… «бёЎ+9
1050	ќдћ— ёд«Џ «б‘нЎ«д+0
1051	ќдћ— ёд«Џ «б‘нЎ«д+1
1052	ќдћ— ёд«Џ «б‘нЎ«д+2
1053	ќдћ— ёд«Џ «б‘нЎ«д+3
1054	ќдћ— ёд«Џ «б‘нЎ«д+4
1055	ќдћ— ёд«Џ «б‘нЎ«д+5
1056	ќдћ— ёд«Џ «б‘нЎ«д+6
1057	ќдћ— ёд«Џ «б‘нЎ«д+7
1058	ќдћ— ёд«Џ «б‘нЎ«д+8
1059	ќдћ— ёд«Џ «б‘нЎ«д+9
1060	ќдћ— ё»÷… «б‘нЎ«д+0
1061	ќдћ— ё»÷… «б‘нЎ«д+1
1062	ќдћ— ё»÷… «б‘нЎ«д+2
1063	ќдћ— ё»÷… «б‘нЎ«д+3
1064	ќдћ— ё»÷… «б‘нЎ«д+4
1065	ќдћ— ё»÷… «б‘нЎ«д+5
1066	ќдћ— ё»÷… «б‘нЎ«д+6
1067	ќдћ— ё»÷… «б‘нЎ«д+7
1068	ќдћ— ё»÷… «б‘нЎ«д+8
1069	ќдћ— ё»÷… «б‘нЎ«д+9
1070	ќдћ— ѕгжн+0
1071	ќдћ— ѕгжн+1
1072	ќдћ— ѕгжн+2
1073	ќдћ— ѕгжн+3
1074	ќдћ— ѕгжн+4
1075	ќдћ— ѕгжн+5
1076	ќдћ— ѕгжн+6
1077	ќдћ— ѕгжн+7
1078	ќдћ— ѕгжн+8
1079	ќдћ— ѕгжн+9
1080	ќдћ— «б√÷б«Џ+0
1081	ќдћ— «б√÷б«Џ+1
1082	ќдћ— «б√÷б«Џ+2
1083	ќдћ— «б√÷б«Џ+3
1084	ќдћ— «б√÷б«Џ+4
1085	ќдћ— «б√÷б«Џ+5
1086	ќдћ— «б√÷б«Џ+6
1087	ќдћ— «б√÷б«Џ+7
1088	ќдћ— «б√÷б«Џ+8
1089	ќдћ— «б√÷б«Џ+9
1090	‘«я—«г+0
1091	‘«я—«г+1
1092	‘«я—«г+2
1093	‘«я—«г+3
1094	‘«я—«г+4
1095	‘«я—«г+5
1096	‘«я—«г+6
1097	‘«я—«г+7
1098	‘«я—«г+8
1099	‘«я—«г+9
1100	”янд «б днд+0
1101	”янд «б днд+1
1102	”янд «б днд+2
1103	”янд «б днд+3
1104	”янд «б днд+4
1105	”янд «б днд+5
1106	”янд «б днд+6
1107	”янд «б днд+7
1108	”янд «б днд+8
1109	”янд «б днд+9
1110	”янд… ’«Џё…+0
1111	”янд… ’«Џё…+1
1112	”янд… ’«Џё…+2
1113	”янд… ’«Џё…+3
1114	”янд… ’«Џё…+4
1115	”янд… ’«Џё…+5
1116	”янд… ’«Џё…+6
1117	”янд… ’«Џё…+7
1118	”янд… ’«Џё…+8
1119	”янд… ’«Џё…+9
1120	”янд… «б”н«гн+0
1121	”янд… «б”н«гн+1
1122	”янд… «б”н«гн+2
1123	”янд… «б”н«гн+3
1124	”янд… «б”н«гн+4
1125	”янд… «б”н«гн+5
1126	”янд… «б”н«гн+6
1127	”янд… «б”н«гн+7
1128	”янд… «б”н«гн+8
1129	”янд… «б”н«гн+9
1130	‘«я—«г ћд«Ќ «б‘нЎ«д+0
1131	‘«я—«г ћд«Ќ «б‘нЎ«д+1
1132	‘«я—«г ћд«Ќ «б‘нЎ«д+2
1133	‘«я—«г ћд«Ќ «б‘нЎ«д+3
1134	‘«я—«г ћд«Ќ «б‘нЎ«д+4
1135	‘«я—«г ћд«Ќ «б‘нЎ«д+5
1136	‘«я—«г ћд«Ќ «б‘нЎ«д+6
1137	‘«я—«г ћд«Ќ «б‘нЎ«д+7
1138	‘«я—«г ћд«Ќ «б‘нЎ«д+8
1139	‘«я—«г ћд«Ќ «б‘нЎ«д+9
1140	”янд… “ня“«я+0
1141	”янд… “ня“«я+1
1142	”янд… “ня“«я+2
1143	”янд… “ня“«я+3
1144	”янд… “ня“«я+4
1145	”янд… “ня“«я+5
1146	”янд… “ня“«я+5
1147	”янд… “ня“«я+7
1148	”янд… “ня“«я+8
1149	”янд… “ня“«я+9
1150	”янд… ÷жЅ «б‘г”+0
1151	”янд… ÷жЅ «б‘г”+1
1152	”янд… ÷жЅ «б‘г”+2
1153	”янд… ÷жЅ «б‘г”+3
1154	”янд… ÷жЅ «б‘г”+4
1155	”янд… ÷жЅ «б‘г”+5
1156	”янд… ÷жЅ «б‘г”+6
1157	”янд… ÷жЅ «б‘г”+7
1158	”янд… ÷жЅ «б‘г”+8
1159	”янд… ÷жЅ «б‘г”+9
1160	”янд —нд“«б+0
1161	”янд —нд“«б+1
1162	”янд —нд“«б+2
1163	”янд —нд“«б+3
1164	”янд —нд“«б+4
1165	”янд —нд“«б+5
1166	”янд —нд“«б+6
1167	”янд —нд“«б+7
1168	”янд —нд“«б+8
1169	”янд —нд“«б+9
1170	ќдћ— «бж—ё… «б”жѕ«Ѕ+0
1171	ќдћ— «бж—ё… «б”жѕ«Ѕ+1
1172	ќдћ— «бж—ё… «б”жѕ«Ѕ+2
1173	ќдћ— «бж—ё… «б”жѕ«Ѕ+3
1174	ќдћ— «бж—ё… «б”жѕ«Ѕ+4
1175	ќдћ— «бж—ё… «б”жѕ«Ѕ+5
1176	ќдћ— «бж—ё… «б”жѕ«Ѕ+6
1177	ќдћ— «бж—ё… «б”жѕ«Ѕ+7
1178	ќдћ— «бж—ё… «б”жѕ«Ѕ+8
1179	ќдћ— «бж—ё… «б”жѕ«Ѕ+9
1180	ќдћ— “жѕн«я+0
1181	ќдћ— “жѕн«я+1
1182	ќдћ— “жѕн«я+2
1183	ќдћ— “жѕн«я+3
1184	ќдћ— “жѕн«я+4
1185	ќдћ— “жѕн«я+5
1186	ќдћ— “жѕн«я+6
1187	ќдћ— “жѕн«я+7
1188	ќдћ— “жѕн«я+8
1189	ќдћ— “жѕн«я+9
1340	д’б «бЏд«’— «бќг”+0
1341	д’б «бЏд«’— «бќг”+1
1342	д’б «бЏд«’— «бќг”+2
1343	д’б «бЏд«’— «бќг”+3
1344	д’б «бЏд«’— «бќг”+4
1345	д’б «бЏд«’— «бќг”+5
1346	д’б «бЏд«’— «бќг”+6
1347	д’б «бЏд«’— «бќг”+7
1348	д’б «бЏд«’— «бќг”+8
1349	д’б «бЏд«’— «бќг”+9
1500	ќдћ— «бян«дн +0
1501	ќдћ— «бян«дн +1
1502	ќдћ— «бян«дн +2
1503	ќдћ— «бян«дн +3
1504	ќдћ— «бян«дн +4
1505	ќдћ— «бян«дн +5
1506	ќдћ— «бян«дн +6
1507	ќдћ— «бян«дн +7
1508	ќдћ— «бян«дн +8
1509	ќдћ— «бян«дн +9
2000	ёж”+0
2001	ёж”+1
2002	ёж”+2
2003	ёж”+3
2004	ёж”+4
2005	ёж”+5
2006	ёж”+6
2007	ёж”+7
2008	ёж”+8
2009	ёж”+9
2010	ёж” Ўжнб+0
2011	ёж” Ўжнб+1
2012	ёж” Ўжнб+2
2013	ёж” Ўжнб+3
2014	ёж” Ўжнб+4
2015	ёж” Ўжнб+5
2016	ёж” Ўжнб+6
2017	ёж” Ўжнб+7
2018	ёж” Ўжнб+8
2019	ёж” Ўжнб+9
2020	ёж” г—я»+0
2021	ёж” г—я»+1
2022	ёж” г—я»+2
2023	ёж” г—я»+2
2024	ёж” г—я»+4
2025	ёж” г—я»+5
2026	ёж” г—я»+6
2027	ёж” г—я»+7
2028	ёж” г—я»+8
2029	ёж” г—я»+9
2030	ёж” Ќ—»н+0
2031	ёж” Ќ—»н+1
2032	ёж” Ќ—»н+2
2033	ёж” Ќ—»н+3
2034	ёж” Ќ—»н+4
2035	ёж” Ќ—»н+5
2036	ёж” Ќ—»н+6
2037	ёж” Ќ—»н+7
2038	ёж” Ќ—»н+8
2039	ёж” Ќ—»н+9
2040	ёж” «бќнш«б… «бЎжнб+0
2041	ёж” «бќнш«б… «бЎжнб+1
2042	ёж” «бќнш«б… «бЎжнб+2
2043	ёж” «бќнш«б… «бЎжнб+3
2044	ёж” «бќнш«б… «бЎжнб+4
2045	ёж” «бќнш«б… «бЎжнб+5
2046	ёж” «бќнш«б… «бЎжнб+6
2047	ёж” «бќнш«б… «бЎжнб+7
2048	ёж” «бќнш«б… «бЎжнб+8
2049	ёж” «бќнш«б… «бЎжнб+9
2050	ёж” «бќнш«б… «бЌ—»н+0
2051	ёж” «бќнш«б… «бЌ—»н+1
2052	ёж” «бќнш«б… «бЌ—»н+2
2053	ёж” «бќнш«б… «бЌ—»н+3
2054	ёж” «бќнш«б… «бЌ—»н+4
2055	ёж” «бќнш«б… «бЌ—»н+5
2056	ёж” «бќнш«б… «бЌ—»н+6
2057	ёж” «бќнш«б… «бЌ—»н+7
2058	ёж” «бќнш«б… «бЌ—»н+8
2059	ёж” «бќнш«б… «бЌ—»н+9
2060	ёж” г“ќ—Ё »«бдЌ«”+0
2061	ёж” г“нд »«бдЌ«”+1
2062	ёж” г“нд »«бдЌ«”+2
2063	ёж” г“нд »«бдЌ«”+3
2064	ёж” г“нд »«бдЌ«”+4
2065	ёж” г“нд »«бдЌ«”+5
2066	ёж” г“нд »«бдЌ«”+6
2067	ёж” г“нд »«бдЌ«”+7
2068	ёж” г“нд »«бдЌ«”+8
2069	ёж” г“нд »«бдЌ«”+9
2070	ёж” гѕг—+0
2071	ёж” гѕг—+1
2072	ёж” гѕг—+2
2073	ёж” гѕг—+3
2074	ёж” гѕг—+4
2075	ёж” гѕг—+5
2076	ёж” гѕг—+6
2077	ёж” гѕг—+7
2078	ёж” гѕг—+8
2079	ёж” гѕг—+9
2080	ёж” «бЏнд «бЌг—«Ѕ+0
2081	ёж” «бЏнд «бЌг—«Ѕ+1
2082	ёж” «бЏнд «бЌг—«Ѕ+2
2083	ёж” «бЏнд «бЌг—«Ѕ+3
2084	ёж” «бЏнд «бЌг—«Ѕ+4
2085	ёж” «бЏнд «бЌг—«Ѕ+5
2086	ёж” «бЏнд «бЌг—«Ѕ+6
2087	ёж” «бЏнд «бЌг—«Ѕ+7
2088	ёж” «бЏнд «бЌг—«Ѕ+8
2089	ёж” «бЏнд «бЌг—«Ѕ+9
2090	ёж” ‘жя… «бж—ё…+0
2091	ёж” ‘жя… «бж—ё…+1
2092	ёж” ‘жя… «бж—ё…+2
2093	ёж” ‘жя… «бж—ё…+3
2094	ёж” ‘жя… «бж—ё…+4
2095	ёж” ‘жя… «бж—ё…+5
2096	ёж” ‘жя… «бж—ё…+6
2097	ёж” ‘жя… «бж—ё…+7
2098	ёж” ‘жя… «бж—ё…+8
2099	ёж” ‘жя… «бж—ё…+9
2100	ёж” ё—д «бЋж—+0
2101	ёж” ё—д «бЋж—+1
2102	ёж” ё—д «бЋж—+2
2103	ёж” ё—д «бЋж—+3
2104	ёж” ё—д «бЋж—+4
2105	ёж” ё—д «бЋж—+5
2106	ёж” ё—д «бЋж—+6
2107	ёж” ё—д «бЋж—+7
2108	ёж” ё—д «бЋж—+8
2109	ёж” ё—д «бЋж—+9
2110	ёж” жЌнѕ «бё—д+0
2111	ёж” жЌнѕ «бё—д+1
2112	ёж” жЌнѕ «бё—д+2
2113	ёж” жЌнѕ «бё—д+3
2114	ёж” жЌнѕ «бё—д+4
2115	ёж” жЌнѕ «бё—д+5
2116	ёж” жЌнѕ «бё—д+6
2117	ёж” жЌнѕ «бё—д+7
2118	ёж” жЌнѕ «бё—д+8
2119	ёж” жЌнѕ «бё—д+9
2120	ёж” «бћд«Ќ «бЏгб«ё+0
2121	ёж” «бћд«Ќ «бЏгб«ё+1
2122	ёж” «бћд«Ќ «бЏгб«ё+2
2123	ёж” «бћд«Ќ «бЏгб«ё+3
2124	ёж” «бћд«Ќ «бЏгб«ё+4
2125	ёж” «бћд«Ќ «бЏгб«ё+5
2126	ёж” «бћд«Ќ «бЏгб«ё+6
2127	ёж” «бћд«Ќ «бЏгб«ё+7
2128	ёж” «бћд«Ќ «бЏгб«ё+8
2129	ёж” «бћд«Ќ «бЏгб«ё+9
2130	ёж” «бг‘г‘+0
2131	ёж” «бг‘г‘+1
2132	ёж” «бг‘г‘+2
2133	ёж” «бг‘г‘+3
2134	ёж” «бг‘г‘+4
2135	ёж” «бг‘г‘+5
2136	ёж” «бг‘г‘+6
2137	ёж” «бг‘г‘+7
2138	ёж” «бг‘г‘+8
2139	ёж” «бг‘г‘+9
2140	ёж” «б днд «б√’Ё—+0
2141	ёж” «б днд «б√’Ё—+1
2142	ёж” «б днд «б√’Ё—+2
2143	ёж” «б днд «б√’Ё—+3
2144	ёж” «б днд «б√’Ё—+4
2145	ёж” «б днд «б√’Ё—+5
2146	ёж” «б днд «б√’Ё—+6
2147	ёж” «б днд «б√’Ё—+7
2148	ёж” «б днд «б√’Ё—+8
2149	ёж” «б днд «б√’Ё—+9
2150	ёж” ё—д «бжЏб+0
2151	ёж” ё—д «бжЏб+1
2152	ёж” ё—д «бжЏб+2
2153	ёж” ё—д «бжЏб+3
2154	ёж” ё—д «бжЏб+4
2155	ёж” ё—д «бжЏб+5
2156	ёж” ё—д «бжЏб+6
2157	ёж” ё—д «бжЏб+7
2158	ёж” ё—д «бжЏб+8
2159	ёж” ё—д «бжЏб+9
2160	ёж” «б‘нЎ«д «бЏгб«ё+0
2161	ёж” «б‘нЎ«д «бЏгб«ё+1
2162	ёж” «б‘нЎ«д «бЏгб«ё+2
2163	ёж” «б‘нЎ«д «бЏгб«ё+3
2164	ёж” «б‘нЎ«д «бЏгб«ё+4
2165	ёж” «б‘нЎ«д «бЏгб«ё+5
2166	ёж” «б‘нЎ«д «бЏгб«ё+6
2167	ёж” «б‘нЎ«д «бЏгб«ё+7
2168	ёж” «б‘нЎ«д «бЏгб«ё+8
2169	ёж” «б‘нЎ«д «бЏгб«ё+9
2170	ёж” «бџ—«» «бЌѕнѕн+0
2171	ёж” «бџ—«» «бЌѕнѕн+1
2172	ёж” «бџ—«» «бЌѕнѕн+2
2173	ёж” «бџ—«» «бЌѕнѕн+3
2174	ёж” «бџ—«» «бЌѕнѕн+4
2175	ёж” «бџ—«» «бЌѕнѕн+5
2176	ёж” «бџ—«» «бЌѕнѕн+6
2177	ёж” «бџ—«» «бЌѕнѕн+7
2178	ёж” «бџ—«» «бЌѕнѕн+8
2179	ёж” «бџ—«» «бЌѕнѕн+9
2180	ёж” «б днд «б√“—ё+0
2181	ёж” «б днд «б√“—ё+1
2182	ёж” «б днд «б√“—ё+2
2183	ёж” «б днд «б√“—ё+3
2184	ёж” «б днд «б√“—ё+4
2185	ёж” «б днд «б√“—ё+5
2186	ёж” «б днд «б√“—ё+6
2187	ёж” «б днд «б√“—ё+7
