TOOLTIP_ACCE_ATTR_MAX_INFO	(μεγ. %s)
CANNOT_WHISPER_NO_AUTH	Δεν σου επιτρέπεται να στείλεις σε αυτόν τον παίχτη.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	Το offline μύνημα δεν στάλθηκε
CANNOT_WHISPER_SELF_REFUSE	Δεν μπορείς να στείλεις ψίθυρο όσο έχεις απενεργοποιημένους τους ψιθύρους.
CAN_WHISPER_OFFLINE_MESSAGE	Το Offline μύνημα έχει σταλεί
CHANNEL	Κανάλι
CHANNELING_CANNOT_LOGOUT	Δε μπορείς να επιστρέψεις στη σελίδα σύνδεσης.
CHANNEL_EMPTY_SERVER	Κενός server
CHANNEL_NORMAL	Κανάλι %d
CHANNEL_NOTIFY_FULL	Το κανάλι είναι γεμάτο! Παρακαλούμε διάλεξε άλλο κανάλι.
CHANNEL_NOT_FIND_INFO	Δεν βρέθηκαν πληροφορίες για το κανάλι.
CHANNEL_PVP	Ελεύθερη μονομαχία
CHANNEL_SELECT_CHANNEL	Διάλεξε κανάλι
CHANNEL_SELECT_REGION	Διάλεξε περιοχή
CHANNEL_SELECT_SERVER	Επιλογή server
CHANNEL_TEST_SERVER	Δοκιμή server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Δημιουργία χαρακτήρα
CHARACTER_SELECT_MODE	Επιλογή χαρακτήρα
CHAT_ALL	Όλα
CHAT_BLOCK	Μπλοκάρισμα
CHAT_GUILD	Συντεχνία
CHAT_INFORMATION	Πληροφορίες
CHAT_INSULT_STRING	Η πρόταση περιέχει μη επιτρεπτές λέξεις.
CHAT_LOG	Εμφάνιση παλιών μηνυμάτων [L]
CHAT_LOG_TITLE	Εμφάνιση αρχείου
CHAT_NORMAL	Κανονικό
CHAT_NOTICE	Σέρβερ
CHAT_PARTY	Ομάδα
CHAT_SEND_CHAT	Αποστολή chat
CHAT_SEND_MEMO	Αποστολή ψίθυρου [Shift+Enter]
CHAT_SHOUT	Κλήση
CHAT_SHOUT_LIMIT	Μπορείς να καλείς κάθε 15 δευτερόλεπτα.
CHAT_TEAM	Ομάδα
CHAT_WHISPER	Ψίθυρος
CREATE_ERROR_GM_NAME	Δεν επιτρέπεται η χρήση του όρου «GM» στο όνομα χαρακτήρα.
CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα.
CREATE_EXIST_SAME_NAME	Το όνομα είναι ήδη σε χρήση από άλλον παίκτη.
CREATE_FAILURE	Δεν μπορείς να δημιουργήσεις το χαρακτήρα.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Εισαγωγή ονόματος.
CREATE_PLUS_STAT	Έχεις κι άλλους πόντους κατάστασης.
DAY	Μέρες
DO_YOU_BUY_ITEM1	Θέλεις να αγοράσεις %s με %s Yang;
DO_YOU_BUY_ITEM2	Θέλεις να αγοράσεις %s (%s τεμάχια) με %s Yang;
DO_YOU_DROP_MONEY	Θέλεις να πετάξεις %d Yang?
DO_YOU_SELL_ITEM1	Θέλεις να πουλήσεις %s με %s Yang;
DO_YOU_SELL_ITEM2	Θέλεις να πουλήσεις %s (%s τεμάχια) για %s Yang;
DO_YOU_TAKE_OUT_ITEM1	Θες να αφαιρέσεις %s ;
DO_YOU_TAKE_OUT_ITEM2	Θες να αφαιρέσεις %s %s ;
DROP_ITEM_FAILURE_EQUIP_ITEM	Δεν μπορείς να πετάξεις αντικείμενα που φοράς.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Δε μπορείς να πετάξεις Αντικείμενο όσο έχεις ανοιχτό Ιδιωτικό Κατάστημα.
DROP_MONEY_FAILURE_1000_OVER	Μπορείς να πετάξεις μέχρι 999 Yang.
EMOTION_ANGRY	Επιδείνωση
EMOTION_ATTRACTIVE	Αποπλάνηση
EMOTION_BANTER	Ειρωνία
EMOTION_CHEERS_1	Αγαλλίαση 1
EMOTION_CHEERS_2	Αγαλλίαση 2
EMOTION_CHEERUP	Ευθυμία
EMOTION_CHOOSE_ONE	Διάλεξε στόχο
EMOTION_CLAP	Χειροκρότημα
EMOTION_CLAP_KISS	Φιλί
EMOTION_CONGRATULATION	Αποδοχή
EMOTION_DANCE_1	Χορός 1
EMOTION_DANCE_2	Χορός 2
EMOTION_DANCE_3	Χορός 3
EMOTION_DANCE_4	Χορός 4
EMOTION_DANCE_5	Χορός 5
EMOTION_FORGIVE	Συγχώρεση
EMOTION_FRENCH_KISS	Γαλλικό Φιλί
EMOTION_JOY	Χαρά
EMOTION_SAD	Θλίψη
EMOTION_SHY	Απόρριψη
EMOTION_SLAP	Χτύπημα
EMPIRE_A	Βασίλειο του Shinsoo
EMPIRE_B	Βασίλειο του Chunjo
EMPIRE_C	Βασίλειο του Jinno
EXCHANGE_CANNOT_GIVE	Δεν μπορείς να κάνεις εμπόριο με αυτό το αντικείμενο.
EXCHANGE_CANT_EDIT_MONEY	Δε μπορείς να αλλάξεις το ποσό τώρα.
EXCHANGE_FAILURE_EQUIP_ITEM	Δε μπορείς να ανταλλάξεις εξοπλισμένα Αντικείμενα.
EXCHANGE_MONEY	Ποσό
EXCHANGE_TITLE	Ανταλλαγή με %s (%d)
FISHING_FAILURE	Έχασες το Δόλωμα.
FISHING_NOTIFY1	Φαίνεται ότι πιάστηκε στο αγκίστρι το εξής: %s.
FISHING_NOTIFY2	Φαίνεται ότι πιάστηκε ένα %s.
FISHING_SUCCESS1	Έπιασες %s!
FISHING_SUCCESS2	Ψάρεψες %s!
FISHING_UNKNOWN	Κάτι τσίμπησε, αλλά δε μπορείς να δεις τι είναι.
FISHING_WRONG_PLACE	Δε μπορείς να ψαρέψεις εδώ.
FOR_FEMALE	Για γυναίκες
FOR_MALE	Για άνδρες
GAME_CANNOT_MINING	Δε μπορείς να εξορύξεις Μετάλλευμα ενώ ιππεύεις.
GAME_CANNOT_PICK_ITEM	Δε μπορείς να συλλέξεις το Αντικείμενο αφού δεν το κέρδισες.
GAME_INIT_ERROR_CURSOR	Ο κέρσορας δεν μπορεί να εδραιωθεί.
GAME_INIT_ERROR_DIRECTX	Για να τρέξει το παιχνίδι πρέπει να είναι εγκατεστημένο το DirectX 8.1. \nΕγκαταστήστε το DirectX 8.1 ή μεταγενέστερο.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν η VGA κάρτα σου είναι εγκαταστημένη σωστά.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν έχεις κάρτα VGA.\nΕναλλακτικά, μπορείς να ενεργοποιήσεις το hardware accelerator.\n(Θέσε το hardware accelerator στο max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Η κάρτα γραφικών του υπολογιστή δεν υποστηρίζει λειτουργία παραθύρου στα 32bit. \nΆλλαξε το στα 16bit ή χρησιμοποίησε την λειτουργία πλήρους οθόνης.
GAME_INIT_ERROR_ITEM_PROTO	Δεν υπάρχουν Δεδομένα Αντικειμένων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_MAIN_WINDOW	Το κυρίως παράθυρο δεν μπορεί να εμφανιστεί.
GAME_INIT_ERROR_MOB_PROTO	Δεν υπάρχουν Δεδομένα Τεράτων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_NETWORK	Δε βρέθηκε σύνδεση.\nΈλεγξε τη σύνδεσή σου.
GAME_PICK_MONEY	Έλαβες %d Yang.
GUILDBANK_CLEARBANK	Προσοχή: Η αποθήκη συντεχνίας πρέπει να είναι άδεια!
GUILDBANK_DONT_MONEY_OUT	Δεν έχεις Yang στην τράπεζα συντεχνίας!
GUILDBANK_GOLD_IN	Κατάθεση
GUILDBANK_GOLD_OUT	Ανάληψη
GUILDBANK_ITEM_IN	Αποθήκευση
GUILDBANK_ITEM_OUT	Ανάληψη αντικειμένου
GUILDBANK_MONEYIN	Κατάθεση Yang
GUILDBANK_MONEYOUT	Ανάληψη Yang
GUILDBANK_NOTUSE	Δεν έχεις τα απαραίτητα δικαιώματα.
GUILDBANK_NOT_ENOUGH_MONEY	Δεν έχεις τόσα Yang για κατάθεση.
GUILDBANK_OVER_INCOME	Έχει συμπληρωθεί το όριο του λογαριασμού.
GUILDBANK_OVER_MONEY	Πλήρης λογαριασμός συντεχνίας
GUILDLAND_ABANDON	Διάλυση γης συντεχνίας
GUILDLAND_ABANDON_VOTE	Διάλυση της γης της συντεχνίας σου [%s]
GUILDLAND_ABANDON_VOTE_RESULT1	Η γη της συντεχνίας σου [%s] διαλύθηκε.
GUILDLAND_ABANDON_VOTE_RESULT2	Η γη συντεχνίας διαλύθηκε.
GUILDLAND_ABANDON_VOTE_RESULT3	Αποτέλεσμα δημοσκόπησης:
GUILDLAND_ABANDON_VOTE_RESULT4	Η δημοσκόπηση είναι άκυρη.
GUILDLAND_ABANDON_VOTE_TEXT	Θέλεις στ' αλήθεια να ξεκινήσεις τη δημοσκόπηση;
GUILDLAND_ABANDON_VOTE_TEXT1	Συμφωνείς με τη διάλυση της γης συντεχνίας;
GUILDLAND_ACCEPT	Ναι
GUILDLAND_DEAL	Πώληση γης συντεχνίας
GUILDLAND_DEAL_TEXT1	Η συντεχνία [%s] θέλει να πουλήσει τη γη της
GUILDLAND_DEAL_TEXT2	έναντι [%s] Yang.
GUILDLAND_DEAL_TEXT3	Δέχεσαι την προσφορά;
GUILDLAND_DELA_VOTE	Η συντεχνία [%s] θέλει να αγοράσει τη γη μας.
GUILDLAND_DELA_VOTE_RESULT1	Πώληση γης συντεχνίας στη συντεχνία [%s]
GUILDLAND_DELA_VOTE_RESULT2	Η δημοσκόπηση έληξε.
GUILDLAND_DELA_VOTE_RESULT3	Αποτέλεσμα δημοσκόπησης για την πώληση γης συντεχνίας:
GUILDLAND_DELA_VOTE_RESULT4	Η δημοσκόπηση είναι άκυρη.
GUILDLAND_DELA_VOTE_TEXT	Σε ποια συντεχνία θέλεις να πουλήσεις τη γη;
GUILDLAND_DELA_VOTE_TEXT1	Συμφωνείς με την πώληση της γης της συντεχνίας;
GUILDLAND_DONTHAVE_LAND	Δεν έχεις γη συντεχνίας.
GUILDLAND_NOT	Όχι
GUILDLAND_VOTE_TEXT	Θέλεις να δώσεις τη γη σε [%s];
GUILDLIST_APPLICANT	Θέλεις να κάνεις αίτηση;
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Το ύψος δεν είναι 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Το ύψος δεν είναι 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Το πλάτος δεν είναι 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Το πλάτος δεν είναι 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Το παιχνίδι δεν υποστηρίζει αυτήν την εικόνα.
GUILDMARK_UPLOADER_ERROR_PATH	Μετακίνησε τα δεδομένα στο φάκελο metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Δεν επιλέχθηκε εικόνα.
GUILDVOTE_CHANGEMASTER	Αλλαγή Αρχηγού συντεχνίας
GUILDVOTE_CHANGEMASTER_RESULT1	Η συντεχνία παραδόθηκε.
GUILDVOTE_CHANGEMASTER_RESULT2	Σου παραδόθηκε η συντεχνία [%s].
GUILDVOTE_CHANGEMASTER_RESULT3	Παράδοση της συντεχνίας στο μέλος [%s].
GUILDVOTE_CHANGEMASTER_RESULT4	Η δημοσκόπηση είναι άκυρη.
GUILDVOTE_CHANGEMASTER_RESULT5	Νέος αρχηγός συντεχνίας: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Θέλεις να παραδώσεις τη συντεχνία στον [%s];
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Θέλεις πραγματικά να παραδώσεις την αρχηγία;
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Παράδοση της συντεχνίας στο μέλος [%s].
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Συμφωνείς να παραδοθεί η αρχηγία της συντεχνίας;
GUILDVOTE_MEMBEROUT	Αφαίρεση μέλους
GUILDVOTE_MEMBEROUT_AUTH	Δεν έχεις τα απαραίτητα δικαιώματα.
GUILDVOTE_MEMBEROUT_NOMAL	Θέλεις πραγματικά να αφαιρέσεις το μέλος;
GUILDVOTE_MEMBEROUT_RESULT1	Αφαίρεση μέλους: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Αποτέλεσμα δημοσκόπησης
GUILDVOTE_MEMBEROUT_RESULT3	Σε αφαίρεσαν από τη συντεχνία [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Αποτέλεσμα δημοσκόπησης
GUILDVOTE_MEMBEROUT_RESULT5	Η δημοσκόπηση είναι άκυρη.
GUILDVOTE_MEMBEROUT_TEXT1	Θέλεις να ξεκινήσεις τη δημοσκόπηση εναντίον [%s];
GUILDVOTE_MEMBEROUT_TEXT2	Δημοσκόπηση: Να αφαιρεθεί το μέλος από τη συντεχνία;
GUILDVOTE_MEMBEROUT_VOTETEXT1	Δημοσκόπηση: Να αφαιρεθεί το μέλος [%s] από τη συντεχνία;
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Κατά
GUILDVOTE_OK	Υπέρ
GUILDVOTE_RESULT_AGGRE_MEMBER	Υπέρ: %d
GUILDVOTE_RESULT_ALL_MEMBER	Συμμετέχοντες: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Κατά: %d
GUILDVOTE_RESULT_TIME	%d μέρες, %d ώρες, %d λεπτά, %d δευτερόλεπτα,
GUILDVOTE_SELECT_ONE	Παρακαλούμε διάλεξε έναν χαρακτήρα.
GUILDWAR_ALL	Μάχες (Μ)
GUILDWAR_CTF_TITLE	Μάχη σημαίας
GUILDWAR_DRAW	Ισοπαλίες (Ι)
GUILDWAR_GAINSCORE_FIFTY	50 πόντοι
GUILDWAR_GAINSCORE_HUNDRED	100 πόντοι
GUILDWAR_GAINSCORE_THIRTY	30 πόντοι
GUILDWAR_GAMETIME_SIXTY	60 λεπτά
GUILDWAR_GAMETIME_TEN	10 λεπτά
GUILDWAR_GAMETIME_THIRTY	30 λεπτά
GUILDWAR_INPUT_OTHERGUILD	Εισαγωγή αντίπαλης συντεχνίας.
GUILDWAR_LADDER	Πόντοι κατάταξης
GUILDWAR_LIMIT_MEMBER_FIVE	Ελάχιστος αριθμός συμμετεχόντων: 5.
GUILDWAR_LOSE	Ήττες (Η)
GUILDWAR_NORMAL_TITLE	Μάχη πεδίου
GUILDWAR_OVER_MEMBERCOUNT	Συμπληρώθηκε το όριο μελών.
GUILDWAR_QUESTION_LINE_1	Η συντεχνία %s κήρυξε πόλεμο στην συντεχνία σου.
GUILDWAR_QUESTION_LINE_2	Δέχεσαι; (%s)
GUILDWAR_RANKING	Θέση
GUILDWAR_RECODE_ALL	%d Μ, %d Ν, %d Η, %d Ι
GUILDWAR_SELECT_MEMBER_COUNT	Επιλογή αριθμού μελών
GUILDWAR_TYPE_DEFENSE	Μάχη ασπίδων
GUILDWAR_TYPE_TIGER	Μάχη καταστροφής
GUILDWAR_TYPE_TIME	Επίθεση χρόνου
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Μάχη αρένας
GUILDWAR_WIN	Νίκες (Ν)
GUILDWAR_WIN_FIVE	Πέντε γύροι
GUILDWAR_WIN_ONE	Ένας γύρος
GUILDWAR_WIN_THREE	Τρεις γύροι
GUILDWINDOW_BUTTON_BANKGOLDINFO	Αρχείο Αποθήκης συντεχνίας
GUILDWINDOW_BUTTON_BASEABANDON	Διάλυση γης συντεχνίας
GUILDWINDOW_BUTTON_BASEDEAL	Πώληση γης συντεχνίας
GUILDWINDOW_BUTTON_BASEDEALVOTE	Δημοσκόπηση
GUILDWINDOW_BUTTON_BOARD	Σημειώσεις συντεχνίας
GUILDWINDOW_BUTTON_CHANGEMASTER	Αλλαγή Αρχηγού συντεχνίας
GUILDWINDOW_BUTTON_DECLARE	Κήρυξη πολέμου
GUILDWINDOW_BUTTON_GOLDIN	Κατάθεση
GUILDWINDOW_BUTTON_GOLDOUT	Ανάληψη
GUILDWINDOW_BUTTON_GRADE	Διαχείριση δικαιωμάτων
GUILDWINDOW_BUTTON_GUILDLIST	Λίστα συντεχνιών
GUILDWINDOW_BUTTON_HEALGSP	Αποκατάσταση Δύναμης Δράκου
GUILDWINDOW_BUTTON_INFO	Πληροφορίες συντεχνίας
GUILDWINDOW_BUTTON_LANDINFO	Στοιχεία γης
GUILDWINDOW_BUTTON_MARK	Ανέβασμα σήματος συντεχνίας
GUILDWINDOW_BUTTON_MEMBER	Μέλη
GUILDWINDOW_BUTTON_OFFER	Δωρεά ΕΜΠ
GUILDWINDOW_BUTTON_OUTMEMBER	Αφαίρεση μέλους
GUILDWINDOW_BUTTON_SKILL	Ικανότητες συντεχνίας
GUILDWINDOW_BUTTON_SYMBOL	Ανέβασμα σημαίας συντεχνίας
GUILDWINDOW_BUTTON_VOTECHECK	Έλεγχος δημοσκόπησης
GUILDWINDOW_BUY_GUILD_LAND	Αγορά γης
GUILDWINDOW_CHANGE_OBJECT	Αναμόρφωση
GUILDWINDOW_CHANGE_SMELTER	Αναμόρφωση κλιβάνου
GUILDWINDOW_CREATE_OBJECT	Κατασκευή κτιρίου
GUILDWINDOW_DEAL_GUILD_LAND	Πώληση γης
GUILDWINDOW_GRADE_BANK	Μπορεί να χρησιμοποιεί την τράπεζα και την αποθήκη συντεχνίας.
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Μπορεί να αφαιρεί μέλη από τη συντεχνία.
GUILDWINDOW_GRADE_GRADENAME	Όνομα Βαθμού
GUILDWINDOW_GRADE_GRADENUMBER	Αριθμός Βαθμού
GUILDWINDOW_GRADE_GUILDWAR	Μπορεί να επιλέγει μέλη, που θα συμμετέχουν ως πολεμιστές.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Μπορεί να δέχεται νέα μέλη στη συντεχνία.
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Μπορεί να αφήνει σημειώσεις συντεχνίας.
GUILDWINDOW_GRADE_SKILLAUTHORITY	Μπορεί να χρησιμοποιεί Ικανότητες Συντεχνίας.
GUILDWINDOW_INFO_LEVEL10	Αυξάνει μέγ. Αριθμό μελών
GUILDWINDOW_INFO_LEVEL15	Έκπτωση: Δύναμη Δράκου
GUILDWINDOW_INFO_LEVEL20	Τράπεζα: Απαλλαγή φόρων
GUILDWINDOW_INFO_LEVEL5	+5% ΕΜΠ σε δωρεά συντεχνίας
GUILDWINDOW_LIST_ALL	Όλα τα Βασίλεια
GUILDWINDOW_LIST_ALREADY_REGISTER	[Συντεχνία] Έχεις ήδη κάνει αίτηση σε αυτήν τη συντεχνία.
GUILDWINDOW_LIST_APPLICANT_LIST	Λίστα αιτούντων
GUILDWINDOW_LIST_CHRACTER_JOB	Κλάση
GUILDWINDOW_LIST_CHRACTER_LV	Επίπεδο
GUILDWINDOW_LIST_CHRACTER_NAME	Όνομα Χαρακτήρα
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Διδασκαλία
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Μέλη
GUILDWINDOW_LIST_GUILD_LIST	Λίστα συντεχνιών
GUILDWINDOW_LIST_GUILD_LV	Επίπεδο
GUILDWINDOW_LIST_GUILD_NAME	Συντεχνία
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Συντεχνία] Παρακαλούμε πληκτρολόγησε ένα όνομα συντεχνίας.
GUILDWINDOW_LIST_LADDER	Πόντοι κατάταξης
GUILDWINDOW_LIST_PROMOTE_GUILD	Αίτηση
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Λίστα συντεχνιών
GUILDWINDOW_LIST_RANKING	Θέση
GUILDWINDOW_LIST_RANKING_COUNT	Θέση
GUILDWINDOW_LIST_REGISTER	Αιτήσεις
GUILDWINDOW_LIST_REGISTER_GUILD	Αίτηση στη συντεχνία
GUILDWINDOW_LIST_SEARCH	Αναζήτηση
GUILDWINDOW_LIST_SELECT_GUILD	[Συντεχνία] Παρακαλούμε διάλεξε μια συντεχνία, για να κάνεις αίτηση.
GUILDWINDOW_PROMOTE_REFRESH	Διαφήμιση
GUILDWINDOW_PROMOTE_REGISTER	Διαφήμιση
GUILDWINDOW_SP_RECOVER	Δύναμη Δράκου
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Επέκταση βωμού
GUILDWINDOW_UPGRADE_GUILDBANK	Επέκταση τράπεζας
GUILD_BANKINFO_CLOSE	Κλείσιμο
GUILD_BANKINFO_NAME	Μέλος
GUILD_BANKINFO_TYPE	Αντικείμενο/Νόμισμα
GUILD_BANKINFO_USETYPE	Προσφορά
GUILD_BANK_CLOSE	Κλείσιμο
GUILD_BANK_INFO	Αρχείο Αποθήκης συντεχνίας
GUILD_BOARD_ID	Μέλος
GUILD_BOARD_TEXT	Μήνυμα
GUILD_BUILDING_FIX_CHANGE	Θέλεις πραγματικά να αλλάξεις τη θέση;
GUILD_BUILDING_FIX_CHANGE_GOLD	Κόστος: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Θέλεις πραγματικά να σβήσεις το αντικείμενο;
GUILD_BUILDING_FIX_NEED_BUILDING	Δεν υπάρχει κτίριο.
GUILD_BUILDING_GRADE	Βαθμός
GUILD_BUILDING_NAME	Όνομα κτιρίου
GUILD_CANNOT_HEAL_GSP_ANYMORE	Η ενέργεια του Δρακοφαντάσματος είναι ήδη πλήρης.
GUILD_COMMENT	Γράψε
GUILD_CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα συντεχνίας.
GUILD_DEFAULT_GRADE	Μέλη συντεχνίας
GUILD_DELETE	Διαγραφή
GUILD_DEPOSIT	Κατάθεση
GUILD_DO_YOU_HEAL_GSP	Θέλεις να δώσεις %d Yang %d για την επαναφορά του Δρακοφαντάσματος;
GUILD_DO_YOU_JOIN	 σε προσκάλεσε στην Συντεχνία. Θα γίνεις μέλος;
GUILD_DRAGONLAIR_MIN	Λεπ.
GUILD_DRAGONLAIR_SECOND	Δευτ.
GUILD_EMPTY_AREA	Άδεια περιοχή
GUILD_ENEMY_GUILD_NAME	Όνομα συντεχνίας του εχθρού
GUILD_FACILITY	Υπόστεγο
GUILD_GEM	Πετράδι
GUILD_HEADQUARTER	Κύριο Κτίριο
GUILD_HEAL_GSP	Φόρτιση Δρακοφαντάσματος
GUILD_INFO_ENEMY_GUILD_EMPTY	Κενό
GUILD_MARK_NOT_ENOUGH_LEVEL	Απαιτείται ελάχιστο επίπεδο 3
GUILD_MARK_UPLOAD_NOTICE	Παρακαλούμε περίμενε λίγο, για να δηλώσεις τα λογότυπα της συντεχνίας.
GUILD_MEMBER_JOB	Κλάση
