TOOLTIP_ACCE_ATTR_MAX_INFO	(max. %s)
CANNOT_SKILL_NOT_ENOUGH_SP	¡No tengo suficiente SP!
CANNOT_SKILL_NOT_HORSE_SKILL	No puedo usar esto mientras cabalgo.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	No puedo usar esta habilidad con este arma.
CANNOT_SKILL_NOT_YET_LEARN	No he aprendido esta habilidad.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Esto sólo afecta a los miembros del grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Esto sólo afecta a los muertos.
CANNOT_SKILL_REMOVE_FISHING_ROD	No puedo usar esta habilidad con una caña.
CANNOT_SKILL_SELF_IN_SAFE	No puedo atacar desde aquí.
CANNOT_SKILL_USE_SELF	No puedo usar esto conmigo mismo.
CANNOT_SKILL_WAIT_COOLTIME	Aún no puedo usar esta habilidad.
CANNOT_WHISPER_DEST_REFUSE	%s has blocked whispers.
CANNOT_WHISPER_NOT_EXIST	%s does not exist.
CANNOT_WHISPER_NOT_LOGON	%s is not online.
CANNOT_WHISPER_NO_AUTH	You do not have permission to write to this recipient.
CANNOT_WHISPER_NO_OFFLINE_MESSAGE	The offline message was not sent.
CANNOT_WHISPER_SELF_REFUSE	You can't whisper anything to anyone if you've blocked whispers.
CAN_WHISPER_OFFLINE_MESSAGE	The offline message has been sent.
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	No puedes regresar a la pantalla de registro.
CHANNEL_EMPTY_SERVER	No servidor
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	¡Este canal está lleno! Por favor, selecciona otro.
CHANNEL_NOT_FIND_INFO	No puedes obtener esta información.
CHANNEL_PVP	Duelo libre
CHANNEL_SELECT_CHANNEL	Elige el canal
CHANNEL_SELECT_REGION	Elegir la región.
CHANNEL_SELECT_SERVER	Elige servidor
CHANNEL_TEST_SERVER	Test de servidor
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Create character
CHARACTER_SELECT_MODE	Select character
CHAT_ALL	Todo
CHAT_BLOCK	Bloquear
CHAT_GUILD	Gremio
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contiene palabras inválidas.
CHAT_LOG	Mostrar mensajes antiguos [L]
CHAT_LOG_TITLE	Mostrar protocolo
CHAT_NORMAL	Normal
CHAT_NOTICE	Anuncio
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar chat
CHAT_SEND_MEMO	Enviar susurro[Shift+Enter]
CHAT_SHOUT	Llamar
CHAT_SHOUT_LIMIT	Sólo puedes llamar cada 15 segundos.
CHAT_TEAM	Team
CHAT_WHISPER	Conversación
CREATE_ERROR_GM_NAME	No tienes permitido usar 'GM' en el nombre de tu personaje.
CREATE_ERROR_INSULT_NAME	Este nombre es inválido.
CREATE_EXIST_SAME_NAME	Alguien ya está usando este nombre de personaje.
CREATE_FAILURE	No puedes crear el personaje.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introducir el nombre.
CREATE_PLUS_STAT	Todavía hay puntos de estado restantes.
DAY	Días
DO_YOU_BUY_ITEM1	¿Deseas comprar %s por %s?
DO_YOU_BUY_ITEM2	¿Deseas comprar %s %s por %s?
DO_YOU_DROP_MONEY	¿Quieres tirar %d Yang?
DO_YOU_SELL_ITEM1	¿Deseas vender %s por %s?
DO_YOU_SELL_ITEM2	¿Deseas vender %s %s por %s?
DO_YOU_TAKE_OUT_ITEM1	Do you want to remove %s?
DO_YOU_TAKE_OUT_ITEM2	Do you want to remove %s %s?
DROP_ITEM_FAILURE_EQUIP_ITEM	No puedes tirar objetos equipados.
DROP_ITEM_FAILURE_PRIVATE_SHOP	No puedes dejar caer un objeto equipado si abres un almacén privado.
DROP_MONEY_FAILURE_1000_OVER	Puedes dejar caer un máximo de 999 Yang.
EMOTION_ANGRY	Irritante
EMOTION_ATTRACTIVE	Seducción
EMOTION_BANTER	Burlón
EMOTION_CHEERS_1	Salud 1
EMOTION_CHEERS_2	Salud 2
EMOTION_CHEERUP	Animar
EMOTION_CHOOSE_ONE	Elige un objetivo
EMOTION_CLAP	Aplausos
EMOTION_CLAP_KISS	Beso
EMOTION_CONGRATULATION	Aprobación
EMOTION_DANCE_1	Baile 1
EMOTION_DANCE_2	Baile 2
EMOTION_DANCE_3	Baile 3
EMOTION_DANCE_4	Baile 4
EMOTION_DANCE_5	Baile 5
EMOTION_FORGIVE	Perdón
EMOTION_FRENCH_KISS	Beso Francés
EMOTION_JOY	Alegría
EMOTION_SAD	Triste
EMOTION_SHY	Rechazo
EMOTION_SLAP	Golpe
EMPIRE_A	Reino Shinsoo
EMPIRE_B	Reino Chunjo
EMPIRE_C	Reino Jinno
EXCHANGE_CANNOT_GIVE	No puedes comerciar este artículo.
EXCHANGE_CANT_EDIT_MONEY	No puedes cambiar ahora la suma.
EXCHANGE_FAILURE_EQUIP_ITEM	No puedes intercambiar objetos equipados.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Comerciar con %s
FISHING_FAILURE	Perdiste el cebo.
FISHING_NOTIFY1	Parece que hay %s enganchado.
FISHING_NOTIFY2	Pareció que %s fue capturado.
FISHING_SUCCESS1	¡Has capturado %s!
FISHING_SUCCESS2	¡Tienes %s!
FISHING_UNKNOWN	No se lo que cogí.
FISHING_WRONG_PLACE	No puedo pescar aquí.
FOR_FEMALE	para mujer
FOR_MALE	para hombre
GAME_CANNOT_MINING	No puedes buscar minerales mientras montas.
GAME_CANNOT_PICK_ITEM	No puedes recoger este objeto ya que no lo ganaste.
GAME_INIT_ERROR_CURSOR	El cursor no pudo ser establecido.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 debe estar instalado para que este juego pueda arrancar.\nInstala DirectX 8.1 o superior.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No se ha encontrado ningún dispositivo gráfico.\nRevisa si tu tarjeta VGA está instalada correctamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	El dispositivo gráfico no está establecido.\nRevisa si tienes tarjeta VGA.\nAlternativamente, puedes activar el hardware acelerador.\n(Fija el hardware acelerador al máximo. \nPanel de Control->Pantalla->Configuración->Avanzado->Registro de tarjeta.)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La tarjeta gráfica del ordenador no soporta el modo de ventana al modo 32bit.\nCambialo al modo 16bit o a Modo Pantalla Completa.
GAME_INIT_ERROR_ITEM_PROTO	No existen datos de objetos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_MAIN_WINDOW	El servidor no pudo ser establecido
GAME_INIT_ERROR_MOB_PROTO	No existen datos de monstruos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_NETWORK	No pudieron establecerse dispositivos de red.\nRevisa tu conexión a internet.
GAME_PICK_MONEY	Has recibido %d Yang.
GUILDBANK_CLEARBANK	Warning: The Guild Warehouse must be emptied!
GUILDBANK_DONT_MONEY_OUT	You don't have any Yang in the guild bank!
GUILDBANK_GOLD_IN	Deposit
GUILDBANK_GOLD_OUT	Withdrawal
GUILDBANK_ITEM_IN	Store
GUILDBANK_ITEM_OUT	Remove
GUILDBANK_MONEYIN	Deposit Yang
GUILDBANK_MONEYOUT	Withdraw Yang
GUILDBANK_NOTUSE	No tienes los permisos necesarios
GUILDBANK_NOT_ENOUGH_MONEY	You do not have enough Yang to deposit.
GUILDBANK_OVER_INCOME	Account limit reached.
GUILDBANK_OVER_MONEY	The guild account is full.
GUILDLAND_ABANDON	Abandon Guild Territory
GUILDLAND_ABANDON_VOTE	Abandon guild [%s]'s territory.
GUILDLAND_ABANDON_VOTE_RESULT1	Guild [%s]'s territory was abandoned.
GUILDLAND_ABANDON_VOTE_RESULT2	The guild territory has been abandoned.
GUILDLAND_ABANDON_VOTE_RESULT3	Vote result:
GUILDLAND_ABANDON_VOTE_RESULT4	Vote is invalid.
GUILDLAND_ABANDON_VOTE_TEXT	Do you really want to start this vote?
GUILDLAND_ABANDON_VOTE_TEXT1	¿Acepta abandonar el territorio del gremio?
GUILDLAND_ACCEPT	Yes
GUILDLAND_DEAL	Sell Guild Territory
GUILDLAND_DEAL_TEXT1	Guild [%s] wants to sell their
GUILDLAND_DEAL_TEXT2	territory for [%s] Yang.
GUILDLAND_DEAL_TEXT3	Do you accept the offer?
GUILDLAND_DELA_VOTE	The guild [%s] wants to buy our guild territory.
GUILDLAND_DELA_VOTE_RESULT1	Guild territory sale to guild [%s]
GUILDLAND_DELA_VOTE_RESULT2	The vote has finished.
GUILDLAND_DELA_VOTE_RESULT3	Vote result for guild territory sale:
GUILDLAND_DELA_VOTE_RESULT4	Vote is invalid.
GUILDLAND_DELA_VOTE_TEXT	Which guild do you want to sell your territory to?
GUILDLAND_DELA_VOTE_TEXT1	Do you agree to sell the guild territory?
GUILDLAND_DONTHAVE_LAND	You do not own any guild territory.
GUILDLAND_NOT	No
GUILDLAND_VOTE_TEXT	Do you want to give [%s] the territory?
GUILDLIST_APPLICANT	Do you want to apply?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	La altura no es de 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	La altura no es de 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	El ancho no es de 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	El ancho no es de 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	El juego no soporta esta imagen.
GUILDMARK_UPLOADER_ERROR_PATH	Mueve los datos a la carpeta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No se seleccionó una carpeta de imágenes.
GUILDVOTE_CHANGEMASTER	Change Guild Leader
GUILDVOTE_CHANGEMASTER_RESULT1	The guild has been successfully transferred.
GUILDVOTE_CHANGEMASTER_RESULT2	The guild [%s] has been transferred to you.
GUILDVOTE_CHANGEMASTER_RESULT3	Transfer guild to member [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Voto invalido
GUILDVOTE_CHANGEMASTER_RESULT5	New guild leader: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Do you want to transfer guild to [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Do you really want to give up leadership of the guild?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Transfer guild to member [%s]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Do you agree to the guild leadership transfer?
GUILDVOTE_MEMBEROUT	Remove Member
GUILDVOTE_MEMBEROUT_AUTH	No tienes los permisos necesarios
GUILDVOTE_MEMBEROUT_NOMAL	Do you really want to remove this member?
GUILDVOTE_MEMBEROUT_RESULT1	Remove member: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Resultado de votos
GUILDVOTE_MEMBEROUT_RESULT3	You have been removed from the guild [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Vote result
GUILDVOTE_MEMBEROUT_RESULT5	Vote is invalid.
GUILDVOTE_MEMBEROUT_TEXT1	Do you want to start the vote against [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Vote: Remove member from the guild?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Vote: Should [%s] be removed from the guild?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Against
GUILDVOTE_OK	For
GUILDVOTE_RESULT_AGGRE_MEMBER	For: %d
GUILDVOTE_RESULT_ALL_MEMBER	Participants: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Against: %d
GUILDVOTE_RESULT_TIME	%d days %d hours %d minutes %d seconds
GUILDVOTE_SELECT_ONE	Please select a character.
GUILDWAR_ALL	Battles (B)
GUILDWAR_CTF_TITLE	Bandera capturada.
GUILDWAR_DRAW	Draws (D)
GUILDWAR_GAINSCORE_FIFTY	50 points
GUILDWAR_GAINSCORE_HUNDRED	100 points
GUILDWAR_GAINSCORE_THIRTY	30 points
GUILDWAR_GAMETIME_SIXTY	60 minutes
GUILDWAR_GAMETIME_TEN	10 minutes
GUILDWAR_GAMETIME_THIRTY	30 minutes
GUILDWAR_INPUT_OTHERGUILD	Please enter opposing guild.
GUILDWAR_LADDER	Rank Points
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 participants.
GUILDWAR_LOSE	Derrotas (D)
GUILDWAR_NORMAL_TITLE	Campo de batalla
GUILDWAR_OVER_MEMBERCOUNT	You have reached the member limit.
GUILDWAR_QUESTION_LINE_1	El Gremio %s ha declarado la guerra a tu Gremio.
GUILDWAR_QUESTION_LINE_2	¿Aceptas? (%s)
GUILDWAR_RANKING	Rango
GUILDWAR_RECODE_ALL	%d B, %d W, %d L, %d D
GUILDWAR_SELECT_MEMBER_COUNT	Seleccione el numero de participantes
GUILDWAR_TYPE_DEFENSE	Escudo de Batalla
GUILDWAR_TYPE_TIGER	Annihilation
GUILDWAR_TYPE_TIME	Time Attack
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Gremio teatro de guerra
GUILDWAR_WIN	Victorias (V)
GUILDWAR_WIN_FIVE	5 rounds
GUILDWAR_WIN_ONE	1 round
GUILDWAR_WIN_THREE	3 rounds
GUILDWINDOW_BUTTON_BANKGOLDINFO	Guild Warehouse Log
GUILDWINDOW_BUTTON_BASEABANDON	Abandon Guild Territory
GUILDWINDOW_BUTTON_BASEDEAL	Sell Guild Territory
GUILDWINDOW_BUTTON_BASEDEALVOTE	Votar
GUILDWINDOW_BUTTON_BOARD	Guild Messages
GUILDWINDOW_BUTTON_CHANGEMASTER	Change Guild Leader
GUILDWINDOW_BUTTON_DECLARE	Declare War
GUILDWINDOW_BUTTON_GOLDIN	Deposit
GUILDWINDOW_BUTTON_GOLDOUT	Withdrawal
GUILDWINDOW_BUTTON_GRADE	Administrar permisos
GUILDWINDOW_BUTTON_GUILDLIST	Lista de gremios
GUILDWINDOW_BUTTON_HEALGSP	Restore Dragon God Power
GUILDWINDOW_BUTTON_INFO	Guild Information
GUILDWINDOW_BUTTON_LANDINFO	Territory Information
GUILDWINDOW_BUTTON_MARK	Upload Guild Symbol
GUILDWINDOW_BUTTON_MEMBER	Member
GUILDWINDOW_BUTTON_OFFER	Donar EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Remove Member
GUILDWINDOW_BUTTON_SKILL	Guild Skills
GUILDWINDOW_BUTTON_SYMBOL	Upload Guild Flag
GUILDWINDOW_BUTTON_VOTECHECK	Check Vote
GUILDWINDOW_BUY_GUILD_LAND	Purchase Land
GUILDWINDOW_CHANGE_OBJECT	Reconstruction
GUILDWINDOW_CHANGE_SMELTER	Change Smelter
GUILDWINDOW_CREATE_OBJECT	Construction
GUILDWINDOW_DEAL_GUILD_LAND	Sell Land
GUILDWINDOW_GRADE_BANK	May use guild bank and warehouse
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	May remove members from the guild
GUILDWINDOW_GRADE_GRADENAME	Rank Name
GUILDWINDOW_GRADE_GRADENUMBER	Rank Number
GUILDWINDOW_GRADE_GUILDWAR	May select members to participate as combatants
GUILDWINDOW_GRADE_INVITEAUTHORITY	May accept players into the guild
GUILDWINDOW_GRADE_NOTICEAUTHORITY	May compose guild messages
GUILDWINDOW_GRADE_SKILLAUTHORITY	May use guild skills
GUILDWINDOW_INFO_LEVEL10	Increased max. member count
GUILDWINDOW_INFO_LEVEL15	Cost red.: Dragon God Power
GUILDWINDOW_INFO_LEVEL20	Bank: Tax exemption
GUILDWINDOW_INFO_LEVEL5	+5% EXP to guild donations
GUILDWINDOW_LIST_ALL	All Kingdoms
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] You have already applied.
GUILDWINDOW_LIST_APPLICANT_LIST	Application List
GUILDWINDOW_LIST_CHRACTER_JOB	Class
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Nombre del Personaje
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclass
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Member
GUILDWINDOW_LIST_GUILD_LIST	Guild List
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Please enter a guild name.
GUILDWINDOW_LIST_LADDER	Rank Points
GUILDWINDOW_LIST_PROMOTE_GUILD	Application
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Guild List
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Applications
GUILDWINDOW_LIST_REGISTER_GUILD	Apply to guild
GUILDWINDOW_LIST_SEARCH	Search
GUILDWINDOW_LIST_SELECT_GUILD	[Gremio] Por favor, seleccione el gremio al que desea entrar
GUILDWINDOW_PROMOTE_REFRESH	Advertise
GUILDWINDOW_PROMOTE_REGISTER	Advertise
GUILDWINDOW_SP_RECOVER	Dragon God Power
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Upgrade Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Upgrade Bank
GUILD_BANKINFO_CLOSE	Close
GUILD_BANKINFO_NAME	Member
GUILD_BANKINFO_TYPE	Item/Currency
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Close
GUILD_BANK_INFO	Guild Warehouse Log
GUILD_BOARD_ID	Member
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_FIX_CHANGE	Do you really want to change the position?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Do you really want to delete the object?
GUILD_BUILDING_FIX_NEED_BUILDING	No building present.
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_NAME	Nombre de construcción
GUILD_CANNOT_HEAL_GSP_ANYMORE	La Batalla Dragón Fantasma ya está ocupada totalmente.
GUILD_COMMENT	Escribe
GUILD_CREATE_ERROR_INSULT_NAME	Nombre de Gremio no válido.
GUILD_DEFAULT_GRADE	Miembros de Gremio
GUILD_DELETE	Borrar
GUILD_DEPOSIT	Depósito
GUILD_DO_YOU_HEAL_GSP	¿Deseas restaurar con %d Yang %d el Dragón Fantasma?
GUILD_DO_YOU_JOIN	, ¿quieres entrar en el Gremio?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Tierra vacia
GUILD_ENEMY_GUILD_NAME	Nombre de Gremio del enemigo
GUILD_FACILITY	Dependencias
GUILD_GEM	Gema
GUILD_HEADQUARTER	Edificio Principal
GUILD_HEAL_GSP	Restaurar Dragón Fantasma
GUILD_INFO_ENEMY_GUILD_EMPTY	Ninguno
GUILD_MARK_NOT_ENOUGH_LEVEL	Se necesita por lo menos el nivel 4
GUILD_MARK_UPLOAD_NOTICE	Please wait a moment so you can add guild logos.
GUILD_MEMBER_JOB	Class
GUILD_MEMBER_KNIGHT	Combatiente
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Member
GUILD_MEMBER_RANK	Rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Donated EXP
GUILD_NAME	Nombre de Gremio
GUILD_NOT_ENOUGH_MATERIAL	No tienes suficientes recursos para esta construcción.
GUILD_NOT_ENOUGH_MONEY	No tienes suficiente Yang para este edificio.
GUILD_NO_NOTICE_PERMISSION	No tienes los permisos para realizar un anuncio.
GUILD_OBJECT	Objetos
GUILD_OFFER_EXP	Experiencia a invertir
GUILD_SHORT_EXP	Aún no hay suficiente experiencia
GUILD_TILE_BASEINFO	Información Básica
GUILD_TILE_BOARD	Pizarra
GUILD_TILE_GRADE	Administración Derechos
GUILD_TILE_INFO	Información de Gremio
GUILD_TILE_MEMBER	Miembros del Gremio
GUILD_TILE_SKILL	Habilidades del Gremio
GUILD_USE_MASTER_ONLY	Only the guild leader has this right.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Guild War Area
GUILD_WAR2	Guild War Area
GUILD_WAR3	Guild War Area
GUILD_WAR4	Guild War Area
GUILD_WAR_GAINSCORE_FIFTY	50 points
GUILD_WAR_GAINSCORE_HUNDRED	100 points
GUILD_WAR_GAINSCORE_THIRTY	30 points
GUILD_WAR_GAMETIME_SIXTY	60 minutes
GUILD_WAR_GAMETIME_TEN	10 minutes
GUILD_WAR_GAMETIME_THIRTY	30 minutes
GUILD_WAR_LIMIT_30MIN	Tiempo: 30 minutos
GUILD_WAR_REWARD_POTION	Recompensa: El ganador recibe una poción.
GUILD_WAR_SELECT_WAR	Select type
GUILD_WAR_TYPE_DEFENSE	Shield Battle
GUILD_WAR_TYPE_DIE	Arena Battle
GUILD_WAR_TYPE_FLAG	Capture the Flag
GUILD_WAR_TYPE_NORMAL	Field Battle
GUILD_WAR_TYPE_TIGER	Annihilation
GUILD_WAR_TYPE_TIME	Time Attack
GUILD_WAR_USE_BATTLE_MAP	Usar Teatro de guerra de Gremio
GUILD_WAR_USE_NORMAL_MAP	Usar Mapa Normal
GUILD_WAR_WIN_CHECK_SCORE	El mayor resultado gana la guerra.
GUILD_WAR_WIN_FIVE	5 rounds
GUILD_WAR_WIN_ONE	1 round
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captura la bandera de tu enemigo y llévala a tu base.
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	Captura la bandera de tu enemigo y llévala a tu base.
GUILD_WAR_WIN_THREE	3 rounds
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrota a todos los enemigos para ganar.
GUILD_WITHDRAW	Alternativa
GUILD_YOU_DO_NOT_JOIN	No eres miembro de ningún gremio
HORSE_HEALTH0	Muerto
HORSE_HEALTH1	Hambriento
HORSE_HEALTH2	Muerto de Hambre
HORSE_HEALTH3	Lleno
HORSE_LEVEL1	Caballo normal
HORSE_LEVEL2	Caballo de Batalla
HORSE_LEVEL3	Caballo militar
HOUR	Horas
HOW_MANY_ITEM_DO_YOU_DESTROY1	Do you want to destroy %s?
HOW_MANY_ITEM_DO_YOU_DESTROY2	Do you want to destroy %dx %s?
HOW_MANY_ITEM_DO_YOU_DROP1	¿Deseas tirar %s?
HOW_MANY_ITEM_DO_YOU_DROP2	¿Deseas tirar %s %d?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY1	Do you want to discard or destroy %s?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY2	Do you want to discard or destroy %dx %s?
INPUT_MATRIX_CARD_NUMBER	Introduce código de Tarjeta Matrix.
INPUT_MATRIX_CARD_TITLE	Tarjeta Matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introduce aquí el código de borrado de los ajustes de tu cuenta.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Borrar personaje
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Papel de retorno no puede ser combinado.
INVENTORY_REALLY_USE_ITEM	¿Deseas usar este objeto?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja aficionado
JOB_ASSASSIN1	Poder de los Ninjas
JOB_ASSASSIN2	Nomuerto
JOB_SHAMAN	Chamán
JOB_SHAMAN0	Chamán Aficionado
JOB_SHAMAN1	Poder del Dragón
JOB_SHAMAN2	Poder del Relámpago
JOB_SURA	Sura
JOB_SURA0	Sura Aficionado
JOB_SURA1	Poder de la Visión Engañosa
JOB_SURA2	Poder de Magia Negra
JOB_WARRIOR	Guerrero
JOB_WARRIOR0	Guerrero Aficionado
JOB_WARRIOR1	Poder de Arahan
JOB_WARRIOR2	Poder de Partisanos
LEFT_TIME	Tiempo restante
LOGIN_CONNECT_FAILURE	Error al conectar al servidor.
LOGIN_CONNECT_SUCCESS	Estás conectado al servidor
LOGIN_CONNETING	Serás conectado al servidor.
LOGIN_FAILURE_ALREAY	Tu cuenta ya está conectada.
LOGIN_FAILURE_BE_SAME_KEY	Problema de registro.
LOGIN_FAILURE_BLOCK_ID	Tu cuenta está baneada.
LOGIN_FAILURE_BLOCK_HWID	Your computer is still locked for %s.
LOGIN_FAILURE_BLOCK_LOGIN	¡Por favor, elige uno de los otros servidores!
LOGIN_FAILURE_NOBILL	Tu cuenta no tiene horas de juego.
LOGIN_FAILURE_NOT_AVAIL	The account is still temporarily locked for %s.
LOGIN_FAILURE_NOT_EXIST_ID	Nombre de cuenta o contraseña incorrectos
LOGIN_FAILURE_REPAIR_ID	Han sido reestablecidos objetos para esta cuenta.
LOGIN_FAILURE_SHUTDOWN	Este servidor aún no está abierto.
LOGIN_FAILURE_TOO_MANY_USER	No puedes conectar porque hay demasiados jugadores conectados.
LOGIN_FAILURE_UNKNOWN	No te puedes registrar por razones desconocidas.
LOGIN_FAILURE_WEB_BLOCK	Has sido bloqueado del sitio web. Por favor comprueba tus EMails.
LOGIN_FAILURE_BRUTEFORCE	Too many failed logon attempts have been detected. Therefore, your computer is temporarily locked %s for any logon attempts.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Has introducido un número incorrecto.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Has introducido un número incorrecto tres veces. /n Tu conexión será deshabilitada.
