ACCE_ABSORB	Absorción de las bonificaciones
OPTION_FOG_MIDDLE	Media
OPTION_INPUT_MOBILE_BUTTON	Introducir Número de Teléfono Móvil
OPTION_MOBILE	Teléfono Móvil
OPTION_MUSIC	Música
OPTION_MUSIC_CHANGE	Cambiar
OPTION_MUSIC_DEFAULT_THEMA	Música Estándar de Metin2
OPTION_NAME_COLOR	Color del Nombre
OPTION_NAME_COLOR_EMPIRE	Color de Imp.
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	Modo PvP
OPTION_PVPMODE_FREE	Libre
OPTION_PVPMODE_FREE_TOOLTIP	Puedes atacar a todos los jugadores.
OPTION_PVPMODE_GUILD	Gremio
OPTION_PVPMODE_GUILD_TOOLTIP	Puedes atacar a todos los jugadores menos a los miembros de tu Gremio
OPTION_PVPMODE_PEACE	Paz
OPTION_PVPMODE_PEACE_TOOLTIP	No puedo atacar a ningún jugador.
OPTION_PVPMODE_REVENGE	Hostil
OPTION_PVPMODE_REVENGE_TOOLTIP	Sólo puedes atacar a aquellos que tienen otro Ethos.
OPTION_SOUND	Sonidos
OPTION_TARGET_BOARD	Menú de Obj.
OPTION_TARGET_BOARD_NO_VIEW	Cerrar
OPTION_TARGET_BOARD_VIEW	Mostrar
OPTION_TILING	Gráficos
OPTION_TILING_APPLY	Aplicar
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opciones
OPTION_VIEW_CHAT	Línea de Chat
OPTION_VIEW_CHAT_OFF	Esconder
OPTION_VIEW_CHAT_ON	Mostrar
PARTY_MEMBER_INFO_NAME	Nombre del Miembro del Grupo
PASSWORD_DESC_1	Ingrese su contraseña
PASSWORD_DESC_2	to open the storeroom.
PASSWORD_DESC_3	Already changed your password?
PASSWORD_DESC_4	If not, your password will be '000000'.
PASSWORD_DESC_5	Change your password in storage.
PASSWORD_TITLE	Guardando Contraseña
PICK_MONEY_TITLE	Dividir
PRIVATE_SHOP_CLOSE_BUTTON	Cerrar tienda
PRIVATE_SHOP_NAME	Nombre de la tienda
PRIVATE_SHOP_TITLE	Abrir tienda privada
OFFLINE_SHOP_CREATE_TITLE	Set up an offline store
REFINE_COST	Costes de Mejora: 0 Yang
REFINE_INFO	Probabilidad de mejorar satisfactoriamente: 100%
REFINE_TTILE	Mejoras
REPORT_VIOLENT_WHISPER	Sneak
RESTART_HERE	Volver a Empezar Aquí
RESTART_TOWN	Volver a Empezar en la Ciudad
SAFE_CHANGE_PASSWORD	Cambiar Contraseña
SAFE_TITLE	Almacén
SELECT_ATT_GRADE	STR
SELECT_CREATE	Crear
SELECT_DELETE	Borrar
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nombre del Reino
SELECT_EXIT	Cerrar
SELECT_HP	VIT
SELECT_LEVEL	Nivel
SELECT_METIN_STONE_TITLE	Seleccionar Piedra Espíritu
SELECT_NAME	Nombre
SELECT_NO_GUILD	Sin Gremio
SELECT_PLAYTIME	T. de Juego (min)
SELECT_SELECT	Empezar
SELECT_SP	Inteligencia
SELECT_TITLE	Elegir Título
SHOP_BUY	Comprar
SHOP_SELL	Vender
SHOP_TITLE	Tienda
SKILL_SUPPORT_TITLE	Habilidades Estándar
SYSTEMOPTION_TITLE	Opciones del Sistema
SYSTEM_CHANGE	Cambiar Personaje
SYSTEM_EXIT	Fin del Juego
SYSTEM_HELP	Ayuda
SYSTEM_LOGOUT	Salir
SYSTEM_MALL	Item Shop
SYSTEM_OPTION	Opciones del Sistema
TASKBAR_MONEY	Money Bar
TASKBAR_CHARACTER	Carácter[C/V/B/N]
TASKBAR_CHAT	Ventana de chat
TASKBAR_DISABLE	Desactivado
TASKBAR_EXPAND	Expand window
TASKBAR_INVENTORY	Inventario[I]
TASKBAR_MESSENGER	Mensajes
TASKBAR_NEXT_QUICKSLOT	Siguiente Campo de Acceso Rápido [Shift+Número, Alt]
TASKBAR_PREV_QUICKSLOT	Anterior Campo de Acceso Rápido [Shift+Número]
TASKBAR_SYSTEM	Opciones[ESC]
WHISPER_BAN	Bloquear
WHISPER_NAME	Susurro
WHISPER_REPORT	report
WHISPER_SEND	Enviar
YES	Sí
ZONE_MAP	Mapa Grande
INVENTORY_SORT	Sort
GUILD_SAFE_TITLE	Guildstorage
GUILD_SAFEBOX_MONEY_TITLE	Guildstorage - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	How much yang do you want to deposit or take out?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Deposit
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Withdraw
GUILD_SAFE_LOG_TITLE	Guildstorage Logs
GUILD_SAFE_LOG_BUTTON	Logs
ACCOUNT_PASSWORD_Q	Forgot?
BDAY_EVENT_DESC_D1	Kill most Bossmonsters
ACCOUNT_USERNAME_Q	Forgot your account name?
ACCOUNT_REGISTER	Register?
ACCOUNT_REGISTER_Q	You don't have an account?
ACCOUNT_CHANNEL	Channel %d
ACCOUNT_USERNAME_LABEL	Account name / ID
ACCOUNT_PASSWORD_LABEL	Password
ACCOUNT_LOGIN	Login
ACCOUNT_YOUR_ACCLIST	Your accounts
SELECT_LANGUAGE_TITLE	Language
LOGIN_EMPTY	[Save acc]
COSTUME_WINDOW_TITLE	Atuendos
COSTUME_TITLE	Abrir Atuendos
SYSTEM_CHANNEL	Cambiar Channel
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	My offline store
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Vitality
PET_STAT2_NAME	Strength
PET_STAT3_NAME	Intelligence
PET_STAT4_NAME	Agility
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Strong against Monster
MOUNT_STAT2_NAME	Defense against Monsters
MOUNT_STAT3_NAME	Strong against Metinstones
MOUNT_STAT4_NAME	Strong against Bosses
CHARACTER_VALUE	Properties
CHARACTER_STATISTIC	Bonus
CHAR_STAT_MVSPD	Movement Speed:
CHAR_STAT_ATSPD	Attack Speed:
CHAR_STAT_SPSPD	Spell Speed:
CHAR_STAT_MAGIC_ATK	Ataque magico:
CHAR_STAT_NORMAL_ATK	Normal attack:
CHAR_STAT_MAGIC_DEF	Magic Defense:
CHAR_STAT_NORMAL_DEF	Normal Defense:
CHAR_STAT_DODGE	Dodge:
CHAR_MAIN_HP	(VIT) Vitality:
CHAR_MAIN_INT	(INT) Intelligence:
CHAR_MAIN_STR	(STR) Strength:
CHAR_MAIN_DEX	(DEX) Agilidad:
CHAR_MAIN_POINTS	Points available: 
CHARACTER_BONI_ATTACK	Attack
CHARACTER_BONI_DEFENSE	Defense
CHARACTER_BONI_PVM	Monster (PVM)
CHARACTER_BONI_PVP	Player (PVP)
CHAR_HP	(HP) Life
CHAR_MP	(SP) Mana
CHAR_EXP_OF	Of
CHARACTER_ANTI_EXP_ACTIVE	Get Experience: Disabled
CHARACTER_ANTI_EXP_INACTIVE	Get experience: Enabled
QUEST_CATEGORIE_1	General
QUEST_CATEGORIE_2	Battlepass
TASKBAR_OPEN_CHAT	Open Chat
DRAGONSOUL_ACTIVATE	Activar
DRAGONSOUL_REFINE_OPEN	Improve
DRAGONSOUL_PAGE_BUTTON_1	En bruto
DRAGONSOUL_PAGE_BUTTON_2	Afilado
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antiguo
DRAGONSOUL_PAGE_BUTTON_5	Legendario
DRAGONSOUL_REFINE_WINDOW_TITLE	Ventana de refinamiento
DRAGONSOUL_TAP_TITLE_1	Diamante de dragón
DRAGONSOUL_TAP_TITLE_2	Rubí de dragón
DRAGONSOUL_TAP_TITLE_3	Jade de dragón
DRAGONSOUL_TAP_TITLE_4	Zafiro de dragón
DRAGONSOUL_TAP_TITLE_5	Granate de dragón
DRAGONSOUL_TAP_TITLE_6	Ónice de dragón
DRAGONSOUL_TITLE	Alquimia de Piedras dragón
GRADE_SELECT	Class
STEP_SELECT	Clarity grade
STRENGTH_SELECT	Level
DO_REFINE	Refinar
GAYA_SHOP_TITLE	Tienda Gaya
AUCTION_INFORMER_WINDOW_TITLE	Objeto vendido
AUCTION_WINDOW_TITLE	Shop Search
AUCTION_PAGE_BUTTON_BUY	Buy
AUCTION_PAGE_BUTTON_SELL	Sell
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Item name...
AUCTION_SEARCH_BUTTON_TEXT	Search
AUCTION_SEARCH_RESET_BUTTON_TEXT	Reset
AUCTION_LV_TEXT_1	Límite de nivel
AUCTION_LV_TEXT_2	a
AUCTION_PRICE_TEXT_1	Cost limit
AUCTION_PRICE_TEXT_2	a
AUCTION_PRICE_OVERLAY_2	-(unlimited)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Mostrar solo artículos de la casa de subastas
AUCTION_ONLY_SELF_CHECKBOX	Show only your own items
AUCTION_ORDER_TITLE	Sorting options
AUCTION_ORDER_BUTTON_NAME	Nombre de Objeto
AUCTION_ORDER_BUTTON_PRICE	Price
AUCTION_ORDER_BUTTON_DATE	Hire Date
AUCTION_SELL_NO_ITEM_TEXT	Drag an item onto this window to select it for sale.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	The Sell option is currently disabled for the auction house.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Enter a price...
AUCTION_SELL_ITEM_BUTTON	Set
AUCTION_SELL_PRICE_TAX_INFO	Items you place in the auction house will be charged 9% tax. The displayed price is the value that the player must pay. The value after you receive shows how much yang you get when you sell.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Ten pages back
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Diez páginas más
AUCTION_RACE_TEXT	Class
AUCTION_RACE_TEXT_1	Warrior
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Shaman
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Secure Mode
MINI_GAME_RUMI_EXIT	End
MINI_GAME_RUMI_LBUTTON_DESC	Left-click to add card
MINI_GAME_RUMI_RBUTTON_DESC	Right-click to discard card
MINI_GAME_RUMI_SCORE	Score
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin2 Okey Card Game
OPTION_ITEM_HIGHLIGHT	New Items
OPTION_ITEM_HIGHLIGHT_ON	Mark
OPTION_ITEM_HIGHLIGHT_OFF	Nothing
OPTION_GOLD_PICKUP	Yang Message
OPTION_GOLD_PICKUP_ON	Activo
OPTION_GOLD_PICKUP_OFF	Inactive
WEB_LOADING_TITLE	Loading browser...
WEB_LOADING_DESC	Please have a brief moment of patience
ANTIEXP_TOOLTIP	Anti-EXP
OPTION_DISABLE_PICKUP	Don't pick up
OPTION_DISABLE_PICKUP_ARMOR	Armors
OPTION_DISABLE_PICKUP_WEAPON	Weapons
OPTION_DISABLE_PICKUP_ETC	Jewelers
GUILD_DRAGONLAIR_RANKING	Rangos
GUILD_DRAGONLAIR_RANKING_COUNT	Rango
GUILD_DRAGONLAIR_RANKING_MEMBER	Member
GUILD_DRAGONLAIR_RANKING_NAME	Guild
GUILD_DRAGONLAIR_RANKING_TIME	Time
FAKEBUFF_SKILL_TITLE	Buffi-Skills
ATTRTREE_TITLE_1	Warrior
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Shaman
ATTRTREE_TITLE_5	Special
ATTRTREE_TITLE_6	Monster
ATTRTREE_REFINE_TITLE	Improve
ATTRTREE_REFINE_UPGRADE	Mejorar
ATTRTREE_REFINE_CANCEL	Cancel
SELECT_METIN_DETACH_TITLE	Remove Stone
SELECT_METIN_DETACH_INFO	Select the stone you want to remove.
SELECT_METIN_DETACH_BUTTON	Remove
SELECT_ATTR_DETACH_TITLE	Remove bonus
SELECT_ATTR_DETACH_INFO	Selecciona el bonus que desea remover.
SELECT_ATTR_DETACH_BUTTON	Remove
QUEST_CATEGORIE_3	Event-Battlepass
QUEST_CATEGORIE_4	Pase de Batalla ilimitado
OFFLINE_SHOP_RENEW_BUTTON	Renew
DO_REFINE_ALL	Refine all
OPTION_QUEST_LETTER	Quest Letters
OPTION_QUEST_LETTER_SHOW	Show
OPTION_QUEST_LETTER_HIDE	Hide
OPTION_PICKUP_ALL	Recoger
OPTION_PICKUP_FAST	All
OPTION_PICKUP_SLOW	Single
SHOP_SEARCH_SORT_DESC	Sort
SHOP_SEARCH_SORT_ALPHA_AZ	Alphabetically - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Alphabetically - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Single Price Ascending
SHOP_SEARCH_SORT_PRICE_DESC	Single Price Descending
SHOP_SEARCH_CAT_DESC	Categories
SHOP_SEARCH_CAT_ALL	All
SHOP_SEARCH_CAT_WEAPON	Armas
SHOP_SEARCH_CAT_ARMOR	Armor
SHOP_SEARCH_CAT_JEWELLERY	Jewelry
SHOP_SEARCH_CAT_TALISMAN	Talisman
SHOP_SEARCH_CAT_DRAGONSOUL	Dragon Stone Alchemy
SHOP_SEARCH_CAT_COSTUME	Costume
SHOP_SEARCH_CAT_COSTUME_BONI	Bonus de Atuendo
SHOP_SEARCH_CAT_SKILLS	Skills
SHOP_SEARCH_CAT_POTIONS	Potions
SHOP_SEARCH_CAT_USABLE	Consumption Items
SHOP_SEARCH_CAT_FISHS	Fish
SHOP_SEARCH_CAT_MOUNTS	Monturas
SHOP_SEARCH_CAT_PETS	Companion
SHOP_SEARCH_CAT_OWNED	My Items
LOGIN_SHRINK	Shrink
LOGIN_EXTEND	Expand
OPTION_USENIGHT	Night mode
OPTION_CAMERA_DISTANCE_HUGE	Extra Far
SPLIT_ITEM	Complete split
PLAYER_SELECT_HAIR_TITLE	Hairstyle Choice
EVENT_JOIN_TITLE	Join Event
EVENT_JOIN_ACCEPT_BUTTON	Teleport
EVENT_JOIN_DECLINE_BUTTON	Declinar
OPTION_SHOP_TITLE	Shop Title
REFINE_FAST_CHECK	No cieres
GUILD_MEMBER_MELEY	Start Meleys Lair
COMB_TITLE	Costume bonus transfer
COMB_APPEARANCE	Costume 1
COMB_ATTRIBUTE	Costume 2
GAMEOPTION_TITLE_EXTRA	Extra Option
HIDE_COSTUMES	Hide Costume
GAMEOPTION_HAIR	Hairstyle
SWITCHBOT_TITLE	Switch Bot
SWITCHBOT_ALREADY_ATTACHED	This Item was already added to the switch bot.
RENDER_OPT	Optimisation
RENDER_OPT_LOW	Low
RENDER_OPT_MEDIUM	Medium
RENDER_OPT_HIGH	High
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	You cannot add another item.
