ACCE_ABSORB	Bonus Absorption
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Inventory
INVENTORY_TITLE	Inventory
ITEM_MALL	Item Shop
LOAD_ERROR	The File is damaged. Please install new. Press ESC now.
LOGIN_CONNECT	Connect
LOGIN_CONNECTING	You will be connected to the Server
LOGIN_DEFAULT_SERVERADDR	Servername, Channel 1
LOGIN_EXIT	Exit
LOGIN_REGION_TITLE	Choose Place for issuing an invoice.
LOGIN_SELECT_BUTTON	Choose
LOGIN_SELECT_EXIT	Exit
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Choose Server
MALL_PASSWORD_TITLE	Password
MALL_TITLE	Item Shop Storeroom
MARKET_TITLE	Load
MARKLIST_REFRESH	Refresh
MARKLIST_TITLE	Register Guild Sign
MESSAGE	This is a Message
MESSENGER_ADD_FRIEND	Add friend
MESSENGER_DELETE_FRIEND	Delete
MESSENGER_MOBILE	Send Text Message
MESSENGER_OPEN_GUILD	Open Guild Window
MESSENGER_TITLE	Friends
MESSENGER_USE_GUILD_MOVE_SKILL	Use the Guild Moving Skill
MESSENGER_WHISPER	Whisper
MINIMIZE	Minimize
MOUSEBUTTON_ATTACK	Attack
MOUSEBUTTON_AUTO_ATTACK	Attack automatically
MOUSEBUTTON_CAMERA	Camera
MOUSEBUTTON_SKILL	Skills
MUSICLIST_TITLE	Music Choices
NO	No
OK	OK
OPTION_ALWAYS_SHOW_NAME	Name
OPTION_ALWAYS_SHOW_NAME_OFF	Limited
OPTION_ALWAYS_SHOW_NAME_ON	Always
OPTION_BLOCK	Block
OPTION_BLOCK_EXCHANGE	Trade
OPTION_BLOCK_FRIEND	Friends
OPTION_BLOCK_GUILD	Guild
OPTION_BLOCK_PARTY	Group
OPTION_BLOCK_PARTY_REQUEST	Request
OPTION_BLOCK_WHISPER	Whisper
OPTION_CAMERA_DISTANCE	Camera
OPTION_CAMERA_DISTANCE_LONG	Far
OPTION_CAMERA_DISTANCE_SHORT	Close
OPTION_DELETE_MOBILE_BUTTON	Delete Cell Phone Number
OPTION_EFFECT	Hit Info
OPTION_FOG	Fog
OPTION_FOG_DENSE	Dense
OPTION_FOG_LIGHT	Light
OPTION_FOG_MIDDLE	Middle
OPTION_INPUT_MOBILE_BUTTON	Enter Cell Phone Number
OPTION_MOBILE	Cell Phone
OPTION_MUSIC	Music
OPTION_MUSIC_CHANGE	Change
OPTION_MUSIC_DEFAULT_THEMA	Standard Music of Metin2
OPTION_NAME_COLOR	Name Color
OPTION_NAME_COLOR_EMPIRE	Kingdom Color
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP Mode
OPTION_PVPMODE_FREE	Free
OPTION_PVPMODE_FREE_TOOLTIP	You are allowed to attack all players.
OPTION_PVPMODE_GUILD	Guild
OPTION_PVPMODE_GUILD_TOOLTIP	You are allowed to attack all players but your Guild members.
OPTION_PVPMODE_PEACE	Peace
OPTION_PVPMODE_PEACE_TOOLTIP	You cannot attack players from your kingdom.
OPTION_PVPMODE_REVENGE	Hostile
OPTION_PVPMODE_REVENGE_TOOLTIP	You can only attack those who have another Ethos.
OPTION_SOUND	Sound Effects
OPTION_TARGET_BOARD	Target Menu
OPTION_TARGET_BOARD_NO_VIEW	Close
OPTION_TARGET_BOARD_VIEW	Show
OPTION_TILING	Graphic
OPTION_TILING_APPLY	Apply
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Options
OPTION_VIEW_CHAT	Chat Line
OPTION_VIEW_CHAT_OFF	Hide
OPTION_VIEW_CHAT_ON	Show
PARTY_MEMBER_INFO_NAME	Name of the Group member
PASSWORD_DESC_1	Enter your password
PASSWORD_DESC_2	to open the storeroom.
PASSWORD_DESC_3	Already changed your password?
PASSWORD_DESC_4	If not, your password will be '000000'.
PASSWORD_DESC_5	Change your password in storage.
PASSWORD_TITLE	Saving Password
PICK_MONEY_TITLE	Divide
PRIVATE_SHOP_CLOSE_BUTTON	Close shop
PRIVATE_SHOP_NAME	Name of the shop
PRIVATE_SHOP_TITLE	Open private shop
OFFLINE_SHOP_CREATE_TITLE	Set up an offline store
REFINE_COST	Upgrading Costs: 0 Yang
REFINE_INFO	Chance to upgrade successfully: 100%
REFINE_TTILE	Upgrades
REPORT_VIOLENT_WHISPER	Sneak
RESTART_HERE	Restart here
RESTART_TOWN	Restart in the City
SAFE_CHANGE_PASSWORD	Change Password
SAFE_TITLE	Storeroom
SELECT_ATT_GRADE	STR
SELECT_CREATE	Create
SELECT_DELETE	Delete
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Name of Kingdom
SELECT_EXIT	Close
SELECT_HP	VIT
SELECT_LEVEL	Level
SELECT_METIN_STONE_TITLE	Select Spirit Stone
SELECT_NAME	Name
SELECT_NO_GUILD	No Guild
SELECT_PLAYTIME	Playtime
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Choose Title
SHOP_BUY	Buy
SHOP_SELL	Sell
SHOP_TITLE	Shop
SKILL_SUPPORT_TITLE	Standard Skills
SYSTEMOPTION_TITLE	System Options
SYSTEM_CHANGE	Change Character
SYSTEM_EXIT	Exit Game
SYSTEM_HELP	Help
SYSTEM_LOGOUT	Log Out
SYSTEM_MALL	Item Shop
SYSTEM_OPTION	System Options
TASKBAR_MONEY	Money Bar
TASKBAR_CHARACTER	Character [C/V/B/N]
TASKBAR_CHAT	Chat Window [Enter]
TASKBAR_DISABLE	Deactivated
TASKBAR_EXPAND	Expand window
TASKBAR_INVENTORY	Inventory [I]
TASKBAR_MESSENGER	Friends [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Next Fast Access Field [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Previous Fast Access Field [Shift+Number]
TASKBAR_SYSTEM	Options[ESC]
WHISPER_BAN	Block
WHISPER_NAME	Whisper
WHISPER_REPORT	report
WHISPER_SEND	Send
YES	Yes
ZONE_MAP	Large Map
INVENTORY_SORT	Sort
GUILD_SAFE_TITLE	Guildstorage
GUILD_SAFEBOX_MONEY_TITLE	Guildstorage - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	How much yang do you want to deposit or take out?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Deposit
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Withdraw
GUILD_SAFE_LOG_TITLE	Guildstorage Logs
GUILD_SAFE_LOG_BUTTON	Logs
ACCOUNT_PASSWORD_Q	Forgot?
BDAY_EVENT_DESC_D1	Kill most Bossmonsters
ACCOUNT_USERNAME_Q	Forgot your account name?
ACCOUNT_REGISTER	Register?
ACCOUNT_REGISTER_Q	You don't have an account?
ACCOUNT_CHANNEL	Channel %d
ACCOUNT_USERNAME_LABEL	Account name / ID
ACCOUNT_PASSWORD_LABEL	Password
ACCOUNT_LOGIN	Login
ACCOUNT_YOUR_ACCLIST	Your accounts
SELECT_LANGUAGE_TITLE	Language
LOGIN_EMPTY	[Save acc]
COSTUME_WINDOW_TITLE	Costumes
COSTUME_TITLE	Open Costumes
SYSTEM_CHANNEL	Change Channel
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	My offline store
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Vitality
PET_STAT2_NAME	Strength
PET_STAT3_NAME	Intelligence
PET_STAT4_NAME	Agility
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Strong against Monster
MOUNT_STAT2_NAME	Defense against Monsters
MOUNT_STAT3_NAME	Strong against Metinstones
MOUNT_STAT4_NAME	Strong against Bosses
CHARACTER_VALUE	Properties
CHARACTER_STATISTIC	Bonuses
CHAR_STAT_MVSPD	Movement Speed:
CHAR_STAT_ATSPD	Attack Speed:
CHAR_STAT_SPSPD	Spell Speed:
CHAR_STAT_MAGIC_ATK	Magic attack:
CHAR_STAT_NORMAL_ATK	Normal attack:
CHAR_STAT_MAGIC_DEF	Magic Defense:
CHAR_STAT_NORMAL_DEF	Normal Defense:
CHAR_STAT_DODGE	Dodge:
CHAR_MAIN_HP	(VIT) Vitality:
CHAR_MAIN_INT	(INT) Intelligence:
CHAR_MAIN_STR	(STR) Strength:
CHAR_MAIN_DEX	(DEX) Agility:
CHAR_MAIN_POINTS	Points available: 
CHARACTER_BONI_ATTACK	Attack
CHARACTER_BONI_DEFENSE	Defense
CHARACTER_BONI_PVM	Monster (PVM)
CHARACTER_BONI_PVP	Player (PVP)
CHAR_HP	(HP) Life
CHAR_MP	(SP) Mana
CHAR_EXP_OF	Of
CHARACTER_ANTI_EXP_ACTIVE	Get Experience: Disabled
CHARACTER_ANTI_EXP_INACTIVE	Get experience: Enabled
QUEST_CATEGORIE_1	General
QUEST_CATEGORIE_2	Battlepass
TASKBAR_OPEN_CHAT	Open Chat
DRAGONSOUL_ACTIVATE	Activate
DRAGONSOUL_REFINE_OPEN	Improve
DRAGONSOUL_PAGE_BUTTON_1	Rough
DRAGONSOUL_PAGE_BUTTON_2	Cut
DRAGONSOUL_PAGE_BUTTON_3	Rare
DRAGONSOUL_PAGE_BUTTON_4	Antique
DRAGONSOUL_PAGE_BUTTON_5	Legendary
DRAGONSOUL_REFINE_WINDOW_TITLE	Refinement Window
DRAGONSOUL_TAP_TITLE_1	Dragon Diamond
DRAGONSOUL_TAP_TITLE_2	Dragon Ruby
DRAGONSOUL_TAP_TITLE_3	Dragon Jade
DRAGONSOUL_TAP_TITLE_4	Dragon Sapphire
DRAGONSOUL_TAP_TITLE_5	Dragon Garnet
DRAGONSOUL_TAP_TITLE_6	Dragon Onyx
DRAGONSOUL_TITLE	Dragon Stone Alchemy
GRADE_SELECT	Class
STEP_SELECT	Clarity grade
STRENGTH_SELECT	Level
DO_REFINE	Refine
GAYA_SHOP_TITLE	Gaya Store
AUCTION_INFORMER_WINDOW_TITLE	Item sold
AUCTION_WINDOW_TITLE	Shop Search
AUCTION_PAGE_BUTTON_BUY	Buy
AUCTION_PAGE_BUTTON_SELL	Sell
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Item name...
AUCTION_SEARCH_BUTTON_TEXT	Search
AUCTION_SEARCH_RESET_BUTTON_TEXT	Reset
AUCTION_LV_TEXT_1	Level limit
AUCTION_LV_TEXT_2	to
AUCTION_PRICE_TEXT_1	Cost limit
AUCTION_PRICE_TEXT_2	to
AUCTION_PRICE_OVERLAY_2	-(unlimited)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Show auction house items only
AUCTION_ONLY_SELF_CHECKBOX	Show only your own items
AUCTION_ORDER_TITLE	Sorting options
AUCTION_ORDER_BUTTON_NAME	Item Name
AUCTION_ORDER_BUTTON_PRICE	Price
AUCTION_ORDER_BUTTON_DATE	Hire Date
AUCTION_SELL_NO_ITEM_TEXT	Drag an item onto this window to select it for sale.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	The Sell option is currently disabled for the auction house.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Enter a price...
AUCTION_SELL_ITEM_BUTTON	Set
AUCTION_SELL_PRICE_TAX_INFO	Items you place in the auction house will be charged 9% tax. The displayed price is the value that the player must pay. The value after you receive shows how much yang you get when you sell.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Ten pages back
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Ten pages further
AUCTION_RACE_TEXT	Class
AUCTION_RACE_TEXT_1	Warrior
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Shaman
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Secure Mode
MINI_GAME_RUMI_EXIT	End
MINI_GAME_RUMI_LBUTTON_DESC	Left-click to add card
MINI_GAME_RUMI_RBUTTON_DESC	Right-click to discard card
MINI_GAME_RUMI_SCORE	Score
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin2 Okey Card Game
OPTION_ITEM_HIGHLIGHT	New Items
OPTION_ITEM_HIGHLIGHT_ON	Mark
OPTION_ITEM_HIGHLIGHT_OFF	Nothing
OPTION_GOLD_PICKUP	Yang Message
OPTION_GOLD_PICKUP_ON	Active
OPTION_GOLD_PICKUP_OFF	Inactive
WEB_LOADING_TITLE	Loading browser...
WEB_LOADING_DESC	Please have a brief moment of patience
ANTIEXP_TOOLTIP	Anti-EXP
OPTION_DISABLE_PICKUP	Don't pick up
OPTION_DISABLE_PICKUP_ARMOR	Armors
OPTION_DISABLE_PICKUP_WEAPON	Weapons
OPTION_DISABLE_PICKUP_ETC	Jewelers
GUILD_DRAGONLAIR_RANKING	Rankings
GUILD_DRAGONLAIR_RANKING_COUNT	Rank
GUILD_DRAGONLAIR_RANKING_MEMBER	Member
GUILD_DRAGONLAIR_RANKING_NAME	Guild
GUILD_DRAGONLAIR_RANKING_TIME	Time
FAKEBUFF_SKILL_TITLE	Buffi-Skills
ATTRTREE_TITLE_1	Warrior
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Shaman
ATTRTREE_TITLE_5	Special
ATTRTREE_TITLE_6	Monster
ATTRTREE_REFINE_TITLE	Improve
ATTRTREE_REFINE_UPGRADE	Improve
ATTRTREE_REFINE_CANCEL	Cancel
SELECT_METIN_DETACH_TITLE	Remove Stone
SELECT_METIN_DETACH_INFO	Select the stone you want to remove.
SELECT_METIN_DETACH_BUTTON	Remove
SELECT_ATTR_DETACH_TITLE	Remove bonus
SELECT_ATTR_DETACH_INFO	Select the bonus you want to remove.
SELECT_ATTR_DETACH_BUTTON	Remove
QUEST_CATEGORIE_3	Event-Battlepass
QUEST_CATEGORIE_4	Unlimited Battlepass
OFFLINE_SHOP_RENEW_BUTTON	Renew
DO_REFINE_ALL	Refine all
OPTION_QUEST_LETTER	Quest Letters
OPTION_QUEST_LETTER_SHOW	Show
OPTION_QUEST_LETTER_HIDE	Hide
OPTION_PICKUP_ALL	Pickup
OPTION_PICKUP_FAST	All
OPTION_PICKUP_SLOW	Single
SHOP_SEARCH_SORT_DESC	Sort
SHOP_SEARCH_SORT_ALPHA_AZ	Alphabetically - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Alphabetically - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Single Price Ascending
SHOP_SEARCH_SORT_PRICE_DESC	Single Price Descending
SHOP_SEARCH_CAT_DESC	Categories
SHOP_SEARCH_CAT_ALL	All
SHOP_SEARCH_CAT_WEAPON	Weapons
SHOP_SEARCH_CAT_ARMOR	Armor
SHOP_SEARCH_CAT_JEWELLERY	Jewelry
SHOP_SEARCH_CAT_TALISMAN	Talisman
SHOP_SEARCH_CAT_DRAGONSOUL	Dragon Stone Alchemy
SHOP_SEARCH_CAT_COSTUME	Costume
SHOP_SEARCH_CAT_COSTUME_BONI	Costume Bonus
SHOP_SEARCH_CAT_SKILLS	Skills
SHOP_SEARCH_CAT_POTIONS	Potions
SHOP_SEARCH_CAT_USABLE	Consumption Items
SHOP_SEARCH_CAT_FISHS	Fish
SHOP_SEARCH_CAT_MOUNTS	Mounts
SHOP_SEARCH_CAT_PETS	Companion
SHOP_SEARCH_CAT_OWNED	My Items
LOGIN_SHRINK	Shrink
LOGIN_EXTEND	Expand
OPTION_USENIGHT	Night mode
OPTION_CAMERA_DISTANCE_HUGE	Extra Far
SPLIT_ITEM	Complete split
PLAYER_SELECT_HAIR_TITLE	Hairstyle Choice
EVENT_JOIN_TITLE	Join Event
EVENT_JOIN_ACCEPT_BUTTON	Teleport
EVENT_JOIN_DECLINE_BUTTON	Decline
OPTION_SHOP_TITLE	Shop Title
REFINE_FAST_CHECK	Don't close the window
GUILD_MEMBER_MELEY	Start Meleys Lair
COMB_TITLE	Costume bonus transfer
COMB_APPEARANCE	Costume 1
COMB_ATTRIBUTE	Costume 2
GAMEOPTION_TITLE_EXTRA	Extra Option
HIDE_COSTUMES	Hide Costume
GAMEOPTION_HAIR	Hairstyle
SWITCHBOT_TITLE	Switch Bot
SWITCHBOT_ALREADY_ATTACHED	This Item was already added to the switch bot.
RENDER_OPT	Optimisation
RENDER_OPT_LOW	Low
RENDER_OPT_MEDIUM	Medium
RENDER_OPT_HIGH	High
SWITCHBOT_SLOT_NAME	Slot %d
SWITCHBOT_MAXIMUM_SLOT_REACHED	You cannot add another item.
SWITCHBOT_BUTTON_START	Start
SWITCHBOT_BUTTON_RESET	Reset
SWITCHBOT_TEMPLATE_TITLE	Templates
SWITCHBOT_SPEED_SLOW	Slow
SWITCHBOT_SPEED_MEDIUM	Meduim
SWITCHBOT_SPEED_NORMAL	Normal
SWITCHBOT_SPEED_PREMIUM	Premium
SHINING_WINDOW_TITLE	Shining
SWITCHBOT_BUTTON_STOP	Stop
SWITCHBOT_BUTTON_DELETE	Delete
SWITCHBOT_PREMIUM_INACTIVE	Premium inactiv
SWITCHBOT_SELECT_DEFAULT	-- choose -- 
SWITCHBOT_SELECT_UNKNOWN	!unknown!
MESSENGER_ADD_BLOCK	Block
SWITCHBOT_START_TIME	Start
SWITCHBOT_TIME_PASSED	Total Duration
SWITCHBOT_SWITCHERS_USED	Spent Changers
SWITCHBOT_CURRENT_SPEED	Speed
RUNE_MAIN_TITLE	Runes
RUNE_MAIN_GROUP_TITLE1	Precision
RUNE_MAIN_GROUP_TITLE_DESC1	Become a Legend
RUNE_MAIN_GROUP_DESC1	Strengthen your normal attacks
RUNE_MAIN_GROUP_TITLE2	Dominance
RUNE_MAIN_GROUP_TITLE_DESC2	Become a Legend
RUNE_MAIN_GROUP_DESC2	Strengthen your attacks against monsters
RUNE_MAIN_GROUP_TITLE3	Magic
RUNE_MAIN_GROUP_TITLE_DESC3	Become a Legend
RUNE_MAIN_GROUP_DESC3	Strengthen Your Skills
RUNE_MAIN_GROUP_TITLE4	Determination
RUNE_MAIN_GROUP_TITLE_DESC4	Become a Legend
RUNE_MAIN_GROUP_DESC4	Strengthen your defense
RUNE_MAIN_GROUP_TITLE5	Inspiration
RUNE_MAIN_GROUP_TITLE_DESC5	Become a Legend
RUNE_MAIN_GROUP_DESC5	Strengthen your friends
RUNE_SUB_MAIN_SELECT1	Select a Keyrune
RUNE_SUB_MAIN_SELECT2	Select Rune
RUNE_SUB_SUB_SELECT_GROUP	Secondary path
