TOOLTIP_ACCE_ATTR_MAX_INFO	(maks. %s)
CHAT_INFORMATION	Bilgi
CHAT_INSULT_STRING	Bu cümle yanlış kelimeler içeriyor.
CHAT_LOG	Eski mesajı göster[L]
CHAT_LOG_TITLE	Sohbet Protokolü
CHAT_NORMAL	Normal
CHAT_NOTICE	Duyuru
CHAT_PARTY	Grup
CHAT_SEND_CHAT	Sohbet yolla
CHAT_SEND_MEMO	Fısıltı gönder[Shift+Enter]
CHAT_SHOUT	Bağırmak
CHAT_SHOUT_LIMIT	15 saniyede bir bağırabilirsiniz.
CHAT_TEAM	Takım
CHAT_WHISPER	Fısıldama
CREATE_ERROR_GM_NAME	Karakter isminizde, GM ismini kullanamazsiniz.
CREATE_ERROR_INSULT_NAME	Bu isim hatalı.
CREATE_EXIST_SAME_NAME	Bu ismi zaten başka bir karakter kullanıyor.
CREATE_FAILURE	Karakteri yaratamazsın.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	İsmi gir.
CREATE_PLUS_STAT	Hala statü puanın var.
DAY	Gün
DO_YOU_BUY_ITEM1	%s isimli eşyayı satın almak istiyor musun?[ENTER]Fiyat: %s
DO_YOU_BUY_ITEM2	%sx %s isimli eşyayı satın almak istiyor musun?[ENTER]Fiyat: %s
DO_YOU_DROP_MONEY	%d Yang bırakmak istiyor musun?
DO_YOU_SELL_ITEM1	%s isimli eşyayı satmak istiyor musun?[ENTER]Fiyat: %s
DO_YOU_SELL_ITEM2	%s (%s adet) isimli eşyayı satmak istiyor musun?[ENTER]Fiyat: %s
DO_YOU_TAKE_OUT_ITEM1	%s'i kaldırmak istiyor musunuz?
DO_YOU_TAKE_OUT_ITEM2	%s %s'i kaldırmak istiyor musunuz?
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen eşyayı bırakamazsın.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Pazar açıkken yere eşya düşüremezsin.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang bırakabilirsin.
EMOTION_ANGRY	Can Sıkıcı
EMOTION_ATTRACTIVE	Baştan Çıkarma
EMOTION_BANTER	Küçümseme
EMOTION_CHEERS_1	Hoşça Kal 1
EMOTION_CHEERS_2	Hoşça Kal 2
EMOTION_CHEERUP	Alkış
EMOTION_CHOOSE_ONE	Bir hedef seç.
EMOTION_CLAP	Alkışlar
EMOTION_CLAP_KISS	Öpücük
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransız Öpücüğü
EMOTION_JOY	Neşe
EMOTION_SAD	Üzgün
EMOTION_SHY	Reddet
EMOTION_SLAP	Çak
EMPIRE_A	Shinsoo Krallığı
EMPIRE_B	Chunjo Krallığı
EMPIRE_C	Jinno Krallığı
EXCHANGE_CANNOT_GIVE	Bu nesneyi alışverişte kullanamazsın.
EXCHANGE_CANT_EDIT_MONEY	Toplamı şu anda değiştiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen eşyayı takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	%s ile alışveriş (%d)
FISHING_FAILURE	Yemi kaybettin.
FISHING_NOTIFY1	%s oltaya takılmış gibi görünüyor.
FISHING_NOTIFY2	Oltaya %s takılmış gibi görünüyor.
FISHING_SUCCESS1	%s !
FISHING_SUCCESS2	%s yakaladın!
FISHING_UNKNOWN	Oltaya bir şey takıldı ama ne olduğu belli değil!
FISHING_WRONG_PLACE	Burada balık tutamazsın.
FOR_FEMALE	kadın için
FOR_MALE	erkek için
GAME_CANNOT_MINING	At üstündeyken madencilik yapamazsın.
GAME_CANNOT_PICK_ITEM	Kazanmadığın için bu nesneyi toplayamazsın.
GAME_INIT_ERROR_CURSOR	imleç tanımlanamadı.
GAME_INIT_ERROR_DIRECTX	Oyunun çalisabilmesi için DirectX 8.1 kurulu olması gerekiyor.\nDirectX 8.1 veya daha yüksek bir sürümünü kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik kartı bulunamadı.\nEğer mevcutsa, VGA kart sürücünüzün doğru yüklenmiş olup olmadığını kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartı kurulamadı. \n Eğer VGA kartınız varsa kontrol edin. \n Alternatif olarak, donanım hızlandırıcınızı aktif edebilirsiniz. \n (Donanım Hızlandırıcınızı maximuma ayarlayın \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarınızdaki grafik kartı Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneğini kullanınız.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapı oluşturulamıyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Bağlantı kurulamıyor.\ninternet bağlantınızı kontrol ediniz.
GAME_PICK_MONEY	%d Yang Kazandın.
GUILDBANK_CLEARBANK	Uyarı: Lonca Deposu tamamen boşaltılmalı!
GUILDBANK_DONT_MONEY_OUT	Lonca bankasında hiç Yang'ın yok!
GUILDBANK_GOLD_IN	Yatır
GUILDBANK_GOLD_OUT	Çek
GUILDBANK_ITEM_IN	Depola
GUILDBANK_ITEM_OUT	Kaldır
GUILDBANK_MONEYIN	Yang Yatır
GUILDBANK_MONEYOUT	Yang Çek
GUILDBANK_NOTUSE	Gerekli izinlere sahip değilsin.
GUILDBANK_NOT_ENOUGH_MONEY	Yatırmaya yetecek kadar Yang'ın yok.
GUILDBANK_OVER_INCOME	Hesap sınırına ulaşıldı.
GUILDBANK_OVER_MONEY	Lonca hesabı dolu.
GUILDLAND_ABANDON	Lonca Bölgesi'ni terk et
GUILDLAND_ABANDON_VOTE	[%s]'in Lonca Bölgesi'ni terk et
GUILDLAND_ABANDON_VOTE_RESULT1	[%s] loncasının bölgesi terk edildi.
GUILDLAND_ABANDON_VOTE_RESULT2	Lonca bölgesi terk edildi.
GUILDLAND_ABANDON_VOTE_RESULT3	Oylama Sonuçları:
GUILDLAND_ABANDON_VOTE_RESULT4	Oylama geçersiz.
GUILDLAND_ABANDON_VOTE_TEXT	Bu oylamayı gerçekten başlatmak istiyor musun?
GUILDLAND_ABANDON_VOTE_TEXT1	Lonca bölgesini terk etmeyi kabul ediyor musun?
GUILDLAND_ACCEPT	Evet
GUILDLAND_DEAL	Lonca Bölgesi'ni sat.
GUILDLAND_DEAL_TEXT1	[%s] loncası lonca bölgesini 
GUILDLAND_DEAL_TEXT2	[%s] Yang'a satmak istiyor.
GUILDLAND_DEAL_TEXT3	Teklifi kabul ediyor musun?
GUILDLAND_DELA_VOTE	[%s] loncası lonca bölgemizi almak istiyor.
GUILDLAND_DELA_VOTE_RESULT1	Lonca Bölgesi [%s] loncasına satıldı.
GUILDLAND_DELA_VOTE_RESULT2	Oylama sona erdi.
GUILDLAND_DELA_VOTE_RESULT3	Lonca Bölgesi satışı için oylama sonuçları:
GUILDLAND_DELA_VOTE_RESULT4	Oylama geçersiz.
GUILDLAND_DELA_VOTE_TEXT	Bölgenizi hangi loncaya satmak istiyorsunuz?
GUILDLAND_DELA_VOTE_TEXT1	Lonca bölgesini satmayı kabul ediyor musunuz?
GUILDLAND_DONTHAVE_LAND	Herhangi bir lonca bölgeniz yok.
GUILDLAND_NOT	Hayır
GUILDLAND_VOTE_TEXT	Bölgeyi [%s]'e vermek ister misin?
GUILDLIST_APPLICANT	Başvurmak ister misin?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel değil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel değil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel değil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Genişlik 64 Pixel değil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasörüne taşı.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyası seçilmedi.
GUILDVOTE_CHANGEMASTER	Lonca Liderini Değiştir
GUILDVOTE_CHANGEMASTER_RESULT1	Lonca başarıyla transfer edildi.
GUILDVOTE_CHANGEMASTER_RESULT2	[%s] loncası size transfer edildi.
GUILDVOTE_CHANGEMASTER_RESULT3	Loncayı [%s]'e devret.
GUILDVOTE_CHANGEMASTER_RESULT4	Oylama geçersiz.
GUILDVOTE_CHANGEMASTER_RESULT5	Yeni Lonca Lideri: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Lonca [%s] 'e transfer etmek istiyor musun?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Gerçekten lonca liderliğinden vazgeçmek mi istiyorsun?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Loncayı [%s]'e devret.
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Lonca liderlik transferini kabul ediyor musun?
GUILDVOTE_MEMBEROUT	Üyeyi At
GUILDVOTE_MEMBEROUT_AUTH	Gerekli izinlere sahip değilsiniz.
GUILDVOTE_MEMBEROUT_NOMAL	Bu üyeyi gerçekten atmak istiyor musun?
GUILDVOTE_MEMBEROUT_RESULT1	Üyeyi at: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Oylama sonucu
GUILDVOTE_MEMBEROUT_RESULT3	[%s] loncasından atıldın.
GUILDVOTE_MEMBEROUT_RESULT4	Oylama sonucu
GUILDVOTE_MEMBEROUT_RESULT5	Oylama geçersiz.
GUILDVOTE_MEMBEROUT_TEXT1	[%s] 'e karşı oylamaya başlamak ister misin?
GUILDVOTE_MEMBEROUT_TEXT2	Oylama: Üye loncadan atılsın mı?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Oylama: [%s] loncadan atılmalı mı?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Hayır
GUILDVOTE_OK	Evet
GUILDVOTE_RESULT_AGGRE_MEMBER	Evet: %d
GUILDVOTE_RESULT_ALL_MEMBER	Katılımcı Sayısı: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Hayır: %d
GUILDVOTE_RESULT_TIME	%d gün %d saat %d dakika %d saniye
GUILDVOTE_SELECT_ONE	Lütfen bir karakter seçin.
GUILDWAR_ALL	Savaşlar (S)
GUILDWAR_CTF_TITLE	Bayrak ele geçirildi.
GUILDWAR_DRAW	Beraberlik (B)
GUILDWAR_GAINSCORE_FIFTY	50 puan
GUILDWAR_GAINSCORE_HUNDRED	100 puan
GUILDWAR_GAINSCORE_THIRTY	30 puan
GUILDWAR_GAMETIME_SIXTY	60 dakika
GUILDWAR_GAMETIME_TEN	10 dakika
GUILDWAR_GAMETIME_THIRTY	30 dakika
GUILDWAR_INPUT_OTHERGUILD	Lütfen düşman lonca girin.
GUILDWAR_LADDER	Sıra Puanları
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum katılımcı sayısı 5'tir.
GUILDWAR_LOSE	Mağlubiyet (M)
GUILDWAR_NORMAL_TITLE	Meydan Savaşı
GUILDWAR_OVER_MEMBERCOUNT	Üye limitine ulaştınız.
GUILDWAR_QUESTION_LINE_1	%s loncası, senin loncana savaş ilan etti.
GUILDWAR_QUESTION_LINE_2	kabul ediyor musun? (%s)
GUILDWAR_RANKING	Sıralama
GUILDWAR_RECODE_ALL	%d S, %d G, %d M %d B
GUILDWAR_SELECT_MEMBER_COUNT	Katılımcı sayısını seçin.
GUILDWAR_TYPE_DEFENSE	Kalkan Savaşı
GUILDWAR_TYPE_TIGER	İmha
GUILDWAR_TYPE_TIME	Süreli Saldırı
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Savaşı
GUILDWAR_WIN	Galibiyet (G)
GUILDWAR_WIN_FIVE	5 raund
GUILDWAR_WIN_ONE	1 raund
GUILDWAR_WIN_THREE	3 raund
GUILDWINDOW_BUTTON_BANKGOLDINFO	Lonca Deposu Kayıtları
GUILDWINDOW_BUTTON_BASEABANDON	Lonca Bölgesini Terk Et
GUILDWINDOW_BUTTON_BASEDEAL	Lonca Bölgesini Sat
GUILDWINDOW_BUTTON_BASEDEALVOTE	Oyla
GUILDWINDOW_BUTTON_BOARD	Lonca Mesajları
GUILDWINDOW_BUTTON_CHANGEMASTER	Lonca Liderini Değiştir
GUILDWINDOW_BUTTON_DECLARE	Savaş İlan Et
GUILDWINDOW_BUTTON_GOLDIN	Yatır
GUILDWINDOW_BUTTON_GOLDOUT	Çek
GUILDWINDOW_BUTTON_GRADE	İzinleri Yönet
GUILDWINDOW_BUTTON_GUILDLIST	Lonca Listesi
GUILDWINDOW_BUTTON_HEALGSP	Ejderha Tanrı Gücünü Geri Yükle
GUILDWINDOW_BUTTON_INFO	Lonca Bilgisi
GUILDWINDOW_BUTTON_LANDINFO	Bölge Bilgisi
GUILDWINDOW_BUTTON_MARK	Lonca Sembolü Yükle
GUILDWINDOW_BUTTON_MEMBER	Üye
GUILDWINDOW_BUTTON_OFFER	EXP Bağışla
GUILDWINDOW_BUTTON_OUTMEMBER	Üyeyi At
GUILDWINDOW_BUTTON_SKILL	Lonca Becerileri
GUILDWINDOW_BUTTON_SYMBOL	Lonca Bayrağı Yükle
GUILDWINDOW_BUTTON_VOTECHECK	Oy Ver
GUILDWINDOW_BUY_GUILD_LAND	Lonca Bölgesi Satın Al
GUILDWINDOW_CHANGE_OBJECT	Yeniden Yapılandırma
GUILDWINDOW_CHANGE_SMELTER	Simyacıyı Değiştir
GUILDWINDOW_CREATE_OBJECT	İnşa Et
GUILDWINDOW_DEAL_GUILD_LAND	Bölgeyi Sat
GUILDWINDOW_GRADE_BANK	Lonca banka ve deposu kullanabilir.
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Üyeleri loncadan atabilir.
GUILDWINDOW_GRADE_GRADENAME	Rütbe İsmi
GUILDWINDOW_GRADE_GRADENUMBER	Rütbe Numarası
GUILDWINDOW_GRADE_GUILDWAR	Savaşa katılacak üyeleri seçebilir.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Oyuncuları lonca kabul edebilir.
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Lonca mesajlarını oluşturabilir.
GUILDWINDOW_GRADE_SKILLAUTHORITY	Lonca becerilerini kullanabilir.
GUILDWINDOW_INFO_LEVEL10	Maks. üye sayısı arttırıldı.
GUILDWINDOW_INFO_LEVEL15	Ejderha Tanrısı Gücü kullanma maliyeti düşürüldü.
GUILDWINDOW_INFO_LEVEL20	Banka için vergi muafiyeti.
GUILDWINDOW_INFO_LEVEL5	Lonca bağışlarına  +5% EXP
GUILDWINDOW_LIST_ALL	Bütün İmparatorluklar
GUILDWINDOW_LIST_ALREADY_REGISTER	[Lonca] Sen zaten başvurdun.
GUILDWINDOW_LIST_APPLICANT_LIST	Başvuru Listesi
GUILDWINDOW_LIST_CHRACTER_JOB	Sınıf
GUILDWINDOW_LIST_CHRACTER_LV	Seviye
GUILDWINDOW_LIST_CHRACTER_NAME	Karakter İsmi
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Alt Sınıf
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Üye
GUILDWINDOW_LIST_GUILD_LIST	Lonca Listesi
GUILDWINDOW_LIST_GUILD_LV	Seviye
GUILDWINDOW_LIST_GUILD_NAME	Lonca
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Lonca] Lütfen bir lonca ismi girin.
GUILDWINDOW_LIST_LADDER	Sıralama Puanı
GUILDWINDOW_LIST_PROMOTE_GUILD	Başvuru
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lonca Listesi
GUILDWINDOW_LIST_RANKING	Pozisyon
GUILDWINDOW_LIST_RANKING_COUNT	Pozisyon
GUILDWINDOW_LIST_REGISTER	Başvurular
GUILDWINDOW_LIST_REGISTER_GUILD	Loncaya başvur
GUILDWINDOW_LIST_SEARCH	Ara
GUILDWINDOW_LIST_SELECT_GUILD	[Lonca] Lütfen başvurmak istediğiniz loncayı seçin.
GUILDWINDOW_PROMOTE_REFRESH	Tanıtım Yap
GUILDWINDOW_PROMOTE_REGISTER	Tanıtım Yap
GUILDWINDOW_SP_RECOVER	Ejderha Tanrısı Gücü
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Sunağı Yükselt
GUILDWINDOW_UPGRADE_GUILDBANK	Bankayı Yükselt
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
GUILD_BANKINFO_TYPE	Eşya / Döviz
GUILD_BANKINFO_USETYPE	Eylem
GUILD_BANK_CLOSE	Kapat
GUILD_BANK_INFO	Lonca Deposu Kayıtları
GUILD_BOARD_ID	Üye
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_FIX_CHANGE	Gerçekten pozisyonu değiştirmek istiyor musun?
GUILD_BUILDING_FIX_CHANGE_GOLD	Maliyet: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Gerçekten nesneyi silmek istiyor musun?
GUILD_BUILDING_FIX_NEED_BUILDING	Mevcut bina yok.
GUILD_BUILDING_GRADE	Sıralama
GUILD_BUILDING_NAME	Binanin ismi
GUILD_CANNOT_HEAL_GSP_ANYMORE	Ejderha Hayaleti Enerjisi tamamen yüklenmiş durumda.
GUILD_COMMENT	Yaz
GUILD_CREATE_ERROR_INSULT_NAME	Lonca adı hatalı
GUILD_DEFAULT_GRADE	Lonca üyeleri
GUILD_DELETE	Sil
GUILD_DEPOSIT	Depozit
GUILD_DO_YOU_HEAL_GSP	%d Yang %d ile bir Ejderha Hayaleti yüklemek ister misin?
GUILD_DO_YOU_JOIN	  seni davet ediyor. Loncaya katılmak istiyor musun?
GUILD_DRAGONLAIR_MIN	dak.
GUILD_DRAGONLAIR_SECOND	sn.
GUILD_EMPTY_AREA	Boş alan
GUILD_ENEMY_GUILD_NAME	Düşmanın Lonca adı
GUILD_FACILITY	Ek bina
GUILD_GEM	Değerli taş
GUILD_HEADQUARTER	Ana bina
GUILD_HEAL_GSP	Ejderha Hayaleti Yükle
GUILD_INFO_ENEMY_GUILD_EMPTY	Boş
GUILD_MARK_NOT_ENOUGH_LEVEL	En az 4. seviye gerekir
GUILD_MARK_UPLOAD_NOTICE	Lütfen bir dakika bekleyin, böylece lonca logoları ekleyebilirsiniz.
GUILD_MEMBER_JOB	Sınıf
GUILD_MEMBER_KNIGHT	Savaşçı
GUILD_MEMBER_LEVEL	Seviye
GUILD_MEMBER_NAME	Üye
GUILD_MEMBER_RANK	Rütbe
GUILD_MEMBER_SPECIFIC_GRAVITY	Bağışlanan EXP
GUILD_NAME	Lonca adı
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli inşaat malzemesine sahip değilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli Yang'a sahip değilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak için gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OFFER_EXP	Tecrübe yatır
GUILD_SHORT_EXP	Yeterli Tecrübe Puanı yok.
GUILD_TILE_BASEINFO	Temel bilgiler
GUILD_TILE_BOARD	Kara tahta
GUILD_TILE_GRADE	Yönetici Pozisyonu
GUILD_TILE_INFO	Lonca bilgileri
GUILD_TILE_MEMBER	Lonca üyeleri
GUILD_TILE_SKILL	Lonca becerisi
GUILD_USE_MASTER_ONLY	Sadece lonca lideri bu hakka sahiptir.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Lonca Savaşı Bölgesi
GUILD_WAR2	Lonca Savaşı Bölgesi
GUILD_WAR3	Lonca Savaşı Bölgesi
GUILD_WAR4	Lonca Savaşı Bölgesi
GUILD_WAR_GAINSCORE_FIFTY	50 puan
GUILD_WAR_GAINSCORE_HUNDRED	100 puan
GUILD_WAR_GAINSCORE_THIRTY	30 puan
GUILD_WAR_GAMETIME_SIXTY	60 dakika
GUILD_WAR_GAMETIME_TEN	10 dakika
GUILD_WAR_GAMETIME_THIRTY	30 dakika
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Ödül: Yenen iksir kazanacak
GUILD_WAR_SELECT_WAR	Savaş türünü seçin
GUILD_WAR_TYPE_DEFENSE	Kalkan Savaşı
GUILD_WAR_TYPE_DIE	Arena Savaşı
GUILD_WAR_TYPE_FLAG	Bayrak Kapma Savaşı
GUILD_WAR_TYPE_NORMAL	Alan Savaşı
GUILD_WAR_TYPE_TIGER	İmha
GUILD_WAR_TYPE_TIME	Süreli Saldırı
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savaşı Arenası
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savaşı en yüksek skor kazanır
GUILD_WAR_WIN_FIVE	5 raund
GUILD_WAR_WIN_ONE	1 raund
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düşmanın bayrağını ele geçir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi üssüne götür.
GUILD_WAR_WIN_THREE	3 raund
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm düşmanları öldür.
GUILD_WITHDRAW	Geri çekil.
GUILD_YOU_DO_NOT_JOIN	Bir loncaya üye değilsin.
HORSE_HEALTH0	Ölü
HORSE_HEALTH1	Açlıktan Ölmek Üzere
HORSE_HEALTH2	Aç
HORSE_HEALTH3	Tok
HORSE_LEVEL1	Normal At
HORSE_LEVEL2	Savaş Atı
HORSE_LEVEL3	Asker At
HOUR	Saat
HOW_MANY_ITEM_DO_YOU_DESTROY1	%s 'i yok etmek istiyor musun?
HOW_MANY_ITEM_DO_YOU_DESTROY2	%dx %s'i yok etmek istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP1	%s atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP2	%s %d atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY1	%s 'i atmak ya da yok etmek istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY2	%dx %s 'i atmak ya da yok etmek istiyor musun?
INPUT_MATRIX_CARD_NUMBER	Matrix Kart Numaranı gir.
INPUT_MATRIX_CARD_TITLE	Matrix Kart
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap ayarlarınızdaki silme-kodunu buraya giriniz.
