ACCE_ABSORB	Bonus Emişi
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Raund
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Su
GUILD_WATER_STONE	Su Taşı
GUILD_WITHDRAW	Geri Çek
HELP_ATTACK_KEY	Saldır: sol fare tuşu veya boşluk tuşu ile
HELP_CHANGE_PK_MODE	Saldırı modunu değiştir: sol fare tuşu ayarını değiştir
HELP_CHARACTER_BUTTON1	(Karakter Penceresi, Envanter Penceresi,
HELP_CHARACTER_BUTTON2	Arkadaş Listesi ve Seçenekler)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü: orta veya sağ fare tuşu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü: sağ veya orta fare tuşu ile
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuşları ile
HELP_HELP	Yardım göster: H ile
HELP_HP	Hayat Puanı (HP)
HELP_MESSENGER_WINDOW	Arakadaş Listesini aç: Alt + M tuşları  ile
HELP_MOUSE_LEFT	Sol mouse tuşunun işlevi
HELP_MOUSE_RIGHT	Sağ mouse tuşunun işlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuşları ve ok tuşları ile
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuşu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriş tuşu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuşu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuşu ile
HELP_OPEN_MINIMAP	Küçük Haritayı aç: Shift + M tuşları ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuşu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuşu ile
HELP_OPEN_WHISPER	Fısıltı Penceresini aç: üst karakter + giriş tuşu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritası'nı aç: M tuşu ile
HELP_PICK_ITEM	Nesneleri topla: ^ , Y veya sol fare tuşu ile
HELP_QUICKSLOT	Hızlı Erişim Alanları
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdır veya Print tuşu ile ("Metin2\\screenshot" dosyası altında kaydedilecek)
HELP_SHOW_ALL_NAME	İsimleri göster: Alt tuşu ile
HELP_SP	Zihin Puanı (SP)
HELP_SYSTEM_BUTTON	Sistem Tuşları
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
LOAD_ERROR	Dosya hasar görmüş. Lütfen yenisini yükleyiniz. Şimdi ESC tuşuna basınız .
LOGIN_CONNECT	Bağlan
LOGIN_CONNECTING	Sunucuya bağlanacaksın.
LOGIN_DEFAULT_SERVERADDR	Sunucu İsmi, Kanal 1
LOGIN_EXIT	Çıkış
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çıkış
LOGIN_SELECT_OK	Tamam
LOGIN_SELECT_TITLE	Server Seç
MALL_PASSWORD_TITLE	şifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasını kaydet
MESSAGE	Bu bir mesajdır.
MESSENGER_ADD_FRIEND	Arkadaş Ekle
MESSENGER_DELETE_FRIEND	Arkadaş Sil
MESSENGER_MOBILE	Metin Mesajı Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaşlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fısıltı
MINIMIZE	Küçült
MOUSEBUTTON_ATTACK	Saldırı
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldırı
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
NO	Hayır
OK	Tamam
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sınırlı
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaşlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fısıltı
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kısa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaranı Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoğun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarası Gir
OPTION_MOBILE	Cep Telefonu
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Değiştir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziği
OPTION_NAME_COLOR	İsim Renkleri
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldırma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldırma izni var.
OPTION_PVPMODE_PEACE	Barış
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi ülkenin oyuncularına saldıramazsın.
OPTION_PVPMODE_REVENGE	Düşman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklı ülkelerden olanlara saldırabilirsiniz.
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtası
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TILING	Grafik Deposu
OPTION_TILING_APPLY	Uygula
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satırı
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MEMBER_INFO_NAME	Grup Üyesinin İsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	şifreyi gir.
PASSWORD_DESC_3	Şifreni mi değiştirdin?
PASSWORD_DESC_4	Eğer değiştirmediysen, şifren '000000'.
PASSWORD_DESC_5	Depo Şifreni Değiştir.
PASSWORD_TITLE	Şifre Kaydetme
PICK_MONEY_TITLE	Bölmek
PRIVATE_SHOP_CLOSE_BUTTON	Pazarı Kapat
PRIVATE_SHOP_NAME	Pazar Adı
PRIVATE_SHOP_TITLE	Özel Bir Pazar Aç
OFFLINE_SHOP_CREATE_TITLE	Bir Çevrimdışı Pazar Aç
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_INFO	Yükseltme  Başarı Şansı : 100%
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	Raporla
RESTART_HERE	Burada yeniden başla
RESTART_TOWN	Şehirde yeniden başla
SAFE_CHANGE_PASSWORD	Şifre Değiştir
SAFE_TITLE	Depo
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluştur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallık İsmi
SELECT_EXIT	Çıkış
SELECT_HP	VIT
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Ruh Taşı Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_PLAYTIME	Oyun Süresi (dak.)
SELECT_SELECT	Başla
SELECT_SP	INT
SELECT_TITLE	Başlık Seç
SHOP_BUY	Satın Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Değişikliği
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardım
SYSTEM_LOGOUT	Çıkış
SYSTEM_MALL	Nesne Market
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_MONEY	Para Göstergesi
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre Dışı
TASKBAR_EXPAND	Pencereyi Genişlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaşlar [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Sonraki Hızlı Giriş Alanı [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Önceki Hızlı Giriş Alanı[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
WHISPER_BAN	Engelle
WHISPER_NAME	Fısıltı
WHISPER_REPORT	raporla
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritası
INVENTORY_SORT	Sırala
GUILD_SAFE_TITLE	Lonca Deposu
GUILD_SAFEBOX_MONEY_TITLE	Lonca Yang Deposu
GUILD_SAFEBOX_MONEY_INFO_TEXT	Ne kadar yang yatırmak ya da çekmek istersin?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Para Yatır
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Para Çek
GUILD_SAFE_LOG_TITLE	Lonca Deposu Kayıtları
GUILD_SAFE_LOG_BUTTON	Kayıtlar
ACCOUNT_PASSWORD_Q	Şifremi Unuttum!
BDAY_EVENT_DESC_D1	En çok patronu öldür!
ACCOUNT_USERNAME_Q	Kullanıcı adını mı unuttun?
ACCOUNT_REGISTER	Kayıt ol!
ACCOUNT_REGISTER_Q	Bir hesabın yok mu?
ACCOUNT_CHANNEL	Kanal %d
ACCOUNT_USERNAME_LABEL	Kullanıcı Adı / ID
ACCOUNT_PASSWORD_LABEL	Şifre
ACCOUNT_LOGIN	Giriş Yap
ACCOUNT_YOUR_ACCLIST	Hesapların
SELECT_LANGUAGE_TITLE	Dil Seçimi:
LOGIN_EMPTY	[Hesap Kaydet]
COSTUME_WINDOW_TITLE	Kostümler
COSTUME_TITLE	Kostüm Penceresini Aç
SYSTEM_CHANNEL	Kanal Değiştir
SERVER_INFO_LABEL	Aeldra.net - Kanal:
OFFLINE_SHOP_TITLE	Çevrimdışı Pazarım
PET_TITLE	Evcil Hayvan Genel Bakış
PET_STAT1_NAME	Canlılık
PET_STAT2_NAME	Güç
PET_STAT3_NAME	Zeka
PET_STAT4_NAME	Çeviklik
MOUNT_TITLE	Binek Genel Bakış
MOUNT_STAT1_NAME	Canavarlara Karşı Güçlü
MOUNT_STAT2_NAME	Canavarlara Karşı Savunma
MOUNT_STAT3_NAME	Metin Taşlarına Karşı Güçlü
MOUNT_STAT4_NAME	Patronlara Karşı Güçlü
CHARACTER_VALUE	Özellikler
CHARACTER_STATISTIC	Bonuslar
CHAR_STAT_MVSPD	Hareket Hızı:
CHAR_STAT_ATSPD	Saldırı Hızı:
CHAR_STAT_SPSPD	Büyü Hızı:
CHAR_STAT_MAGIC_ATK	Büyülü Hasarı:
CHAR_STAT_NORMAL_ATK	Saldırı Hasarı:
CHAR_STAT_MAGIC_DEF	Büyü Savunması:
CHAR_STAT_NORMAL_DEF	Savunma:
CHAR_STAT_DODGE	Savuşturma:
CHAR_MAIN_HP	(VIT) Canlılık
CHAR_MAIN_INT	(INT) Zeka
CHAR_MAIN_STR	(STR) Güç
CHAR_MAIN_DEX	(DEX) Çeviklik
CHAR_MAIN_POINTS	Mevcut Puan:
CHARACTER_BONI_ATTACK	Saldırı
CHARACTER_BONI_DEFENSE	Savunma
CHARACTER_BONI_PVM	Canavar (PvM)
CHARACTER_BONI_PVP	Oyuncu (PvP)
CHAR_HP	(HP) Can
CHAR_MP	(SP) Mana
CHAR_EXP_OF	istenilen
CHARACTER_ANTI_EXP_ACTIVE	Tecrübe Alımı: Devre Dışı
CHARACTER_ANTI_EXP_INACTIVE	Tecrübe Alımı: Aktif
QUEST_CATEGORIE_1	Genel
QUEST_CATEGORIE_2	Savaş Pasosu
TASKBAR_OPEN_CHAT	Sohbeti Aç
DRAGONSOUL_ACTIVATE	Etkinleştir
DRAGONSOUL_REFINE_OPEN	Geliştir
DRAGONSOUL_PAGE_BUTTON_1	İşlenmemiş
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuş
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_REFINE_WINDOW_TITLE	Arındırma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elması
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeşimi
DRAGONSOUL_TAP_TITLE_4	Ejderha Safiri
DRAGONSOUL_TAP_TITLE_5	Ejderha Grenası
DRAGONSOUL_TAP_TITLE_6	Ejderha Oniksi
DRAGONSOUL_TITLE	Ejderha Taşı Simyası
GRADE_SELECT	Sınıf
STEP_SELECT	Saflık Derecesi
STRENGTH_SELECT	Seviye
DO_REFINE	Arındır
GAYA_SHOP_TITLE	Gaya Mağazası
AUCTION_INFORMER_WINDOW_TITLE	Satılan eşya
AUCTION_WINDOW_TITLE	Pazar Arama
AUCTION_PAGE_BUTTON_BUY	Satın Al
AUCTION_PAGE_BUTTON_SELL	Sat
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Eşya İsmi
AUCTION_SEARCH_BUTTON_TEXT	Ara
AUCTION_SEARCH_RESET_BUTTON_TEXT	Sıfırla
AUCTION_LV_TEXT_1	Seviye Limiti
AUCTION_LV_TEXT_2	ila
AUCTION_PRICE_TEXT_1	Fiyat Limiti
AUCTION_PRICE_TEXT_2	ila
AUCTION_PRICE_OVERLAY_2	(sınırsız)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Sadece müzayede evi eşyalarını göster
AUCTION_ONLY_SELF_CHECKBOX	Sadece kendi eşyalarımı göster
AUCTION_ORDER_TITLE	Sıralama Ölçütü
AUCTION_ORDER_BUTTON_NAME	Eşya İsmi
AUCTION_ORDER_BUTTON_PRICE	Fiyat
AUCTION_ORDER_BUTTON_DATE	Tarih
AUCTION_SELL_NO_ITEM_TEXT	Satılmasını istediğiniz eşyayı buraya sürükleyin.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	Müzayede Evi için satma işlevi bir süreliğine devre dışı bırakıldı.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Bir fiyat girin.
AUCTION_SELL_ITEM_BUTTON	Ayarla
AUCTION_SELL_PRICE_TAX_INFO	Müzayede evine yerleştirdiğiniz öğelerden 9% oranında vergi tahsil edilecektir. Gösterilen fiyat, oyuncunun ödemesi gereken değerdir. Alacağınız değer değildir.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	10 sayfa geri
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	10 sayfa ileri
AUCTION_RACE_TEXT	Sınıf
AUCTION_RACE_TEXT_1	Savaşçı
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Şaman
AUCTION_RACE_TEXT_5	Lycan
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Çıkış
MINI_GAME_RUMI_LBUTTON_DESC	Kart eklemk için sol tıklayın
MINI_GAME_RUMI_RBUTTON_DESC	Kart çıkarmak için sağ tıklayın
MINI_GAME_RUMI_SCORE	Skor
MINI_GAME_RUMI_START_TEXT	Başla
MINI_GAME_RUMI_TITLE	Metin2 Okey Oyunu
OPTION_ITEM_HIGHLIGHT	Yeni Eşya Efekti
OPTION_ITEM_HIGHLIGHT_ON	Parlama
OPTION_ITEM_HIGHLIGHT_OFF	Kapalı
OPTION_GOLD_PICKUP	Yang Bildirimi
OPTION_GOLD_PICKUP_ON	Açık
OPTION_GOLD_PICKUP_OFF	Kapalı
WEB_LOADING_TITLE	Tarayıcı açılıyor...
WEB_LOADING_DESC	Lütfen biraz bekleyin...
ANTIEXP_TOOLTIP	Anti-EXP
OPTION_DISABLE_PICKUP	İstenmeyen Eşya.
OPTION_DISABLE_PICKUP_ARMOR	Zırh
OPTION_DISABLE_PICKUP_WEAPON	Silah
OPTION_DISABLE_PICKUP_ETC	Takı
GUILD_DRAGONLAIR_RANKING	Sıralama
GUILD_DRAGONLAIR_RANKING_COUNT	Sıra
GUILD_DRAGONLAIR_RANKING_MEMBER	Üye
GUILD_DRAGONLAIR_RANKING_NAME	Lonca
GUILD_DRAGONLAIR_RANKING_TIME	Zaman
FAKEBUFF_SKILL_TITLE	Buffi-Becerileri
ATTRTREE_TITLE_1	Savaşçı
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Şaman
ATTRTREE_TITLE_5	Özel
ATTRTREE_TITLE_6	Canavar
ATTRTREE_REFINE_TITLE	Geliştir
ATTRTREE_REFINE_UPGRADE	Geliştir
ATTRTREE_REFINE_CANCEL	İptal Et
SELECT_METIN_DETACH_TITLE	Taşı Kaldır
SELECT_METIN_DETACH_INFO	Kaldırmak istediğiniz taşı seçin.
SELECT_METIN_DETACH_BUTTON	Kaldır
SELECT_ATTR_DETACH_TITLE	Bonusu kaldır
SELECT_ATTR_DETACH_INFO	Kaldırmak istediğiniz bonusu seçin.
SELECT_ATTR_DETACH_BUTTON	Kaldır
QUEST_CATEGORIE_3	Etkinlik Savaş Pasosu
QUEST_CATEGORIE_4	Sınırsız Savaş Pasosu
OFFLINE_SHOP_RENEW_BUTTON	Yenile
DO_REFINE_ALL	Tümünü Rafine Et
OPTION_QUEST_LETTER	Görev Simgeleri
OPTION_QUEST_LETTER_SHOW	Açık
OPTION_QUEST_LETTER_HIDE	Kapalı
OPTION_PICKUP_ALL	Topla
OPTION_PICKUP_FAST	Hepsi
OPTION_PICKUP_SLOW	Tek
SHOP_SEARCH_SORT_DESC	Sırala
SHOP_SEARCH_SORT_ALPHA_AZ	Alfabetik - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Alfabetik - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Birim Fiyatı (Artan)
SHOP_SEARCH_SORT_PRICE_DESC	Birim Fiyatı (Azalan)
SHOP_SEARCH_CAT_DESC	Kategoriler
SHOP_SEARCH_CAT_ALL	Tüm
SHOP_SEARCH_CAT_WEAPON	Silahlar
SHOP_SEARCH_CAT_ARMOR	Zırhlar
SHOP_SEARCH_CAT_JEWELLERY	Mücevherler
SHOP_SEARCH_CAT_TALISMAN	Tılsımlar
SHOP_SEARCH_CAT_DRAGONSOUL	Ejderha Taşı Simyası
SHOP_SEARCH_CAT_COSTUME	Kostüm
SHOP_SEARCH_CAT_COSTUME_BONI	Kostüm Bonusu
SHOP_SEARCH_CAT_SKILLS	Beceriler
