ACCE_ABSORB	«” Ì⁄«» «·⁄·«Ê« 
EMPIRE_NEXT	«· «·Ì
EMPIRE_PREV	«·”«»ﬁ
EMPIRE_SELECT	«Œ Ì«—
EXCHANGE_ACCEPT	„Ê«›ﬁ
EXCHANGE_TITLE	 Ã«—…
GAMEOPTION_TITLE	ŒÌ«—«  «··⁄»…
GAME_EXIT_OBSERVER	≈‰Â«¡ √”·Ê» «·„‘«Âœ
GAME_HELP	„”«⁄œ…
GAME_QUEST	«·„Â„« 
GAME_SKILL_UP	“Ì«œ… «·„Â«—…
GAME_STAT_UP	—›⁄ «·„” ÊÏ
GUILDWINDOW_BASE_BUFF	⁄·«Ê… «·—«»ÿ…
GUILD_BANKINFO_CLOSE	√€·ﬁ
GUILD_BANKINFO_NAME	⁄÷Ê
GUILD_BANKINFO_TITLE	”Ã· „” Êœ⁄ «·—«»ÿ…
GUILD_BANKINFO_TYPE	√‘Ì«¡/⁄„·…
GUILD_BANKINFO_USETYPE	⁄„·Ì…
GUILD_BANK_CLOSE	√€·ﬁ
GUILD_BANK_INFO	«·„” Êœ⁄:
GUILD_BANK_NUMBER	—ﬁ„ «·»‰ﬂ
GUILD_BASEINFO_BANK	„” Êœ⁄ «·—«»ÿ…
GUILD_BASEINFO_BANKLASTOUT	¬Œ— »‰œ √Œ–
GUILD_BASEINFO_BUILDING	»‰«Ì… «·—«»ÿ…
GUILD_BASEINFO_DEAL	»Ì⁄ √—÷ «·—«»ÿ…
GUILD_BASEINFO_FACTORY	Õœ«œ «·—«»ÿ…
GUILD_BASEINFO_GOLDMANAGE	’›ﬁ…
GUILD_BASEINFO_GUILDLAND	√—÷ «·—«»ÿ…
GUILD_BASEINFO_LANDABANDON	Õ·¯ √—÷ «·—«»ÿ…
GUILD_BASEINFO_LANDSCAPE	€Ì—Â
GUILD_BASEINFO_LOCALE	«·„ﬂ«‰
GUILD_BASEINFO_MONEY	—’Ìœ «·Õ”«»
GUILD_BASEINFO_MONEYBANKINFO	„⁄·Ê„«  ⁄‰ »‰ﬂ «·—«»ÿ…
GUILD_BASEINFO_MONEYIN	≈Ìœ«⁄
GUILD_BASEINFO_MONEYLASTOUT	√Œ— ”Õ»
GUILD_BASEINFO_MONEYOUT	”Õ»
GUILD_BASEINFO_POWER	„–»Õ «·ﬁÊ…
GUILD_BASEINFO_SMEITER	ﬂÌ„Ì«∆Ì «·—«»ÿ…
GUILD_BASEINFO_TITLE	„⁄·Ê„«  ⁄‰ «·√—÷
GUILD_BASEINFO_VOTE	«” ÿ·«⁄
GUILD_BASENAME	«”„ «·ﬁ«⁄œ…
GUILD_BOARD_ID	«”„
GUILD_BOARD_REFRESH	 ÕœÌÀ
GUILD_BOARD_TEXT	—”«·…
GUILD_BUILDING_CATEGORY_TITLE	ÊÕœ«  »‰«¡
GUILD_BUILDING_CHANGE	 »œÌ·
GUILD_BUILDING_DIRECTION	«·« Ã«Â
GUILD_BUILDING_GRADE	— »…
GUILD_BUILDING_INFO	„⁄·Ê„«  ⁄‰ «·„»‰Ï Ê«·”⁄—
GUILD_BUILDING_LIST_TITLE	·«∆Õ… «·„»«‰Ì
GUILD_BUILDING_LOG	Ã–⁄
GUILD_BUILDING_NAME	«”„ «·„»‰Ï
GUILD_BUILDING_OPERATE	 ‘€Ì·
GUILD_BUILDING_PLY	Œ‘» —ﬁ«∆ﬁÌ
GUILD_BUILDING_POSITION	„Êﬁ⁄
GUILD_BUILDING_PREVIEW	‰Ÿ—… ⁄«„…
GUILD_BUILDING_PRICE	«·”⁄—
GUILD_BUILDING_REFRESH	 ÕœÌÀ
GUILD_BUILDING_STONE	ÕÃ—
GUILD_BUILDING_TITLE	»‰«¡ „‰“· «·—«»ÿ…
GUILD_CRYSTAL	»·Ê—
GUILD_DEPOSIT	√—ﬁ«„
GUILD_DROP_RESOURCE1	Â‰«
GUILD_DROP_RESOURCE2	≈”ﬁ«ÿ «·„Ê«—œ
GUILD_GEM	ÃÊÂ—…
GUILD_GRADE_CHANGE_GRADE_NAME	«”„ ÃœÌœ ·· ’‰Ì›
GUILD_GRADE_NUM	—ﬁ„
GUILD_GRADE_PERMISSION_DELETE	≈»⁄«œÂ ⁄‰ «·—«»ÿ…
GUILD_GRADE_PERMISSION_JOIN	Ì„ﬂ‰Â ÷„ ·«⁄»Ì‰ ¬Œ—Ì‰ ≈·Ï «·—«»ÿ…
GUILD_GRADE_PERMISSION_NOTICE	Ì„ﬂ‰Â ≈·’«ﬁ «·„–ﬂ—«  «·Œ«’… »«·—«»ÿ…
GUILD_GRADE_PERMISSION_SKILL	„Â«—«  «·—Ê«»ÿ
GUILD_GRADE_RANK	«·— »…
GUILD_GRADE_WRITE	ﬂ «»…
GUILD_INFO	„⁄·Ê„«  ⁄‰ «·—«»ÿ…
GUILD_INFO_CUR_EXP	Œ»—…
GUILD_INFO_DECALRE_WAR	≈⁄·«‰ Õ—»
GUILD_INFO_ENEMY_GUILD	—«»ÿ… „⁄«œÌ…
GUILD_INFO_ENEMY_GUILD_EMPTY	·« ‘Ì¡
GUILD_INFO_LEVEL	„” ÊÏ «·—«»ÿ…
GUILD_INFO_MARK	⁄·«„… «·—«»ÿ…
GUILD_INFO_MASTER	“⁄Ì„
GUILD_INFO_MASTER_VALUE	“⁄Ì„
GUILD_INFO_MEMBER_AVG_LEVEL	„” ÊÏ „ Ê”ÿ
GUILD_INFO_MEMBER_NUM	⁄œœ «·√⁄÷«¡
GUILD_INFO_NAME	«”„ «·—«»ÿ…
GUILD_INFO_NAME_VALUE	Â–« «”„ —«»ÿ…
GUILD_INFO_OFFER_EXP	≈” À„«—
GUILD_INFO_REST_EXP	«·Œ»—… «·„ÿ·Ê»…
GUILD_INFO_UPLOAD_MARK	 Õ„Ì· ⁄·«„…
GUILD_INFO_UPLOAD_SYMBOL	 Õ„Ì· ⁄·„
GUILD_MARK	⁄·«„… «·—«»ÿ…
GUILD_MEMBER_JOB	ÿ»ﬁ…
GUILD_MEMBER_KNIGHT	„ﬁ« ·
GUILD_MEMBER_LEVEL	„” ÊÏ
GUILD_MEMBER_NAME	«”„
GUILD_MEMBER_RANK	— »…
GUILD_MEMBER_SPECIFIC_GRAVITY	≈” À„«—
GUILD_METIN_STONE	«·ÕÃ— «·‘¯»ÕÌ
GUILD_MINENAL	„⁄œ‰
GUILD_MONEY	Ì«‰€
GUILD_NAME	—«»ÿ…
GUILD_RESOURCE_INFO	„⁄·Ê„«  ⁄‰ «·„’«œ—
GUILD_SKILLPAGE_LADDER	‰ﬁ«ÿ «· — Ì»
GUILD_SKILLPAGE_RANK	— »…
GUILD_SKILL_ACTIVE	›⁄¯«·
GUILD_SKIlL_HEAL_GSP	‘Õ‰ ‰ﬁ«ÿ «·ÕÌ«…
GUILD_SKILL_PASSIVE	€Ì— ›⁄¯«·
GUILD_SKILL_POWER	ÿ«ﬁ…
GUILD_SKILL_STATE	„Â«—… «·—«»ÿ…
GUILD_SYMBOL	⁄·„ «·—«»ÿ…
GUILD_WAR_ACCEPT	Ê«›ﬁ ⁄·Ï ≈⁄·«‰ Õ—»
GUILD_WAR_ALLSCORE	Ã„Ì⁄ «·„⁄«—ﬂ
GUILD_WAR_BATTLE_TYPE	‰Ê⁄ «·„⁄—ﬂ…
GUILD_WAR_CTF	⁄·Û„
GUILD_WAR_DECLARE	≈⁄·«‰ Õ—» «·—«»ÿ…
GUILD_WAR_ENEMY	Œ’„
GUILD_WAR_GAINSCORE	‰ﬁ«ÿ
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	„œ… «·ﬁ «·
GUILD_WAR_GAMETIME_SIXTY	60 œﬁÌﬁ…
GUILD_WAR_GAMETIME_TEN	10 œﬁ«∆ﬁ
GUILD_WAR_GAMETIME_THIRTY	30 œﬁÌﬁ…
GUILD_WAR_JOINMEMBER	«·√⁄÷«¡
GUILD_WAR_JOINMEMBER_COUNT	«·√⁄÷«¡
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	”«Õ… «·„⁄—ﬂ…
GUILD_WAR_REPORT	 ﬁ—Ì— «·Õ—»
GUILD_WAR_REPORTLIST	 ﬁ—Ì— („⁄«—ﬂ: „⁄ﬂ. ∫ «‰ ’«—« : «‰ . ∫ Â“«∆„: Â“. ∫  ⁄«œ·« :  ⁄.)
GUILD_WAR_SCORE	 ﬁ—Ì— «·Õ—»
GUILD_WAR_SKILL	„Â«—«  «·—Ê«»ÿ
GUILD_WAR_TYPE_DEFENSE	ﬁ «· «·œ—Ê⁄
GUILD_WAR_TYPE_DIE	”«Õ… «·Õ—»
GUILD_WAR_TYPE_FLAG	ﬁ «· «·√⁄·«„
GUILD_WAR_TYPE_NORMAL	„Ìœ«‰ «·ﬁ «·
GUILD_WAR_TYPE_TIGER	„⁄—ﬂ… «·≈»«œ…
GUILD_WAR_TYPE_TIME	ÂÃÊ„ “„‰Ì
GUILD_WAR_WARP	„Ìœ«‰
GUILD_WAR_WIN	ÃÊ·« 
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	„«¡
GUILD_WATER_STONE	ÕÃ— „«∆Ì
GUILD_WITHDRAW	«” ·«„
HELP_ATTACK_KEY	«·ÂÃÊ„: «÷€ÿ ⁄·Ï «·“— «·√Ì”— ··›√—… √Ê „› «Õ «·„”«›…
HELP_CHANGE_PK_MODE	 €ÌÌ— √”·Ê» «·ÂÃÊ„:  ⁄œÌ· ÊŸÌ›… «·“— «·√Ì”— ··›√—…
HELP_CHARACTER_BUTTON1	(ﬁ«∆„… «·‘Œ’Ì…° ﬁ«∆„… «·„„ ·ﬂ« °
HELP_CHARACTER_BUTTON2	ﬁ«∆„… «·√’œﬁ«¡ Ê«·ŒÌ«—« )
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	‰Ÿ—… «·ﬂ«„Ì—«: «·“— «·√Ê”ÿ
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	 €ÌÌ— ‰Ÿ—… «·ﬂ«„Ì—«: «·“— «·√Ì„‰ √Ê «·√Ì”— ··›√—…
HELP_EXP	Œ»—…
HELP_FURY	„ Ã— «··⁄»…
HELP_GUILD_WINDOW	› Õ ‰«›–… «·—«»ÿ…: Alt + G
HELP_HELP	⁄—÷ «·„”«⁄œ…: H
HELP_HP	‰ﬁ«ÿ «·ÕÌ«… (HP)
HELP_MESSENGER_WINDOW	› Õ ﬁ«∆„… «·√’œﬁ«¡: Alt + M
HELP_MOUSE_LEFT	ÊŸÌ›… «·“— «·√Ì”— ··„«Ê”
HELP_MOUSE_RIGHT	ÊŸÌ›… «·“— «·√Ì„‰ ··„«Ê”
HELP_MOVE_KEY	«· Õﬂ„ ›Ì Õ—ﬂ… «·‘Œ’Ì…: W° A° S° D √Ê √“—«— «·√”Â„
HELP_OPEN_CHARACTER	› Õ ﬁ«∆„… «·‘Œ’Ì…: C
HELP_OPEN_CHAT	› Õ ‰«›–… «·œ—œ‘…: Enter
HELP_OPEN_INVENTORY	› Õ ﬁ«∆„… «·„„ ·ﬂ« : I
HELP_OPEN_LOG	› Õ ”Ã· «·œ—œ‘… (log): L
HELP_OPEN_MINIMAP	› Õ «·Œ—Ìÿ… «·’€Ì—…: Schift + M
HELP_OPEN_QUEST	› Õ ‰«›–… «·„Â«„: N
HELP_OPEN_SKILL	› Õ ‰«›–… «·„Â«—« : V
HELP_OPEN_WHISPER	› Õ ‰«›–… «·Â„”: Shift + Enter
HELP_OPEN_ZONEMAP	› Õ «·Œ—Ìÿ… «·ﬂ»Ì—…: M
HELP_PICK_ITEM	«· ﬁ«ÿ «·√‘Ì«¡ „‰ ⁄·Ï «·√—÷: ·ÊÕ… „›« ÌÕ «‰Ã·Ì“Ì…: «·“— «·√Ì”— ··›√—… √Ê Z √Ê ` ∫ ·ÊÕ… „›« ÌÕ ⁄—»Ì…: «·“— «·√Ì”— ··›√—… √Ê ∆ √Ê – ∫ ·ÊÕ… „›« ÌÕ ›—‰”Ì…: «·“— «·√Ì”— ··›√—… √Ê W √Ê ≤
HELP_QUICKSLOT	Œ«‰«  «·Ê’Ê· «·”—Ì⁄
HELP_SCREEN_CAPTURE	Õ›Ÿ ·ﬁÿ… «·‘«‘…: «÷€ÿ ⁄·Ï “— 'Print Screen' √Ê íPrintí (” ıÕ›Ÿ «··ﬁÿ«  ›Ì „·›  ÃœÂ ›Ì ííMetin2/screenshotíí)
HELP_SHOW_ALL_NAME	⁄—÷ «·√”„«¡: Alt
HELP_SP	‰ﬁ«ÿ «·√”·Ê» (MP)
HELP_SYSTEM_BUTTON	„›« ÌÕ «·‰Ÿ«„
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Inventory
INVENTORY_TITLE	ﬁ«∆„… «·Ã—œ
ITEM_MALL	„ Ã— «·√‘Ì«¡
LOAD_ERROR	≈‰ «·„·› €Ì— ’«·Õ. «·—Ã«¡ ≈⁄«œ…  À»Ì Â. «÷€ÿ «·¬‰ ⁄·Ï  “— ííESCíí.
LOGIN_CONNECT	—»ÿ «·« ’«·
LOGIN_CONNECTING	”Ì „ —»ÿ «·« ’«· »«·Œ«œ„.
LOGIN_DEFAULT_SERVERADDR	«”„ «·Œ«œ„° ﬁ‰«… 1
LOGIN_EXIT	≈‰Â«¡
LOGIN_REGION_TITLE	Õœœ „ﬂ«‰« ·≈’œ«— «·›« Ê—…
LOGIN_SELECT_BUTTON	«Œ —
LOGIN_SELECT_EXIT	≈‰Â«¡
LOGIN_SELECT_OK	„Ê«›ﬁ
LOGIN_SELECT_TITLE	«Œ — Œ«œ„
MALL_PASSWORD_TITLE	ﬂ·„… «·”—
MALL_TITLE	„Œ“‰ „ Ã— «·»‰Êœ
MARKET_TITLE	‘Õ‰
MARKLIST_REFRESH	 ÃœÌœ
MARKLIST_TITLE	”Ã· ⁄·«„… «·—«»ÿ…
MESSAGE	Â–Â —”«·…
MESSENGER_ADD_FRIEND	≈÷«›… ’œÌﬁ
MESSENGER_DELETE_FRIEND	«Õ–›
MESSENGER_MOBILE	≈—”«· —”«·… ‰’Ì…
MESSENGER_OPEN_GUILD	› Õ ‰«›–… «·—«»ÿ…
MESSENGER_TITLE	√’œﬁ«¡
MESSENGER_USE_GUILD_MOVE_SKILL	«” Œœ„ „Â«—…  Õ—¯ıﬂ «·—«»ÿ…
MESSENGER_WHISPER	Â„”
MINIMIZE	 ’€Ì—
MOUSEBUTTON_ATTACK	ÂÃÊ„
MOUSEBUTTON_AUTO_ATTACK	ÂÃÊ„  ·ﬁ«∆Ì
MOUSEBUTTON_CAMERA	ﬂ«„Ì—«
MOUSEBUTTON_SKILL	„Â«—« 
MUSICLIST_TITLE	ŒÌ«—«  «·„Ê”ÌﬁÏ
NO	·«
OK	„Ê«›ﬁ
OPTION_ALWAYS_SHOW_NAME	«”„
OPTION_ALWAYS_SHOW_NAME_OFF	„ÕœÊœ
OPTION_ALWAYS_SHOW_NAME_ON	œ«∆„«
OPTION_BLOCK	„‰⁄
OPTION_BLOCK_EXCHANGE	 Ã«—…
OPTION_BLOCK_FRIEND	√’œﬁ«¡
OPTION_BLOCK_GUILD	—«»ÿ…
OPTION_BLOCK_PARTY	„Ã„Ê⁄…
OPTION_BLOCK_PARTY_REQUEST	ÿ·»
OPTION_BLOCK_WHISPER	Â„”
OPTION_CAMERA_DISTANCE	ﬂ«„Ì—«
OPTION_CAMERA_DISTANCE_LONG	»⁄Ìœ
OPTION_CAMERA_DISTANCE_SHORT	ﬁ—Ì»
OPTION_DELETE_MOBILE_BUTTON	„”Õ —ﬁ„ «·Â« › «·Œ·ÊÌ
OPTION_EFFECT	⁄—÷ «·≈’«»« 
OPTION_FOG	÷»«»
OPTION_FOG_DENSE	ﬂÀÌ›
OPTION_FOG_LIGHT	Œ›Ì›
OPTION_FOG_MIDDLE	„⁄ œ·
OPTION_INPUT_MOBILE_BUTTON	√œŒ· —ﬁ„ Â« ›ﬂ «·ÃÊ«·
OPTION_MOBILE	«·Â« › «·ÃÊ«·
OPTION_MUSIC	„Ê”ÌﬁÏ
OPTION_MUSIC_CHANGE	 €ÌÌ—
OPTION_MUSIC_DEFAULT_THEMA	„Ê”ÌﬁÏ Metin2 «·⁄«œÌ…
OPTION_NAME_COLOR	·Ê‰ «”„
OPTION_NAME_COLOR_EMPIRE	«·≈„»—«ÿÊ—Ì…
OPTION_NAME_COLOR_NORMAL	⁄«œÌ
OPTION_PVPMODE	·«⁄» ÷œ ·«⁄»
OPTION_PVPMODE_FREE	Õı—
OPTION_PVPMODE_FREE_TOOLTIP	Ìı”„Õ ·ﬂ »„Â«Ã„… Ã„Ì⁄ «··«⁄»Ì‰.
OPTION_PVPMODE_GUILD	—«»ÿ…
OPTION_PVPMODE_GUILD_TOOLTIP	Ì”„Õ »„Â«Ã„… Ã„Ì⁄ «··«⁄»Ì‰ »«” À‰«¡ √⁄÷«¡ «·—«»ÿ….
OPTION_PVPMODE_PEACE	„ı”«·„
OPTION_PVPMODE_PEACE_TOOLTIP	·« Ì”„Õ ·ﬂ »„Â«Ã„… ·«⁄»Ì‰ „‰ ‰›” ≈„»—«ÿÊ—Ì ﬂ.
OPTION_PVPMODE_REVENGE	⁄œ«∆Ì
OPTION_PVPMODE_REVENGE_TOOLTIP	Ì”„Õ ·ﬂ »„Â«Ã„… ·«⁄»Ì‰ –ÊÌ ﬁœ—«  Ê„Ê«Â» √Œ—Ï ›ﬁÿ.
OPTION_SOUND	 √ÀÌ—«  ’Ê Ì…
OPTION_TARGET_BOARD	·«∆Õ… «·Âœ›
OPTION_TARGET_BOARD_NO_VIEW	≈€·«ﬁ
OPTION_TARGET_BOARD_VIEW	⁄—÷
OPTION_TILING	–«ﬂ—… «·’Ê—
OPTION_TILING_APPLY	ÿ»¯ﬁ
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	ŒÌ«—« 
OPTION_VIEW_CHAT	«·œ—œ‘…
OPTION_VIEW_CHAT_OFF	≈Œ›«¡
OPTION_VIEW_CHAT_ON	≈ŸÂ«—
PARTY_MEMBER_INFO_NAME	«”„ ⁄÷Ê «·„Ã„Ê⁄…
PASSWORD_DESC_1	«œŒ· ﬂ·„… «·”—°
PASSWORD_DESC_2	·› Õ «·„Œ“‰.
PASSWORD_DESC_3	Â·  „  €ÌÌ— ﬂ·„… «·”—ø
PASSWORD_DESC_4	≈‰ ·„ Ìﬂ‰ «·√„— ﬂ–·ﬂ° ›ﬂ·„… «·”— «·Œ«’… »ﬂ ÂÌ "000000".
PASSWORD_DESC_5	€Ì¯— ﬂ·„… «·”— «·Œ«’… »ﬂ ›Ì «·„” Êœ⁄.
PASSWORD_TITLE	Õ›Ÿ ﬂ·„… «·”—
PICK_MONEY_TITLE	 ﬁ”Ì„
PRIVATE_SHOP_CLOSE_BUTTON	≈€·«ﬁ «·„ Ã—
PRIVATE_SHOP_NAME	«”„ «·„ Ã—
PRIVATE_SHOP_TITLE	 ÃÂÌ“ „ Ã— Œ«’
OFFLINE_SHOP_CREATE_TITLE	Set up an offline store
REFINE_COST	 ﬂ«·Ì› ⁄„·Ì«  «· Õ”Ì‰: 0 Ì«‰€
REFINE_INFO	›—’ ‰Ã«Õ ⁄„·Ì… «· Õ”Ì‰: 100%
REFINE_TTILE	 Õ”Ì‰« 
REPORT_VIOLENT_WHISPER	Sneak
RESTART_HERE	«»œ√ „Ãœœ« „‰ Â‰«
RESTART_TOWN	«»œ√ „Ãœœ« „‰ «·„œÌ‰…
SAFE_CHANGE_PASSWORD	 €ÌÌ— ﬂ·„… «·”—
SAFE_TITLE	„Œ“‰
SELECT_ATT_GRADE	ﬁÊ…
SELECT_CREATE	≈‰‘«¡
SELECT_DELETE	„”Õ
SELECT_DEX_GRADE	„‰«Ê—…
SELECT_EMPIRE_NAME	«”„ «·«„»—«ÿÊ—Ì…
SELECT_EXIT	≈‰Â«¡
SELECT_HP	ÕÌÊÌ…
SELECT_LEVEL	«·„” ÊÏ
SELECT_METIN_STONE_TITLE	«Œ — «·ÕÃ— «·‘¯»ÕÌ
SELECT_NAME	«”„
SELECT_NO_GUILD	·« ÊÃÊœ ·—«»ÿ…
SELECT_PLAYTIME	Êﬁ  «··⁄»
SELECT_SELECT	«»œ√
SELECT_SP	–ﬂ«¡
SELECT_TITLE	«Œ — ⁄‰Ê«‰«
SHOP_BUY	‘—«¡
SHOP_SELL	»Ì⁄
SHOP_TITLE	„ Ã—
SKILL_SUPPORT_TITLE	„Â«—«  ⁄«œÌ…
SYSTEMOPTION_TITLE	ŒÌ«—«  «·‰Ÿ«„
SYSTEM_CHANGE	 €ÌÌ— «·‘Œ’Ì…
SYSTEM_EXIT	«‰Â«¡ «··⁄»…
SYSTEM_HELP	„”«⁄œ…
SYSTEM_LOGOUT	 ”ÃÌ· «·Œ—ÊÃ
SYSTEM_MALL	«·„ Ã—
SYSTEM_OPTION	ŒÌ«—«  «·‰Ÿ«„
TASKBAR_MONEY	Money Bar
TASKBAR_CHARACTER	«·‘Œ’Ì… [C/V/B/N]
TASKBAR_CHAT	‰«›–… «·œ—œ‘… [Enter]
TASKBAR_DISABLE	€Ì— „ı›⁄¯·
TASKBAR_EXPAND	 ﬂ»Ì— «·‰«›–…
TASKBAR_INVENTORY	ﬁ«∆„… «·„„ ·ﬂ«  [I]
TASKBAR_MESSENGER	√’œﬁ«¡ [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Õﬁ· «·œŒÊ· «· «·Ì [Shift+Number, Alt]
TASKBAR_PREV_QUICKSLOT	Õﬁ· «·œŒÊ· «·”—Ì⁄ «·”«»ﬁ [Shift+Number]
TASKBAR_SYSTEM	ŒÌ«—«  [ESC]
WHISPER_BAN	ÕŸ—
WHISPER_NAME	Â„”
WHISPER_REPORT	«·≈»·«€
WHISPER_SEND	≈—”«·
YES	‰⁄„
ZONE_MAP	Œ—Ìÿ… ﬂ»Ì—…
INVENTORY_SORT	 — Ì»
GUILD_SAFE_TITLE	„Œ“‰ «·—«»ÿ…
GUILD_SAFEBOX_MONEY_TITLE	Guildstorage - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	How much yang do you want to deposit or take out?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Deposit
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Withdraw
GUILD_SAFE_LOG_TITLE	Guildstorage Logs
GUILD_SAFE_LOG_BUTTON	Logs
ACCOUNT_PASSWORD_Q	Forgot?
BDAY_EVENT_DESC_D1	«ﬁ · «ﬂ»— ⁄œœ „‰ «·“⁄„«¡
ACCOUNT_USERNAME_Q	‰”Ì  ≈”„ Õ”«»ﬂø
ACCOUNT_REGISTER	 ”ÃÌ·ø
ACCOUNT_REGISTER_Q	·Ì” ·œÌﬂ Õ”«» ø
ACCOUNT_CHANNEL	ﬁ‰«… %d
ACCOUNT_USERNAME_LABEL	≈”„ «·Õ”«» / ÂÊÌ… ‘Œ’Ì…
ACCOUNT_PASSWORD_LABEL	ﬂ·„… «·”—
ACCOUNT_LOGIN	 ”ÃÌ· «·œŒÊ·
ACCOUNT_YOUR_ACCLIST	Õ”«»« ﬂ
SELECT_LANGUAGE_TITLE	«··€…
LOGIN_EMPTY	[Save acc]
COSTUME_WINDOW_TITLE	√“Ì«¡
COSTUME_TITLE	Open Costumes
SYSTEM_CHANNEL	 €ÌÌ— «·ﬁ‰«…
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	My offline store
PET_TITLE	Haustier-"Ubersicht
PET_STAT1_NAME	«·ÕÌÊÌ…
PET_STAT2_NAME	«·ﬁÊ…
PET_STAT3_NAME	«·–ﬂ«¡
PET_STAT4_NAME	«·—‘«ﬁ…
MOUNT_TITLE	Reittier-"Ubersicht
MOUNT_STAT1_NAME	ﬁÊÌ ÷œ «·ÊÕÊ‘
MOUNT_STAT2_NAME	Defense against Monsters
MOUNT_STAT3_NAME	Strong against Metinstones
MOUNT_STAT4_NAME	Strong against Bosses
CHARACTER_VALUE	Œ’«∆’
CHARACTER_STATISTIC	„ﬂ«›¬Â
CHAR_STAT_MVSPD	”—⁄… «· Õ—ﬂ:
CHAR_STAT_ATSPD	”—⁄… «·ÂÃÊ„:
CHAR_STAT_SPSPD	”—⁄… ”Õ—:
CHAR_STAT_MAGIC_ATK	«·ÂÃÊ„ «·”Õ—Ì:
CHAR_STAT_NORMAL_ATK	ÂÃÊ„ ⁄«œÌ:
CHAR_STAT_MAGIC_DEF	«·œ›«⁄ «·”Õ—Ì:
CHAR_STAT_NORMAL_DEF	œ›«⁄ ⁄«œÌ:
CHAR_STAT_DODGE	‰ﬁ«ÿ «· ›«œÌ:
CHAR_MAIN_HP	«·ÕÌÊÌ…
CHAR_MAIN_INT	«·–ﬂ«¡
CHAR_MAIN_STR	«·ﬁÊ…
CHAR_MAIN_DEX	«·„‰«Ê—…
CHAR_MAIN_POINTS	Points available: 
CHARACTER_BONI_ATTACK	ÂÃÊ„
CHARACTER_BONI_DEFENSE	œ›«⁄
CHARACTER_BONI_PVM	ÊÕÊ‘(PVM)
CHARACTER_BONI_PVP	·«⁄»Ì‰(PVP)
CHAR_HP	«·ÕÌÊÌ…
CHAR_MP	‰ﬁ«ÿ «·«”·Ê»
CHAR_EXP_OF	„‰
CHARACTER_ANTI_EXP_ACTIVE	«·Õ’Ê· ⁄·Ï «·Œ»—…: „⁄ÿ·
