TOOLTIP_ACCE_ATTR_MAX_INFO	(máx. %s)
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Aceitas a transferência da liderança de guild?
GUILDVOTE_MEMBEROUT	Remover Membro
GUILDVOTE_MEMBEROUT_AUTH	Não tens as permissões necessárias.
GUILDVOTE_MEMBEROUT_NOMAL	Queres mesmo remover este membro?
GUILDVOTE_MEMBEROUT_RESULT1	Remover membros: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Resultado da Votação
GUILDVOTE_MEMBEROUT_RESULT3	Foste removido da guild [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Resultado da Votação
GUILDVOTE_MEMBEROUT_RESULT5	Voto esta inválido
GUILDVOTE_MEMBEROUT_TEXT1	Queres iniciar a votação contra [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Votação: Remover o membro da guild?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Votação: O [%s] deve ser removido da guild?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Contra
GUILDVOTE_OK	Para
GUILDVOTE_RESULT_AGGRE_MEMBER	Por: %d
GUILDVOTE_RESULT_ALL_MEMBER	Participantes: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Contra: %d
GUILDVOTE_RESULT_TIME	%d dias %d horas %d minutos %d segundos
GUILDVOTE_SELECT_ONE	Por favor escolha uma personagem.
GUILDWAR_ALL	Batalhas (B)
GUILDWAR_CTF_TITLE	Bandeira capturada.
GUILDWAR_DRAW	 Empates (E)
GUILDWAR_GAINSCORE_FIFTY	50 pontos
GUILDWAR_GAINSCORE_HUNDRED	100 pontos
GUILDWAR_GAINSCORE_THIRTY	30 points
GUILDWAR_GAMETIME_SIXTY	60 minutos
GUILDWAR_GAMETIME_TEN	10 minutos
GUILDWAR_GAMETIME_THIRTY	30 minutos
GUILDWAR_INPUT_OTHERGUILD	Por Favor insira uma Guild enimiga
GUILDWAR_LADDER	Pontos de Classificação
GUILDWAR_LIMIT_MEMBER_FIVE	Minimo 5 participantes.
GUILDWAR_LOSE	Derrotas (D)
GUILDWAR_NORMAL_TITLE	Campal
GUILDWAR_OVER_MEMBERCOUNT	Atingiste o limite de membros.
GUILDWAR_QUESTION_LINE_1	A Guild %s declarou guerra à tua Guild.
GUILDWAR_QUESTION_LINE_2	Aceitas? (%s)
GUILDWAR_RANKING	Rank
GUILDWAR_RECODE_ALL	%d G, %d V, %d D, %d E
GUILDWAR_SELECT_MEMBER_COUNT	Selecione o número de participantes
GUILDWAR_TYPE_DEFENSE	Escudo de Batalha
GUILDWAR_TYPE_TIGER	Aniquilação
GUILDWAR_TYPE_TIME	Ataque de Tempo
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena
GUILDWAR_WIN	Vitórias (V)
GUILDWAR_WIN_FIVE	5 Rondas
GUILDWAR_WIN_ONE	1 ronda
GUILDWAR_WIN_THREE	3 rondas
GUILDWINDOW_BUTTON_BANKGOLDINFO	Registo de Armazém de Guild
GUILDWINDOW_BUTTON_BASEABANDON	Abandonar o Território de Guild
GUILDWINDOW_BUTTON_BASEDEAL	Vender território Guild
GUILDWINDOW_BUTTON_BASEDEALVOTE	Voto
GUILDWINDOW_BUTTON_BOARD	Mensagem Guild
GUILDWINDOW_BUTTON_CHANGEMASTER	Trocar o Líder de Guild
GUILDWINDOW_BUTTON_DECLARE	Declarar Guerra
GUILDWINDOW_BUTTON_GOLDIN	Depositar
GUILDWINDOW_BUTTON_GOLDOUT	Retirar
GUILDWINDOW_BUTTON_GRADE	Gerir Permissões
GUILDWINDOW_BUTTON_GUILDLIST	Lista Guild
GUILDWINDOW_BUTTON_HEALGSP	Recupere o Poder do Deus Dragão
GUILDWINDOW_BUTTON_INFO	Informação sobre a Guild
GUILDWINDOW_BUTTON_LANDINFO	Informação sobre o Território
GUILDWINDOW_BUTTON_MARK	Upload simbolo da guild
GUILDWINDOW_BUTTON_MEMBER	Membro
GUILDWINDOW_BUTTON_OFFER	Doar EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Remover Membro
GUILDWINDOW_BUTTON_SKILL	Habilidades Guild
GUILDWINDOW_BUTTON_SYMBOL	Carregar a bandeira de Guild
GUILDWINDOW_BUTTON_VOTECHECK	Verificar a Votação
GUILDWINDOW_BUY_GUILD_LAND	Comprar Terreno
GUILDWINDOW_CHANGE_OBJECT	Reconstrução
GUILDWINDOW_CHANGE_SMELTER	 Alterar Fundidor
GUILDWINDOW_CREATE_OBJECT	Construção
GUILDWINDOW_DEAL_GUILD_LAND	Terra de Vendas
GUILDWINDOW_GRADE_BANK	Poderá usar o banco e inventário de guild
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Pode remover membros da Guild
GUILDWINDOW_GRADE_GRADENAME	Rank Nome
GUILDWINDOW_GRADE_GRADENUMBER	Rank Número
GUILDWINDOW_GRADE_GUILDWAR	Seleciona os membros para participar
GUILDWINDOW_GRADE_INVITEAUTHORITY	Pode aceitar membros para a Guild
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Pode escrever mensagens de guild
GUILDWINDOW_GRADE_SKILLAUTHORITY	Pode usar habilidades Guild
GUILDWINDOW_INFO_LEVEL10	Número máximo de membros
GUILDWINDOW_INFO_LEVEL15	 Custo Vermelho: Poder do Deus Dragão
GUILDWINDOW_INFO_LEVEL20	 Banco: Isenção a Taxas
GUILDWINDOW_INFO_LEVEL5	 5% de EXP quando doas para a guild
GUILDWINDOW_LIST_ALL	Todos Reinos
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] Já te candidataste.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista Aplicações
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_LV	Nível
GUILDWINDOW_LIST_CHRACTER_NAME	Nome da Personagem
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclasse
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membro
GUILDWINDOW_LIST_GUILD_LIST	Lista Guild
GUILDWINDOW_LIST_GUILD_LV	Nível
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Introduza o nome da guild.
GUILDWINDOW_LIST_LADDER	Pontos de Rank
GUILDWINDOW_LIST_PROMOTE_GUILD	 Aplicação
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista Guild
GUILDWINDOW_LIST_RANKING	Posição
GUILDWINDOW_LIST_RANKING_COUNT	Posição
GUILDWINDOW_LIST_REGISTER	Aplicações
GUILDWINDOW_LIST_REGISTER_GUILD	Aplicar a Guild
GUILDWINDOW_LIST_SEARCH	Procura
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Por favor 
GUILDWINDOW_PROMOTE_REFRESH	Promover
GUILDWINDOW_PROMOTE_REGISTER	Publicidade
GUILDWINDOW_SP_RECOVER	Poder do Deus Dragão
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Melhorar Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Melhorar Banco
GUILD_BANKINFO_CLOSE	Fechar
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TYPE	Item / Moeda
GUILD_BANKINFO_USETYPE	Ação
GUILD_BANK_CLOSE	Fechar
GUILD_BANK_INFO	Registo armazém Guild
GUILD_BOARD_ID	Membro
GUILD_BOARD_TEXT	Mensagem
GUILD_BUILDING_FIX_CHANGE	Queres mesmo mudar a posição?
GUILD_BUILDING_FIX_CHANGE_GOLD	Custo: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Quer mesmo apagar o object?
GUILD_BUILDING_FIX_NEED_BUILDING	Nenhuma estrutura presente.
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_NAME	Nome do Edifício
GUILD_CANNOT_HEAL_GSP_ANYMORE	O Poder da Guild já está no máximo.
GUILD_COMMENT	Escrever
GUILD_CREATE_ERROR_INSULT_NAME	O nome da Guild não é válido.
GUILD_DEFAULT_GRADE	Membros da Guild
GUILD_DELETE	Apagar
GUILD_DEPOSIT	Depositar
GUILD_DO_YOU_HEAL_GSP	Queres restaurar com %d Yang %d Dragões Fantasma?
GUILD_DO_YOU_JOIN	, Queres juntar-te à Guild?
GUILD_DRAGONLAIR_MIN	mín.
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Terreno Vazio
GUILD_ENEMY_GUILD_NAME	Nome da Guild inimiga
GUILD_FACILITY	Anexo
GUILD_GEM	Pedra Preciosa
GUILD_HEADQUARTER	Edifício Principal
GUILD_HEAL_GSP	Repor
GUILD_INFO_ENEMY_GUILD_EMPTY	Nenhum
GUILD_MARK_NOT_ENOUGH_LEVEL	A guild necessita de nível 4 para usar icon de guild
GUILD_MARK_UPLOAD_NOTICE	Por favor espera um pouco para que possas adicionar os logótipos da guild.
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Combatente
GUILD_MEMBER_LEVEL	Nível
GUILD_MEMBER_NAME	Membro
GUILD_MEMBER_RANK	Rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Doar EXP
GUILD_NAME	Nome da Guild
GUILD_NOT_ENOUGH_MATERIAL	Não tens recursos suficientes para este edifício.
GUILD_NOT_ENOUGH_MONEY	Não tens Yang suficiente para este edifício.
GUILD_NO_NOTICE_PERMISSION	Não tens permissões para fazer um anúncio.
GUILD_OBJECT	Objectos
GUILD_OFFER_EXP	Experiência a investir
GUILD_SHORT_EXP	Experiência insuficiente
GUILD_TILE_BASEINFO	Informação Básica
GUILD_TILE_BOARD	Quadro de Mensagens
GUILD_TILE_GRADE	Administração de Permissões
GUILD_TILE_INFO	Informação da Guild
GUILD_TILE_MEMBER	Membros da Guild
GUILD_TILE_SKILL	Habilidades de Guild
GUILD_USE_MASTER_ONLY	Apenas o líder da guild tem direito a realizar esta ação.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Área de Guerra Guild
GUILD_WAR2	Área de Guerra Guild
GUILD_WAR3	Área de Guerra Guild
GUILD_WAR4	Área de Guerra Guild
GUILD_WAR_GAINSCORE_FIFTY	50 pontos
GUILD_WAR_GAINSCORE_HUNDRED	100 pontos
GUILD_WAR_GAINSCORE_THIRTY	30 points
GUILD_WAR_GAMETIME_SIXTY	60 minutos
GUILD_WAR_GAMETIME_TEN	10 minutos
GUILD_WAR_GAMETIME_THIRTY	30 minutos
GUILD_WAR_LIMIT_30MIN	Duração: 30 Minutos
GUILD_WAR_REWARD_POTION	Recompensa: O vencedor recebe uma Poção.
GUILD_WAR_SELECT_WAR	Selecione tipo
GUILD_WAR_TYPE_DEFENSE	Escudo de Batalha
GUILD_WAR_TYPE_DIE	Arena de Batalha
GUILD_WAR_TYPE_FLAG	Captura a Bandeira
GUILD_WAR_TYPE_NORMAL	Campo de Batalha
GUILD_WAR_TYPE_TIGER	Aniquilação
GUILD_WAR_TYPE_TIME	Ataque de Tempo
GUILD_WAR_USE_BATTLE_MAP	Usa a Arena de Guerra
GUILD_WAR_USE_NORMAL_MAP	Usa o Mapa Normal
GUILD_WAR_WIN_CHECK_SCORE	A Guild com o resultado mais alto ganha a Guerra.
GUILD_WAR_WIN_FIVE	5 Rondas
GUILD_WAR_WIN_ONE	1 ronda
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captura a Bandeira do teu inimigo
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e leva-a para a tua base.
GUILD_WAR_WIN_THREE	3 rondas
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrota 100 inimigos para vencer.
GUILD_WITHDRAW	Retirar
GUILD_YOU_DO_NOT_JOIN	Não és membro de uma Guild.
HORSE_HEALTH0	Morto
HORSE_HEALTH1	Fome
HORSE_HEALTH2	Esfomeado
HORSE_HEALTH3	Cheio
HORSE_LEVEL1	Cavalo Normal
HORSE_LEVEL2	Cavalo Armado
HORSE_LEVEL3	Cavalo Militar
HOUR	Horas
HOW_MANY_ITEM_DO_YOU_DESTROY1	Quer destruir %s?
HOW_MANY_ITEM_DO_YOU_DESTROY2	Queres destruir %dx %s?
HOW_MANY_ITEM_DO_YOU_DROP1	Queres largar %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Queres largar %s %d?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY1	Queres destruir %s?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY2	Queres mesmo descartar ou destruir %dx %s?
INPUT_MATRIX_CARD_NUMBER	Introduz o número do Cartão Matriz.
INPUT_MATRIX_CARD_TITLE	Cartão Matriz
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introduz aqui o código de apagar personagem da tua conta.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Apagar Personagem
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergaminho do Retorno não pode ser combinado.
INVENTORY_REALLY_USE_ITEM	Queres usar este Item?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja Amador
JOB_ASSASSIN1	Poder dos Ninjas
JOB_ASSASSIN2	Mortos-Vivos
JOB_SHAMAN	Xamã
JOB_SHAMAN0	Xamã Amador
JOB_SHAMAN1	Poder do Dragão
JOB_SHAMAN2	Poder da Luz
JOB_SURA	Sura
JOB_SURA0	Sura Amador
JOB_SURA1	Poder da Fada Morgana
JOB_SURA2	Poder da Magia Negra
JOB_WARRIOR	Guerreiro
JOB_WARRIOR0	Guerreiro Amador
JOB_WARRIOR1	Poder do Arahan
JOB_WARRIOR2	Poder do Partidário
LEFT_TIME	Tempo Restante
LOGIN_CONNECT_FAILURE	Ocorreu um erro enquanto te ligavas ao Servidor.
LOGIN_CONNECT_SUCCESS	Estás ligado ao Servidor.
LOGIN_CONNETING	Vais ser ligado ao Servidor.
LOGIN_FAILURE_ALREAY	A tua conta já está ligada.
LOGIN_FAILURE_BE_SAME_KEY	Problema de registo.
LOGIN_FAILURE_BLOCK_ID	A tua conta está bloqueada.
LOGIN_FAILURE_BLOCK_HWID	O teu computador ainda está bloqueado por %s.
LOGIN_FAILURE_BLOCK_LOGIN	Por favor escolhe um dos outros Servidores!
LOGIN_FAILURE_NOBILL	A tua conta não tinha tempo de jogo.
LOGIN_FAILURE_NOT_AVAIL	A conta ainda está temporariamente bloqueada por %s.
LOGIN_FAILURE_NOT_EXIST_ID	O nome da conta ou a palavra-passe está/ão incorrecta(s).
LOGIN_FAILURE_REPAIR_ID	Foram restaurados Itens a esta conta.
LOGIN_FAILURE_SHUTDOWN	O Servidor ainda não está aberto.
LOGIN_FAILURE_TOO_MANY_USER	Não te podes ligar ao Servidor porque estão muitos jogadores ligados.
