ACCE_ABSORB	Absorção de Bónus
HELP_OPEN_WHISPER	- Carrega no 'Shift' e 'Enter' para abrires a janela de Mensagens Privadas.
HELP_OPEN_ZONEMAP	- A tecla 'M' abre e fecha o Mapa Grande.
HELP_PICK_ITEM	- Carrega na Tecla 'z' e '\\' para apanhares os itens que os monstros largam.
HELP_QUICKSLOT	Campos de Acesso Rápido
HELP_SCREEN_CAPTURE	- Carrega na tecla 'Print Screen' para tirares uma Print. Esta será gravada na pasta do Metin2.
HELP_SHOW_ALL_NAME	- Carrega na Tecla 'Alt' para mostrar o nome de todas as Personagens e Itens que consigas ver.
HELP_SP	Pontos de feitiço (SP)
HELP_SYSTEM_BUTTON	Botão de Sistema
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Inventário
INVENTORY_TITLE	Inventário
ITEM_MALL	Item Shop
LOAD_ERROR	O Ficheiro está com erros. Por favor instala de novo. Carrega agora no 'ESC'.
LOGIN_CONNECT	Entrar
LOGIN_CONNECTING	Estás a conectar-te ao Servidor
LOGIN_DEFAULT_SERVERADDR	Nome do servidor, Canal 1
LOGIN_EXIT	Sair
LOGIN_REGION_TITLE	Escolhe um lugar para emitir o recibo.
LOGIN_SELECT_BUTTON	Mudar
LOGIN_SELECT_EXIT	Sair
LOGIN_SELECT_OK	Entrar
LOGIN_SELECT_TITLE	Escolhe o Servidor
MALL_PASSWORD_TITLE	Palavra-passe
MALL_TITLE	Armazém de Artigos
MARKET_TITLE	Carregar
MARKLIST_REFRESH	Actualizar
MARKLIST_TITLE	Registar uma assinatura da Guild
MESSAGE	Isto 
MESSENGER_ADD_FRIEND	Adicionar amigo
MESSENGER_DELETE_FRIEND	Apagar amigo
MESSENGER_MOBILE	Enviar Mensagem
MESSENGER_OPEN_GUILD	Área da Guild
MESSENGER_TITLE	Amigos
MESSENGER_USE_GUILD_MOVE_SKILL	Usar Habilidade de Movimento da Guild
MESSENGER_WHISPER	Segredar
MINIMIZE	Minimizar
MOUSEBUTTON_ATTACK	Atacar
MOUSEBUTTON_AUTO_ATTACK	Atacar Automaticamente
MOUSEBUTTON_CAMERA	Perspectiva
MOUSEBUTTON_SKILL	Habilidades
MUSICLIST_TITLE	Escolhas de Música
NO	Não
OK	OK
OPTION_ALWAYS_SHOW_NAME	Nome
OPTION_ALWAYS_SHOW_NAME_OFF	Desligado
OPTION_ALWAYS_SHOW_NAME_ON	Ligado
OPTION_BLOCK	Bloquear
OPTION_BLOCK_EXCHANGE	Trocas
OPTION_BLOCK_FRIEND	Amigo
OPTION_BLOCK_GUILD	Guild
OPTION_BLOCK_PARTY	Grupo
OPTION_BLOCK_PARTY_REQUEST	Pedidos
OPTION_BLOCK_WHISPER	Segredos
OPTION_CAMERA_DISTANCE	Visão
OPTION_CAMERA_DISTANCE_LONG	De longe
OPTION_CAMERA_DISTANCE_SHORT	De perto
OPTION_DELETE_MOBILE_BUTTON	Apagar Contacto
OPTION_EFFECT	Mostrar Dano
OPTION_FOG	Nevoeiro
OPTION_FOG_DENSE	Denso
OPTION_FOG_LIGHT	Leve
OPTION_FOG_MIDDLE	Médio
OPTION_INPUT_MOBILE_BUTTON	Introduzir o Contacto
OPTION_MOBILE	Telemóvel
OPTION_MUSIC	Música
OPTION_MUSIC_CHANGE	Alterar
OPTION_MUSIC_DEFAULT_THEMA	Música Standard do Metin2
OPTION_NAME_COLOR	Mostrar Cor
OPTION_NAME_COLOR_EMPIRE	Cor do Reino
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	Modo PvP
OPTION_PVPMODE_FREE	Livre
OPTION_PVPMODE_FREE_TOOLTIP	Poderás atacar todos os jogadores
OPTION_PVPMODE_GUILD	Guild
OPTION_PVPMODE_GUILD_TOOLTIP	Podes atacar todos os jogadores menos os da tua Guild.
OPTION_PVPMODE_PEACE	Paz
OPTION_PVPMODE_PEACE_TOOLTIP	Nenhum jogador poderá atacar-me.
OPTION_PVPMODE_REVENGE	Hostil
OPTION_PVPMODE_REVENGE_TOOLTIP	Só poderás atacar aqueles que tenham mau Karma igualmente.
OPTION_SOUND	Som
OPTION_TARGET_BOARD	Menu do Alvo
OPTION_TARGET_BOARD_NO_VIEW	Fechar
OPTION_TARGET_BOARD_VIEW	Mostrar
OPTION_TILING	Gráficos
OPTION_TILING_APPLY	Aplicar
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opções
OPTION_VIEW_CHAT	Linha de Chat
OPTION_VIEW_CHAT_OFF	Esconder
OPTION_VIEW_CHAT_ON	Mostrar
PARTY_MEMBER_INFO_NAME	Nome do grupo
PASSWORD_DESC_1	Coloque a sua password.
PASSWORD_DESC_2	to open the storeroom.
PASSWORD_DESC_3	Já mudaste a tua password?
PASSWORD_DESC_4	Se não, a tua password será '000000'.
PASSWORD_DESC_5	Muda a tua password no Armazém
PASSWORD_TITLE	Gravar Palavra-passe
PICK_MONEY_TITLE	Dividir
PRIVATE_SHOP_CLOSE_BUTTON	Fechar Loja
PRIVATE_SHOP_NAME	Nome da Loja
PRIVATE_SHOP_TITLE	Abrir uma Loja Privada
OFFLINE_SHOP_CREATE_TITLE	Abrir Loja Offline
REFINE_COST	Custo Para Melhorar: 0 Yang
REFINE_INFO	Possibilidade de Melhoramento: 100%
REFINE_TTILE	Melhoramentos
REPORT_VIOLENT_WHISPER	Sneak
RESTART_HERE	Recomeçar Aqui
RESTART_TOWN	Recomeçar na Cidade
SAFE_CHANGE_PASSWORD	Mudar Palavra-passe
SAFE_TITLE	Armazém
SELECT_ATT_GRADE	FRÇ
SELECT_CREATE	Criar
SELECT_DELETE	Apagar
SELECT_DEX_GRADE	DES
SELECT_EMPIRE_NAME	Nome do Reino
SELECT_EXIT	Fechar
SELECT_HP	VIT
SELECT_LEVEL	Nível
SELECT_METIN_STONE_TITLE	Selecciona a Pedra Espiritual
SELECT_NAME	Nome
SELECT_NO_GUILD	Sem Guild
SELECT_PLAYTIME	Tempo jogado (min)
SELECT_SELECT	Começar
SELECT_SP	INT
SELECT_TITLE	Escolher Título
SHOP_BUY	Comprar
SHOP_SELL	Vender
SHOP_TITLE	Loja
SKILL_SUPPORT_TITLE	Habilidades Standard
SYSTEMOPTION_TITLE	Opções do Sistema
SYSTEM_CHANGE	Alterar Personagem
SYSTEM_EXIT	Sair do Jogo
SYSTEM_HELP	Ajuda
SYSTEM_LOGOUT	Sair da Conta
SYSTEM_MALL	Loja de Itens
SYSTEM_OPTION	Opções do Sistema
TASKBAR_MONEY	Barra de Yang
TASKBAR_CHARACTER	Personagem[C/V/B/N]
TASKBAR_CHAT	Janela de chat
TASKBAR_DISABLE	Desativado
TASKBAR_EXPAND	Expandir Janela
TASKBAR_INVENTORY	Inventário[I]
TASKBAR_MESSENGER	Mensagens
TASKBAR_NEXT_QUICKSLOT	Próximo Campo de Acesso Rápido [Shift+Número, Alt]
TASKBAR_PREV_QUICKSLOT	Pré-visualizar Campo de Acesso Rápido [Shift+Número]
TASKBAR_SYSTEM	Opções[ESC]
WHISPER_BAN	Bloquear
WHISPER_NAME	Segredar
WHISPER_REPORT	reportar
WHISPER_SEND	Enviar
YES	Sim
ZONE_MAP	Mapa Grande
INVENTORY_SORT	Ordenar
GUILD_SAFE_TITLE	Armazém de Guild
GUILD_SAFEBOX_MONEY_TITLE	Armazem de Guild - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	Quanto yang gostaria de depositar ou retirar?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Deposito
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Retirar
GUILD_SAFE_LOG_TITLE	Logs do Armazém de Guild
GUILD_SAFE_LOG_BUTTON	Registos
ACCOUNT_PASSWORD_Q	Esqueceu?
BDAY_EVENT_DESC_D1	Mata a maioria dos Bosses
ACCOUNT_USERNAME_Q	Esqueceste-te do teu usuário?
ACCOUNT_REGISTER	Registar?
ACCOUNT_REGISTER_Q	You don't have an account?
ACCOUNT_CHANNEL	Canal %d
ACCOUNT_USERNAME_LABEL	Nome conta / ID
ACCOUNT_PASSWORD_LABEL	Palavra passe
ACCOUNT_LOGIN	Login
ACCOUNT_YOUR_ACCLIST	As tuas contas
SELECT_LANGUAGE_TITLE	Língua
LOGIN_EMPTY	[Guardar Conta]
COSTUME_WINDOW_TITLE	Disfar
COSTUME_TITLE	Abrir Disfarces
SYSTEM_CHANNEL	Mudar de canal
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	A Minha Loja offline
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Vitalidade
PET_STAT2_NAME	Força
PET_STAT3_NAME	Inteligência
PET_STAT4_NAME	Agility
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Forte contra Monstros
MOUNT_STAT2_NAME	Defesa contra Monstros
MOUNT_STAT3_NAME	Forte contra Metins
MOUNT_STAT4_NAME	Forte contra Bosses
CHARACTER_VALUE	Propriedades
CHARACTER_STATISTIC	Bónus
CHAR_STAT_MVSPD	Velocidade movimento:
CHAR_STAT_ATSPD	Velocidade de ataque:
CHAR_STAT_SPSPD	Velocidade Feitiço:
CHAR_STAT_MAGIC_ATK	Ataque mágico:
CHAR_STAT_NORMAL_ATK	Ataque normal:
CHAR_STAT_MAGIC_DEF	Defesa Mágica:
CHAR_STAT_NORMAL_DEF	Defesa Normal:
CHAR_STAT_DODGE	Evitar:
CHAR_MAIN_HP	(VIT) Vitalidade:
CHAR_MAIN_INT	(INT) Inteligência:
CHAR_MAIN_STR	(STR) Força:
CHAR_MAIN_DEX	(DEX) Destreza:
CHAR_MAIN_POINTS	Pontos di
CHARACTER_BONI_ATTACK	Ataque
CHARACTER_BONI_DEFENSE	Defesa
CHARACTER_BONI_PVM	Monstro (PvM)
CHARACTER_BONI_PVP	Jogador (PVP)
CHAR_HP	(VD) Vida
CHAR_MP	(MN) Mana
CHAR_EXP_OF	de
CHARACTER_ANTI_EXP_ACTIVE	Get Experience: Disabled
CHARACTER_ANTI_EXP_INACTIVE	Receber Experiência: Activado
QUEST_CATEGORIE_1	Geral
QUEST_CATEGORIE_2	Passe de Batalha
TASKBAR_OPEN_CHAT	Abre chat
DRAGONSOUL_ACTIVATE	Activar
DRAGONSOUL_REFINE_OPEN	Melhorar
DRAGONSOUL_PAGE_BUTTON_1	Crua
DRAGONSOUL_PAGE_BUTTON_2	Talhada
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antiga
DRAGONSOUL_PAGE_BUTTON_5	Lendária
DRAGONSOUL_REFINE_WINDOW_TITLE	Janela de Refinamento
DRAGONSOUL_TAP_TITLE_1	Diamante-Dragão
DRAGONSOUL_TAP_TITLE_2	Rubi Dragão
DRAGONSOUL_TAP_TITLE_3	Jade Dragão
DRAGONSOUL_TAP_TITLE_4	Safira Dragão
DRAGONSOUL_TAP_TITLE_5	Granada Dragão
DRAGONSOUL_TAP_TITLE_6	Onyx Dragão
DRAGONSOUL_TITLE	Alquimia de Pedra do Dragão
GRADE_SELECT	Classe
STEP_SELECT	Grau de claridade
STRENGTH_SELECT	Nivel
DO_REFINE	Refinar
GAYA_SHOP_TITLE	Loja Gaya
AUCTION_INFORMER_WINDOW_TITLE	Item vendido
AUCTION_WINDOW_TITLE	Pesquisa de loja
AUCTION_PAGE_BUTTON_BUY	Comprar
AUCTION_PAGE_BUTTON_SELL	Vender
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Nome do item...
AUCTION_SEARCH_BUTTON_TEXT	Procurar
AUCTION_SEARCH_RESET_BUTTON_TEXT	Reiniciar
AUCTION_LV_TEXT_1	Nível limite
AUCTION_LV_TEXT_2	para
AUCTION_PRICE_TEXT_1	Custo limite
AUCTION_PRICE_TEXT_2	para
AUCTION_PRICE_OVERLAY_2	-(ilimitado)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Mostrar itens da Auction House apenas
AUCTION_ONLY_SELF_CHECKBOX	Mostrar apenas os meus itens
AUCTION_ORDER_TITLE	Opções de ordenação
AUCTION_ORDER_BUTTON_NAME	Nome do Item
AUCTION_ORDER_BUTTON_PRICE	Preço
AUCTION_ORDER_BUTTON_DATE	Data de contratação
AUCTION_SELL_NO_ITEM_TEXT	Arrasta um item para esta janela para o selecionares para venda.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	A opção de vender está neste momento desabilitada na Auction House.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Define um preço...
AUCTION_SELL_ITEM_BUTTON	Set
AUCTION_SELL_PRICE_TAX_INFO	Itens que colocares na Auction House será cobrado 9% de imposto. O preço exibido é o preço que o jogador tem de pagar. O valor depois de receberes mostra o valor que vais vender.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Ten pages back
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Dez páginas à frente.
AUCTION_RACE_TEXT	Classe
AUCTION_RACE_TEXT_1	Guerreiro
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Xamã
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Modo de 
MINI_GAME_RUMI_EXIT	Acabar
MINI_GAME_RUMI_LBUTTON_DESC	Clique com o botão esquerdo para adicionar o carta
MINI_GAME_RUMI_RBUTTON_DESC	clique com o botão direito para adicionar o cartão
MINI_GAME_RUMI_SCORE	Pontos
MINI_GAME_RUMI_START_TEXT	Começar
MINI_GAME_RUMI_TITLE	Metin2 Jogo de Cartas Okey
OPTION_ITEM_HIGHLIGHT	Novos Itens
OPTION_ITEM_HIGHLIGHT_ON	Mark
OPTION_ITEM_HIGHLIGHT_OFF	Nada
OPTION_GOLD_PICKUP	Mensagem de Yang
OPTION_GOLD_PICKUP_ON	Ativo
OPTION_GOLD_PICKUP_OFF	Inativo
WEB_LOADING_TITLE	Carregando navegador...
WEB_LOADING_DESC	Por favor, tens um pequeno momento de paciência
ANTIEXP_TOOLTIP	Anti-Experiência
OPTION_DISABLE_PICKUP	Nao 
OPTION_DISABLE_PICKUP_ARMOR	Armaduras
OPTION_DISABLE_PICKUP_WEAPON	Armas
OPTION_DISABLE_PICKUP_ETC	Jóias
GUILD_DRAGONLAIR_RANKING	Classificações
GUILD_DRAGONLAIR_RANKING_COUNT	Rank
GUILD_DRAGONLAIR_RANKING_MEMBER	Membros
GUILD_DRAGONLAIR_RANKING_NAME	Guild
GUILD_DRAGONLAIR_RANKING_TIME	Tempo
FAKEBUFF_SKILL_TITLE	Habilidades da Buffi
ATTRTREE_TITLE_1	Guerreiro
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Xâma
ATTRTREE_TITLE_5	Especial
ATTRTREE_TITLE_6	Monstro
ATTRTREE_REFINE_TITLE	Melhorar
ATTRTREE_REFINE_UPGRADE	Melhorar
ATTRTREE_REFINE_CANCEL	Cancelar
SELECT_METIN_DETACH_TITLE	Remover Pedra
SELECT_METIN_DETACH_INFO	Seleciona a pedra que pretendes remover.
SELECT_METIN_DETACH_BUTTON	Remover
SELECT_ATTR_DETACH_TITLE	Remover bonus
SELECT_ATTR_DETACH_INFO	Seleciona o bónus que pretendes remover.
SELECT_ATTR_DETACH_BUTTON	Remover
QUEST_CATEGORIE_3	Evento Passe de Batalha
QUEST_CATEGORIE_4	Battlepass ilimitado
OFFLINE_SHOP_RENEW_BUTTON	Renovar
DO_REFINE_ALL	Refinar tudo
OPTION_QUEST_LETTER	Quest Letters
OPTION_QUEST_LETTER_SHOW	Mostre
OPTION_QUEST_LETTER_HIDE	Esconder
OPTION_PICKUP_ALL	Pickup
OPTION_PICKUP_FAST	Todo
OPTION_PICKUP_SLOW	Individual
SHOP_SEARCH_SORT_DESC	Ordenar
SHOP_SEARCH_SORT_ALPHA_AZ	Alfabeticamente - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Alfabeticamente - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Preço único ascendente
SHOP_SEARCH_SORT_PRICE_DESC	Preço único descendente
SHOP_SEARCH_CAT_DESC	Categorias
SHOP_SEARCH_CAT_ALL	Todo
SHOP_SEARCH_CAT_WEAPON	Armas
SHOP_SEARCH_CAT_ARMOR	Armadura
SHOP_SEARCH_CAT_JEWELLERY	Joias
SHOP_SEARCH_CAT_TALISMAN	Talismã
SHOP_SEARCH_CAT_DRAGONSOUL	Alquimia de Pedra do Dragão
SHOP_SEARCH_CAT_COSTUME	Traje
SHOP_SEARCH_CAT_COSTUME_BONI	Bónus d
SHOP_SEARCH_CAT_SKILLS	Habilidades
SHOP_SEARCH_CAT_POTIONS	Poções
SHOP_SEARCH_CAT_USABLE	Items de consumo
SHOP_SEARCH_CAT_FISHS	Peixe
SHOP_SEARCH_CAT_MOUNTS	Montadas
SHOP_SEARCH_CAT_PETS	Pet
SHOP_SEARCH_CAT_OWNED	Os meus Items
LOGIN_SHRINK	Encolher
LOGIN_EXTEND	Extandir
OPTION_USENIGHT	Modo noturno
OPTION_CAMERA_DISTANCE_HUGE	Extra Longe
SPLIT_ITEM	Divisão completa
PLAYER_SELECT_HAIR_TITLE	Escolha do penteado
EVENT_JOIN_TITLE	Participar no Evento
EVENT_JOIN_ACCEPT_BUTTON	Teleportar
EVENT_JOIN_DECLINE_BUTTON	Recusar
OPTION_SHOP_TITLE	Nome da Loja
REFINE_FAST_CHECK	Não feche a janela
GUILD_MEMBER_MELEY	Começar o Covil do Meley
COMB_TITLE	Passa-Bónus de Disfarce
COMB_APPEARANCE	Disfarces 1
