TOOLTIP_ACCE_ATTR_MAX_INFO	(max.%s)
CREATE_FAILURE	Nu poþi crea acest caracter.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introdu numele.
CREATE_PLUS_STAT	Mai sunt puncte de status disponibile.
DAY	Zile
DO_YOU_BUY_ITEM1	Vrei sã cumperi %s pentru %s Yang?
DO_YOU_BUY_ITEM2	Vrei sã cumperi %s (%s buc) pentru %s Yang?
DO_YOU_DROP_MONEY	Vrei sã renunþi la %d Yang?
DO_YOU_SELL_ITEM1	Vrei sã vinzi %s pentru %s Yang?
DO_YOU_SELL_ITEM2	Vrei sã vinzi %s (%s buc) pentru %s Yang?
DO_YOU_TAKE_OUT_ITEM1	Doresti sa elimini %s ?
DO_YOU_TAKE_OUT_ITEM2	Doresti sa elimini %s %s ?
DROP_ITEM_FAILURE_EQUIP_ITEM	Nu poþi arunca obiecte din echipament.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi renunþa la un obiect atribuit caracterului dacã magazinul privat este deschis.
DROP_MONEY_FAILURE_1000_OVER	Poþi renunþa la maxim 999 Yang.
EMOTION_ANGRY	Neplãcut
EMOTION_ATTRACTIVE	Tentaþie
EMOTION_BANTER	Rãutãcios
EMOTION_CHEERS_1	Bucurie 1
EMOTION_CHEERS_2	Bucurie 2
EMOTION_CHEERUP	A se bucura
EMOTION_CHOOSE_ONE	Alege o þintã.
EMOTION_CLAP	Aplauze
EMOTION_CLAP_KISS	Sãrut
EMOTION_CONGRATULATION	Acord
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_FORGIVE	Iertare
EMOTION_FRENCH_KISS	Sarut Frantuzesc
EMOTION_JOY	Bucurie
EMOTION_SAD	Trist
EMOTION_SHY	Refuz
EMOTION_SLAP	Loviturã
EMPIRE_A	Regatul Shinsoo
EMPIRE_B	Regatul Chunjo
EMPIRE_C	Regatul Jinno
EXCHANGE_CANNOT_GIVE	Nu poþi negocia acest obiect.
EXCHANGE_CANT_EDIT_MONEY	Acum nu mai poti modifica suma.
EXCHANGE_FAILURE_EQUIP_ITEM	Nu poti schimba Obiecte atribuite caracterului.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Negociaza cu %s (%d)
FISHING_FAILURE	Ai pierdut momeala pentru pescuit.
FISHING_NOTIFY1	Se pare ca %s a muºcat.
FISHING_NOTIFY2	Se pare cã s-a prins %s.
FISHING_SUCCESS1	Ai prins %s.
FISHING_SUCCESS2	Ai scos %s din apa!
FISHING_UNKNOWN	Ceva a muscat dar nu ºtiu ce anume.
FISHING_WRONG_PLACE	Nu pot sã pescuiesc aici.
FOR_FEMALE	Pentru femei
FOR_MALE	Pentru bãrbaþi
GAME_CANNOT_MINING	Nu poþi sã sapi dupã minereu în timp ce cãlãreºti.
GAME_CANNOT_PICK_ITEM	Nu poþi culege acest obiect, pentru ca nu a fost capturat de tine.
GAME_INIT_ERROR_CURSOR	Cursorul nu a putut fi creat.
GAME_INIT_ERROR_DIRECTX	Ai nevoie de DirectX 8.1 pentru a rula jocul.\nInstaleazã DirectX 8.1 sau peste.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nu s-a gasit placa graficã pentru rularea jocului.\nVerificã daca placa VGA e instalatã corect.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Placa graficã nu a putut fi iniþializatã.nVerificã dacã deþii o placã VGA.\nAlternativ poþi sã activezi accelerarea hardware.\n(Accelerare hardware la maxim \nControl Panel->Display->Settings->Advanced->Troubleshooting)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Placa graficã nu suportã 32bit.\nSchimbã pe 16bit sau foloseºte full screen.
GAME_INIT_ERROR_ITEM_PROTO	Datele obiectului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_MAIN_WINDOW	Fereastra principalã nu a putut fi realizatã.
GAME_INIT_ERROR_MOB_PROTO	Datele monstrului inaccesibile.\nReinstaleazã jocul.
GAME_INIT_ERROR_NETWORK	Legatura la reþea nu s-a realizat.\nVerificã legãtura la internet.
GAME_PICK_MONEY	Ai primit %d Yang.
GUILDBANK_CLEARBANK	Atenþie: Depozitul Breslei trebuie golit!
GUILDBANK_DONT_MONEY_OUT	Nu ai Yang în banca breslei!
GUILDBANK_GOLD_IN	Depunere
GUILDBANK_GOLD_OUT	Retragere
GUILDBANK_ITEM_IN	Înmagazineazã
GUILDBANK_ITEM_OUT	Înlaturã
GUILDBANK_MONEYIN	Depunere Yang
GUILDBANK_MONEYOUT	Retragere Yang
GUILDBANK_NOTUSE	Nu ai permisiunile necesare.
GUILDBANK_NOT_ENOUGH_MONEY	Nu ai Yang suficient pentru depunere.
GUILDBANK_OVER_INCOME	Limitã atinsã pe cont.
GUILDBANK_OVER_MONEY	Contul breslei este plin.
GUILDLAND_ABANDON	Abandoneazã Teritoriu Breaslã
GUILDLAND_ABANDON_VOTE	Abandoneazã teritoriul breslei [%s].
GUILDLAND_ABANDON_VOTE_RESULT1	Teritoriul breslei [%s] a fost abandonat.
GUILDLAND_ABANDON_VOTE_RESULT2	Teritoriul breslei a fost abandonat.
GUILDLAND_ABANDON_VOTE_RESULT3	Rezultat vot:
GUILDLAND_ABANDON_VOTE_RESULT4	Vot invalid.
GUILDLAND_ABANDON_VOTE_TEXT	Vrei într-adevãr sã începi votul?
GUILDLAND_ABANDON_VOTE_TEXT1	Doreºti sã abandonezi teritoriul breslei?
GUILDLAND_ACCEPT	Da
GUILDLAND_DEAL	Vinde Teritoriu Breaslã
GUILDLAND_DEAL_TEXT1	Breasla [%s] vrea sã vândã
GUILDLAND_DEAL_TEXT2	teritoriul pentru [%s] Yang.
GUILDLAND_DEAL_TEXT3	Accepþi oferta?
GUILDLAND_DELA_VOTE	Breasla [%s] vrea sã cumpere teritoriul breslei noastre.
GUILDLAND_DELA_VOTE_RESULT1	Teritoriul breslei vândut breslei [%s]
GUILDLAND_DELA_VOTE_RESULT2	Votul a luat sfârºit.
GUILDLAND_DELA_VOTE_RESULT3	Rezultat vot pentru vânzare teritoriu breaslã:
GUILDLAND_DELA_VOTE_RESULT4	Vot invalid.
GUILDLAND_DELA_VOTE_TEXT	Cãrei bresle doreºti sã vinzi teritoriul tãu?
GUILDLAND_DELA_VOTE_TEXT1	Doreºti sã vinzi teritoriul breslei?
GUILDLAND_DONTHAVE_LAND	Nu ai niciun teritoriu de breaslã.
GUILDLAND_NOT	Nu
GUILDLAND_VOTE_TEXT	Doreºti sã cedezi lui [%s] teritoriul?
GUILDLIST_APPLICANT	Doreºti sã continui?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Înãlþimea nu are 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Înãlþimea nu are 12 pixel.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Înãlþimea nu are 16 pixel.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Înãlþimea nu are 64 pixel.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Jocul nu suportã aceastã imagine.
GUILDMARK_UPLOADER_ERROR_PATH	Copiazã fiºierele în directorul metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nicio imagine selectatã.
GUILDVOTE_CHANGEMASTER	Schimbã Lider Breaslã
GUILDVOTE_CHANGEMASTER_RESULT1	Breasla a fost transferatã cu succes.
GUILDVOTE_CHANGEMASTER_RESULT2	Breasla [%s] þi-a fost transferatã þie.
GUILDVOTE_CHANGEMASTER_RESULT3	Transferã breasla cãtre membru [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Vot invalid.
GUILDVOTE_CHANGEMASTER_RESULT5	Noul Lider de Breaslã: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Vrei sã transferi breasla cãtre [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Eºti sigur cã doreºti sã predai conducerea breslei?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Transferã breasla cãtre membru [%s]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Eºti de acord cu transferul conducerii breslei?
GUILDVOTE_MEMBEROUT	Înlãturã Membru
GUILDVOTE_MEMBEROUT_AUTH	Nu ai permisiunile necesare.
GUILDVOTE_MEMBEROUT_NOMAL	Eºti sigur ca vrei sã înlãturi acest membru?
GUILDVOTE_MEMBEROUT_RESULT1	Înlãturã Membru: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Rezultat vot
GUILDVOTE_MEMBEROUT_RESULT3	Ai fost înlãturat din breasla [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Rezultat vot
GUILDVOTE_MEMBEROUT_RESULT5	Vot invalid.
GUILDVOTE_MEMBEROUT_TEXT1	Vrei sã porneºti votul impotriva lui [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Voteazã: Înlãturã membru din breaslã?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Voteazã: Ar trebui [%s] înlãturat din breaslã?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Împotrivã
GUILDVOTE_OK	Pentru
GUILDVOTE_RESULT_AGGRE_MEMBER	Pentru: %d
GUILDVOTE_RESULT_ALL_MEMBER	Participanþi: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Împotrivã: %d
GUILDVOTE_RESULT_TIME	%d zile %d ore %d minute %d secunde
GUILDVOTE_SELECT_ONE	Te rugam alege un caracter.
GUILDWAR_ALL	Bãtãlii (B)
GUILDWAR_CTF_TITLE	Captureazã Steag
GUILDWAR_DRAW	Remize (R)
GUILDWAR_GAINSCORE_FIFTY	50 puncte
GUILDWAR_GAINSCORE_HUNDRED	100 puncte
GUILDWAR_GAINSCORE_THIRTY	30 puncte
GUILDWAR_GAMETIME_SIXTY	60 minute
GUILDWAR_GAMETIME_TEN	10 minute
GUILDWAR_GAMETIME_THIRTY	30 minute
GUILDWAR_INPUT_OTHERGUILD	Te rugãm introdu breasla oponentã.
GUILDWAR_LADDER	Puncte Rang
GUILDWAR_LIMIT_MEMBER_FIVE	Minim 5 participanþi.
GUILDWAR_LOSE	Pierderi (P)
GUILDWAR_NORMAL_TITLE	Luptã de Câmp
GUILDWAR_OVER_MEMBERCOUNT	Numãrul limitã de membri a fost atins.
GUILDWAR_QUESTION_LINE_1	Breasla %s a declarat breslei tale rãzboi,
GUILDWAR_QUESTION_LINE_2	Accepþi? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d B, %d V, %d P, %d R
GUILDWAR_SELECT_MEMBER_COUNT	Alege numãrul de participanþi.
GUILDWAR_TYPE_DEFENSE	Scut Luptã
GUILDWAR_TYPE_TIGER	Anihilare
GUILDWAR_TYPE_TIME	Timp Atac
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Luptã în Arenã
GUILDWAR_WIN	Victorii (V)
GUILDWAR_WIN_FIVE	5 runde
GUILDWAR_WIN_ONE	1 rundã
GUILDWAR_WIN_THREE	3 runde
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Depozit Breaslã
GUILDWINDOW_BUTTON_BASEABANDON	Abandoneazã Teritoriu Breaslã
GUILDWINDOW_BUTTON_BASEDEAL	Vinde Teritoriu Breaslã
GUILDWINDOW_BUTTON_BASEDEALVOTE	Vot
GUILDWINDOW_BUTTON_BOARD	Mesajele Breslei
GUILDWINDOW_BUTTON_CHANGEMASTER	Schimbã Lider Breaslã
GUILDWINDOW_BUTTON_DECLARE	Declarã Rãzboi
GUILDWINDOW_BUTTON_GOLDIN	Depunere
GUILDWINDOW_BUTTON_GOLDOUT	Retragere
GUILDWINDOW_BUTTON_GRADE	Seteazã Permisiuni
GUILDWINDOW_BUTTON_GUILDLIST	Listã Breaslã
GUILDWINDOW_BUTTON_HEALGSP	Reface Putere Zeul Dragon
GUILDWINDOW_BUTTON_INFO	Informaþii Breaslã
GUILDWINDOW_BUTTON_LANDINFO	Informaþii Teritoriu
GUILDWINDOW_BUTTON_MARK	Încarcã Simbol Breaslã
GUILDWINDOW_BUTTON_MEMBER	Membru
GUILDWINDOW_BUTTON_OFFER	Doneazã EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Înlãturã Membru
GUILDWINDOW_BUTTON_SKILL	Abilitãþi Breaslã
GUILDWINDOW_BUTTON_SYMBOL	Încarcã Steag Breaslã
GUILDWINDOW_BUTTON_VOTECHECK	Verificã Voturi
GUILDWINDOW_BUY_GUILD_LAND	Cumpãrã Teren
GUILDWINDOW_CHANGE_OBJECT	Reconstrucþie
GUILDWINDOW_CHANGE_SMELTER	Schimbã Prelucrator de jad
GUILDWINDOW_CREATE_OBJECT	Construcþie
GUILDWINDOW_DEAL_GUILD_LAND	Vinde Teren
GUILDWINDOW_GRADE_BANK	Se poate utiliza banca breslei ºi depozitul
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Poate înlãtura membri din breaslã
GUILDWINDOW_GRADE_GRADENAME	Nume Rang
GUILDWINDOW_GRADE_GRADENUMBER	Numãr Rang
GUILDWINDOW_GRADE_GUILDWAR	Poate alege membri combatanþi
GUILDWINDOW_GRADE_INVITEAUTHORITY	Poate accepta jucãtori în breaslã
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Poate compune mesaje breaslã
GUILDWINDOW_GRADE_SKILLAUTHORITY	Poate folosi abilitãþile breslei
GUILDWINDOW_INFO_LEVEL10	A crescut nr. max. membri
GUILDWINDOW_INFO_LEVEL15	Red.: Puterea Zeului Dragon
GUILDWINDOW_INFO_LEVEL20	Bancã: Scutire de Taxe
GUILDWINDOW_INFO_LEVEL5	+5% EXP la donaþii breaslã
GUILDWINDOW_LIST_ALL	Toate Regatele
GUILDWINDOW_LIST_ALREADY_REGISTER	[Breaslã] Deja ai aplicat.
GUILDWINDOW_LIST_APPLICANT_LIST	Listã Aplicaþii
GUILDWINDOW_LIST_CHRACTER_JOB	Clasã
GUILDWINDOW_LIST_CHRACTER_LV	Nivel
GUILDWINDOW_LIST_CHRACTER_NAME	Nume Caracter
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Sub-clasã
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membru
GUILDWINDOW_LIST_GUILD_LIST	Listã Breaslã
GUILDWINDOW_LIST_GUILD_LV	Nivel
GUILDWINDOW_LIST_GUILD_NAME	Breaslã
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Breaslã] Te rugãm sã introduci un nume de breaslã.
GUILDWINDOW_LIST_LADDER	Puncte Rang
GUILDWINDOW_LIST_PROMOTE_GUILD	Aplicaþie
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Listã Breaslã
GUILDWINDOW_LIST_RANKING	Poziþie
GUILDWINDOW_LIST_RANKING_COUNT	Poziþie
GUILDWINDOW_LIST_REGISTER	Aplicaþii
GUILDWINDOW_LIST_REGISTER_GUILD	Aplicã la breaslã
GUILDWINDOW_LIST_SEARCH	Cautã
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Te rugãm alege o breaslã sã aplici.
GUILDWINDOW_PROMOTE_REFRESH	Reclamã
GUILDWINDOW_PROMOTE_REGISTER	Reclamã
GUILDWINDOW_SP_RECOVER	Puterea Zeului Dragon
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Îmbunãtãþire Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Îmbunãtãþire Bancã
GUILD_BANKINFO_CLOSE	Închis
GUILD_BANKINFO_NAME	Membru
GUILD_BANKINFO_TYPE	Obiect/Valoare
GUILD_BANKINFO_USETYPE	Acþiune
GUILD_BANK_CLOSE	Închis
GUILD_BANK_INFO	Log Depozit Breaslã
GUILD_BOARD_ID	Membru
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_FIX_CHANGE	Sigur doreºti sã schimbi poziþia?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Chiar vrei sã ºtergi acest obiect?
GUILD_BUILDING_FIX_NEED_BUILDING	Nicio clãdire prezentã.
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_NAME	Numele clãdirii
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plina.
GUILD_COMMENT	Scrie
GUILD_CREATE_ERROR_INSULT_NAME	Numele breslei nu este permis.
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	ªterge
GUILD_DEPOSIT	Pune deoparte
GUILD_DO_YOU_HEAL_GSP	Doresti sa folosesti %d Yang pentru a restaura %d unitati din Spiritul Dragonului?
GUILD_DO_YOU_JOIN	 te-a invitat. Vrei sã te alãturi alianþei?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Þarã goalã
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Clãdire secundarã
GUILD_GEM	Piatrã preþioasã
GUILD_HEADQUARTER	Clãdire principalã
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerinta: Minim nivelul 3
GUILD_MARK_UPLOAD_NOTICE	Asteapta un moment pentru a putea adãuga logo-uri breslei.
GUILD_MEMBER_JOB	Clasã
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Membru
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP Donatã
GUILD_NAME	Numele breslei
GUILD_NOT_ENOUGH_MATERIAL	Nu deþii destul material pentru aceastã clãdire.
GUILD_NOT_ENOUGH_MONEY	Nu deþii destul Yang pentru aceastã clãdire.
GUILD_NO_NOTICE_PERMISSION	Nu îþi este permis sã faci un anunþ.
GUILD_OBJECT	Obiecte
GUILD_OFFER_EXP	Investeºte Experienþã
GUILD_SHORT_EXP	Nu ai destule puncte de experienþã.
GUILD_TILE_BASEINFO	Informaþii Teritoriu
GUILD_TILE_BOARD	Mesajele Breslei
GUILD_TILE_GRADE	Drepturi de Administrare
GUILD_TILE_INFO	Informaþii breaslã
GUILD_TILE_MEMBER	Membru
GUILD_TILE_SKILL	Calificarea breslei
GUILD_USE_MASTER_ONLY	Doar liderul breslei are acest drept.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Zona de Lupta Breasla
GUILD_WAR2	Zona de Lupta Breasla
GUILD_WAR3	Zona de Lupta Breasla
GUILD_WAR4	Zona de Lupta Breasla
GUILD_WAR_GAINSCORE_FIFTY	50 puncte
GUILD_WAR_GAINSCORE_HUNDRED	100 puncte
GUILD_WAR_GAINSCORE_THIRTY	30 puncte
GUILD_WAR_GAMETIME_SIXTY	60 minute
GUILD_WAR_GAMETIME_TEN	10 minute
GUILD_WAR_GAMETIME_THIRTY	30 minute
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensã: Câºtigãtorul primeºte licori
GUILD_WAR_SELECT_WAR	Selecteazã tipul
GUILD_WAR_TYPE_DEFENSE	Scut Luptã
GUILD_WAR_TYPE_DIE	Luptã în Arenã
GUILD_WAR_TYPE_FLAG	Captureazã Steag
GUILD_WAR_TYPE_NORMAL	Luptã de Câmp
GUILD_WAR_TYPE_TIGER	Anihilare
GUILD_WAR_TYPE_TIME	Timp Atac
GUILD_WAR_USE_BATTLE_MAP	Locaþie: Câmpul de Luptã al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locaþie: Harta Normalã
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat câºtigã rãzboiul.
GUILD_WAR_WIN_FIVE	5 runde
GUILD_WAR_WIN_ONE	1 rundã
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captureazã steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ºi adu-l în baza ta.
GUILD_WAR_WIN_THREE	3 runde
GUILD_WAR_WIN_WIPE_OUT_GUILD	Înfrânge toþi inamicii pentru a câºtiga.
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu aparþii nici unei bresle.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Înfometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de luptã
HORSE_LEVEL3	Cal militar
HOUR	Ore
HOW_MANY_ITEM_DO_YOU_DESTROY1	Doresti sa distrugi %s ?
HOW_MANY_ITEM_DO_YOU_DESTROY2	Doresti sa distrugi %dx %s ?
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei sã arunci %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei sã arunci %s %d?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY1	Doresti sa arunci sau sa distrugi %s ?
HOW_MANY_ITEM_DO_YOU_DROP_OR_DESTROY2	Doresti sa arunci sau sa distrugi %dx %s ?
INPUT_MATRIX_CARD_NUMBER	Introdu numãrul plãcii matrix
INPUT_MATRIX_CARD_TITLE	Placa matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de ºtergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	ªterge caracterul
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamentul nu poate fi adãugat.
INVENTORY_REALLY_USE_ITEM	Doresti sa folosesti asta pe acest obiect?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Niciuna
JOB_ASSASSIN1	Ninja Sabie
JOB_ASSASSIN2	Ninja Arc
JOB_SHAMAN	Saman
JOB_SHAMAN0	Niciuna
JOB_SHAMAN1	ªaman Dragon
JOB_SHAMAN2	ªaman Vindecare
JOB_SURA	Sura
JOB_SURA0	Niciuna
JOB_SURA1	Sura Arme
JOB_SURA2	Sura Magie
