ACCE_ABSORB	Bonus de Absorbtie
GUILD_GRADE_CHANGE_GRADE_NAME	Nume rang nou
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Înlãturã din breaslã
GUILD_GRADE_PERMISSION_JOIN	Poate accepta jucãtori in breaslã
GUILD_GRADE_PERMISSION_NOTICE	Poate compune mesaje breaslã
GUILD_GRADE_PERMISSION_SKILL	Abilitãti breaslã
GUILD_GRADE_RANK	Pozitie
GUILD_GRADE_WRITE	Scrie
GUILD_INFO	Informatii breaslã
GUILD_INFO_CUR_EXP	Experientã
GUILD_INFO_DECALRE_WAR	Declarã rãzboi
GUILD_INFO_ENEMY_GUILD	Breaslã inamicã
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_INFO_LEVEL	Nivel breaslã
GUILD_INFO_MARK	Simbol breaslã
GUILD_INFO_MASTER	Conducãtor
GUILD_INFO_MASTER_VALUE	Conducãtor
GUILD_INFO_MEMBER_AVG_LEVEL	Nivel mediu
GUILD_INFO_MEMBER_NUM	Nr de membrii
GUILD_INFO_NAME	Nume breaslã
GUILD_INFO_NAME_VALUE	Acesta este un nume de breaslã
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Experientã necesarã
GUILD_INFO_UPLOAD_MARK	Upload simbol
GUILD_INFO_UPLOAD_SYMBOL	Upload steag
GUILD_MARK	Simbol breaslã
GUILD_MEMBER_JOB	Clasã
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Nume
GUILD_MEMBER_RANK	Grad
GUILD_MEMBER_SPECIFIC_GRAVITY	Investit
GUILD_METIN_STONE	Piatra Spiritului
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Alianta
GUILD_RESOURCE_INFO	Informatii resurse
GUILD_SKILLPAGE_LADDER	Puncte Rang
GUILD_SKILLPAGE_RANK	Rang
GUILD_SKILL_ACTIVE	Activ
GUILD_SKIlL_HEAL_GSP	Încarcã
GUILD_SKILL_PASSIVE	Pasiv
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Competenta breslei
GUILD_SYMBOL	Steag breaslã
GUILD_WAR_ACCEPT	Acceptã declaratia de rãzboi a breslei
GUILD_WAR_ALLSCORE	Toate Rãzboaiele
GUILD_WAR_BATTLE_TYPE	Stil de luptã
GUILD_WAR_CTF	Steag
GUILD_WAR_DECLARE	Declarã rãzboi breaslã
GUILD_WAR_ENEMY	Inamic
GUILD_WAR_GAINSCORE	Puncte
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Timp Luptã
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Membri
GUILD_WAR_JOINMEMBER_COUNT	Membri
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Camp
GUILD_WAR_REPORT	Raport Rãzboi
GUILD_WAR_REPORTLIST	Vedere (Bãtãlii: B, Victorii: V, Pierderi: P, Remizã: R)
GUILD_WAR_SCORE	Raport Rãzboi
GUILD_WAR_SKILL	Abilitãti Breaslã
GUILD_WAR_TYPE_DEFENSE	Scut Luptã
GUILD_WAR_TYPE_DIE	Luptã în Arenã
GUILD_WAR_TYPE_FLAG	Captureazã Steag
GUILD_WAR_TYPE_NORMAL	Luptã de Câmp
GUILD_WAR_TYPE_TIGER	Anihilare
GUILD_WAR_TYPE_TIME	Timp Atac
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Runde
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Apã
GUILD_WATER_STONE	Piatrã acvaticã
GUILD_WITHDRAW	Ia
HELP_ATTACK_KEY	Atac: buton stînga mouse sau space
HELP_CHANGE_PK_MODE	Schimbare mod de atac: schimbã setãrile butonului stînga de la mouse.
HELP_CHARACTER_BUTTON1	(Fereastrã caracter, Fereastrã inventar,
HELP_CHARACTER_BUTTON2	Lista prieteni si Optiuni)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Camerã Vedere Standard: butonul din mijloc al mouse-ului
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Camerã Vedere Alternativã: botonul drept sau stâng al mouse-ului
HELP_EXP	Experientã
HELP_FURY	Magazin Obiecte in joc
HELP_GUILD_WINDOW	Pentru a deschide fereastra breslei: ALT + G
HELP_HELP	Ajutor: H
HELP_HP	Puncte de Viatã (PV)
HELP_MESSENGER_WINDOW	Deschide lista de prieteni: ALT + M
HELP_MOUSE_LEFT	Functie buton maus stâng
HELP_MOUSE_RIGHT	Functie buton maus drept
HELP_MOVE_KEY	Panou control: W, A, S, D sau sãgeþile de pe tastaturã
HELP_OPEN_CHARACTER	Pentru a deschide fereastra caracterului: C
HELP_OPEN_CHAT	Pentru a deschide fereastra de chat: Enter
HELP_OPEN_INVENTORY	Pentru a deschide inventarul: I
HELP_OPEN_LOG	Pentru a deschide logul de chat: L
HELP_OPEN_MINIMAP	Pentru a deschide mini-harta: SHIFT + M
HELP_OPEN_QUEST	Pentru a deschide fereastra cu sarcini: N
HELP_OPEN_SKILL	Pentru a deschide fereastra pentru aptitudini: V
HELP_OPEN_WHISPER	Pentru a deschide fereastra pentru soaptã: SHIFT + ENTER
HELP_OPEN_ZONEMAP	Pentru a deschide harta mare: M
HELP_PICK_ITEM	Adunã Obiectele: `sau Z sau butonul stâng al mouse-ului
HELP_QUICKSLOT	Câmp acces rapid
HELP_SCREEN_CAPTURE	Pentru a salva screenshoturile: Print (se va salva in "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Afiseazã nume: ALT
HELP_SP	Puncte de mana (PM)
HELP_SYSTEM_BUTTON	Taste Sistem
INVENTORY_PAGE_BUTTON_TOOLTIP	%d. Inventar
INVENTORY_TITLE	Inventar
ITEM_MALL	Magazin de Obiecte
LOAD_ERROR	Fisierul cu date este stricat. Instaleazã din nou clientul. Apasã acum tasta ESC.
LOGIN_CONNECT	Conecteazã
LOGIN_CONNECTING	Conectarea la server ruleazã.
LOGIN_DEFAULT_SERVERADDR	Nume server, Canal 1
LOGIN_EXIT	Închide
LOGIN_REGION_TITLE	Alege regiunea pentru facturã
LOGIN_SELECT_BUTTON	Alege
LOGIN_SELECT_EXIT	Închide
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Alege server
MALL_PASSWORD_TITLE	Parola
MALL_TITLE	Depozit Magazin Obiecte
MARKET_TITLE	Magazin
MARKLIST_REFRESH	Actualizeazã
MARKLIST_TITLE	Înregistreazã simbolul breslei
MESSAGE	Acesta este un mesaj
MESSENGER_ADD_FRIEND	Adaugã prieten
MESSENGER_DELETE_FRIEND	Sterge prieten
MESSENGER_MOBILE	Trimite SMS
MESSENGER_OPEN_GUILD	Deschide fereastra breslei
MESSENGER_TITLE	Prieteni
MESSENGER_USE_GUILD_MOVE_SKILL	Foloseste Competenta de miscare a breslei
MESSENGER_WHISPER	Soaptã
MINIMIZE	Minimeazã
MOUSEBUTTON_ATTACK	Atacã
MOUSEBUTTON_AUTO_ATTACK	Atacã automat
MOUSEBUTTON_CAMERA	Camerã
MOUSEBUTTON_SKILL	Abilitãti
MUSICLIST_TITLE	Alege muzica
NO	Nu
OK	OK
OPTION_ALWAYS_SHOW_NAME	Nume
OPTION_ALWAYS_SHOW_NAME_OFF	limitat
OPTION_ALWAYS_SHOW_NAME_ON	Totdeauna
OPTION_BLOCK	Blocheazã
OPTION_BLOCK_EXCHANGE	Negociazã
OPTION_BLOCK_FRIEND	Prieteni
OPTION_BLOCK_GUILD	Alianta
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Cerere
OPTION_BLOCK_WHISPER	Soaptã
OPTION_CAMERA_DISTANCE	Camerã
OPTION_CAMERA_DISTANCE_LONG	Departe
OPTION_CAMERA_DISTANCE_SHORT	Aproape
OPTION_DELETE_MOBILE_BUTTON	Sterge numãr mobil
OPTION_EFFECT	Afisare lovituri
OPTION_FOG	Ceatã
OPTION_FOG_DENSE	Mult
OPTION_FOG_LIGHT	Putin
OPTION_FOG_MIDDLE	Mediu
OPTION_INPUT_MOBILE_BUTTON	Introdu numãr mobil
OPTION_MOBILE	Mobil
OPTION_MUSIC	Muzicã
OPTION_MUSIC_CHANGE	Schimbã
OPTION_MUSIC_DEFAULT_THEMA	Muzicã standard Metin2
OPTION_NAME_COLOR	Nume culoare
OPTION_NAME_COLOR_EMPIRE	Culoare regat
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_PVPMODE	Mod PvP
OPTION_PVPMODE_FREE	Liber
OPTION_PVPMODE_FREE_TOOLTIP	Poti ataca toti jucãtorii.
OPTION_PVPMODE_GUILD	Alianta
OPTION_PVPMODE_GUILD_TOOLTIP	Poti ataca toti jucãtorii cu exceptia membrilor breslei.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Nu poti ataca jucãtori ai regatului tãu.
OPTION_PVPMODE_REVENGE	Inamic
OPTION_PVPMODE_REVENGE_TOOLTIP	Poti ataca doar jucãtori de alt etos.
OPTION_SOUND	Efecte
OPTION_TARGET_BOARD	Meniu tintã
OPTION_TARGET_BOARD_NO_VIEW	Închide
OPTION_TARGET_BOARD_VIEW	Afiseazã
OPTION_TILING	Memorie graficã
OPTION_TILING_APPLY	Aplicã
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Optiuni
OPTION_VIEW_CHAT	Linie de chat
OPTION_VIEW_CHAT_OFF	Ascunde
OPTION_VIEW_CHAT_ON	Arata
PARTY_MEMBER_INFO_NAME	Nume membru grupã
PASSWORD_DESC_1	Introdu parola
PASSWORD_DESC_2	pentru a deschide depozitul.
PASSWORD_DESC_3	Ai schimbat parola deja?
PASSWORD_DESC_4	Daca nu, parola ta va fi '000000'.
PASSWORD_DESC_5	Schimba parola la depozit.
PASSWORD_TITLE	Salvare parolã
PICK_MONEY_TITLE	Împarte
PRIVATE_SHOP_CLOSE_BUTTON	Inchide Magazin
PRIVATE_SHOP_NAME	Numele Magazinului Tau
PRIVATE_SHOP_TITLE	deschide magazin
OFFLINE_SHOP_CREATE_TITLE	Creare Shop-Offline
REFINE_COST	Costuri de îmbunãtãtire: 0 Yang
REFINE_INFO	Sansa de upgrade reusit: 100%
REFINE_TTILE	Îmbunãtãtiri
REPORT_VIOLENT_WHISPER	Furisa / Furisat / Ascunde
RESTART_HERE	Restarteazã aici
RESTART_TOWN	Restarteazã în oras
SAFE_CHANGE_PASSWORD	Schimbã parola
SAFE_TITLE	Depozit
SELECT_ATT_GRADE	STR
SELECT_CREATE	Creazã
SELECT_DELETE	Sterge
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Numele regatului
SELECT_EXIT	Iesire
SELECT_HP	VIT
SELECT_LEVEL	Nivel
SELECT_METIN_STONE_TITLE	Selecteazã Piatra Spiritului
SELECT_NAME	Nume
SELECT_NO_GUILD	Nicio breasla
SELECT_PLAYTIME	Timp jucat : 
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Alege titlu
SHOP_BUY	Cumpãrã
SHOP_SELL	Vinde
SHOP_TITLE	Magazin
SKILL_SUPPORT_TITLE	Abilitãti Standard
SYSTEMOPTION_TITLE	Optiuni sistem
SYSTEM_CHANGE	Schimbã caracterul
SYSTEM_EXIT	Iesire joc
SYSTEM_HELP	Ajutor
SYSTEM_LOGOUT	Logout
SYSTEM_MALL	Magazin Obiecte
SYSTEM_OPTION	Optiuni sistem
TASKBAR_MONEY	Lista-Bani
TASKBAR_CHARACTER	Caracter[C/V/B/N]
TASKBAR_CHAT	Fereastrã chat [ENTER ]
TASKBAR_DISABLE	Dezactivat
TASKBAR_EXPAND	Extinde Fereastra
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Prieteni [ALT + M]
TASKBAR_NEXT_QUICKSLOT	Urmãtorul câmp de acces rapid [Shift+Numãr, Alt]
TASKBAR_PREV_QUICKSLOT	Ultimul câmp de acces rapid [Shift+Numãr]
TASKBAR_SYSTEM	Optiuni[ESC]
WHISPER_BAN	Blocheazã
WHISPER_NAME	Sopteste
WHISPER_REPORT	Report
WHISPER_SEND	Trimite
YES	Da
ZONE_MAP	Hartã mare
INVENTORY_SORT	Sortare
GUILD_SAFE_TITLE	Depozit Breasla
GUILD_SAFEBOX_MONEY_TITLE	Depozit Breasla-Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	Cat Yang doresti sa depui sau sa retragi?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Depunere
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Retragere
GUILD_SAFE_LOG_TITLE	Depozit Breasla-Log-uri
GUILD_SAFE_LOG_BUTTON	Log
ACCOUNT_PASSWORD_Q	Ai uitat?
BDAY_EVENT_DESC_D1	Omoara majoritatea bossilor
ACCOUNT_USERNAME_Q	Cont uitat?
ACCOUNT_REGISTER	Inregistreaza-te
ACCOUNT_REGISTER_Q	Inca nu ai un Cont?
ACCOUNT_CHANNEL	Canal %d
ACCOUNT_USERNAME_LABEL	Nume cont/ID
ACCOUNT_PASSWORD_LABEL	Parola
ACCOUNT_LOGIN	Logheaza-te
ACCOUNT_YOUR_ACCLIST	Conturile tale
SELECT_LANGUAGE_TITLE	Limba
LOGIN_EMPTY	[Salveaza cont-ul]
COSTUME_WINDOW_TITLE	Costume
COSTUME_TITLE	Deschide Costum
SYSTEM_CHANNEL	Schimba canal
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	Magazinul meu Offline
PET_TITLE	Animal de companie-vizualizare
PET_STAT1_NAME	Vitalitate
PET_STAT2_NAME	Tarie
PET_STAT3_NAME	Inteligenta
PET_STAT4_NAME	Dexteritate
MOUNT_TITLE	Mount-vizualizare
MOUNT_STAT1_NAME	Tare impotriva monstrilor
MOUNT_STAT2_NAME	Aparare monstri
MOUNT_STAT3_NAME	Tare impotriva Pietrelor Metin
MOUNT_STAT4_NAME	Tare impotriva Bossi
CHARACTER_VALUE	Caracteristici
CHARACTER_STATISTIC	Bonus
CHAR_STAT_MVSPD	Viteza de miscare
CHAR_STAT_ATSPD	Viteza de atac:
CHAR_STAT_SPSPD	Viteza magica:
CHAR_STAT_MAGIC_ATK	Atac magic:
CHAR_STAT_NORMAL_ATK	Atac normal:
CHAR_STAT_MAGIC_DEF	Aparare magica:
CHAR_STAT_NORMAL_DEF	Aparare normala:
CHAR_STAT_DODGE	Agilitate:
CHAR_MAIN_HP	(VIT)Vitalitate:
CHAR_MAIN_INT	(INT)Inteligenta:
CHAR_MAIN_STR	(STR)Putere:
CHAR_MAIN_DEX	(DEX)Agilitate
CHAR_MAIN_POINTS	Puncte disponibile:
CHARACTER_BONI_ATTACK	Atac
CHARACTER_BONI_DEFENSE	Aparare
CHARACTER_BONI_PVM	Monstri (PvM)
CHARACTER_BONI_PVP	Jucator (PvP)
CHAR_HP	(PV) Viata
CHAR_MP	(MP) Mana
CHAR_EXP_OF	din
CHARACTER_ANTI_EXP_ACTIVE	Experienta primita: Dezactivat
CHARACTER_ANTI_EXP_INACTIVE	Experienta primita: Activat
QUEST_CATEGORIE_1	General
QUEST_CATEGORIE_2	Permis de Lupta
TASKBAR_OPEN_CHAT	Deschide chat
DRAGONSOUL_ACTIVATE	Activeaza
DRAGONSOUL_REFINE_OPEN	Imbunatatire
DRAGONSOUL_PAGE_BUTTON_1	Brut
DRAGONSOUL_PAGE_BUTTON_2	Taiat
DRAGONSOUL_PAGE_BUTTON_3	Rar
DRAGONSOUL_PAGE_BUTTON_4	Antic
DRAGONSOUL_PAGE_BUTTON_5	Legendar
DRAGONSOUL_REFINE_WINDOW_TITLE	Fereastra Rafinament
DRAGONSOUL_TAP_TITLE_1	Diamant Dragon
DRAGONSOUL_TAP_TITLE_2	Rubin Dragon
DRAGONSOUL_TAP_TITLE_3	Jad Dragon
DRAGONSOUL_TAP_TITLE_4	Safir Dragon
DRAGONSOUL_TAP_TITLE_5	Granat Dragon
DRAGONSOUL_TAP_TITLE_6	Onyx Dragon
DRAGONSOUL_TITLE	Alchimie Piatra Dragon
GRADE_SELECT	Clasa
STEP_SELECT	Grad de claritate
STRENGTH_SELECT	Nivel
DO_REFINE	Rafineaza
GAYA_SHOP_TITLE	Shop-Gaya
AUCTION_INFORMER_WINDOW_TITLE	Obiect vandut
AUCTION_WINDOW_TITLE	Cauta shop
AUCTION_PAGE_BUTTON_BUY	Cumpara
AUCTION_PAGE_BUTTON_SELL	Vinde
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Nume obiect
AUCTION_SEARCH_BUTTON_TEXT	Cauta
AUCTION_SEARCH_RESET_BUTTON_TEXT	Resetare
AUCTION_LV_TEXT_1	Limita-Level
AUCTION_LV_TEXT_2	pana
AUCTION_PRICE_TEXT_1	Limita-Cost
AUCTION_PRICE_TEXT_2	pana
AUCTION_PRICE_OVERLAY_2	-(nelimitat)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Arata doar iteme Licitatii
AUCTION_ONLY_SELF_CHECKBOX	Arata doar obiectele mele
AUCTION_ORDER_TITLE	Optiuni sortare
AUCTION_ORDER_BUTTON_NAME	Nume obiect
AUCTION_ORDER_BUTTON_PRICE	Pret
AUCTION_ORDER_BUTTON_DATE	Data intrarii
AUCTION_SELL_NO_ITEM_TEXT	Trage un item in aceasta fereastra pentru a-l pune la vanzare.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	Vanzarea in Casa de licitatii este momentan dezactivata.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Introdu pretul
AUCTION_SELL_ITEM_BUTTON	Seteaza
AUCTION_SELL_PRICE_TAX_INFO	Obiectele vandute in Casa de Licitatii vor fi taxate cu un impozit de 9% . Pretul afisat este pretul pe care il va plati cumparatorul, pretul din spate "Tu primesti" este pretul pe care il vei primi tu.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Zece pagini inapoi
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Zece pagini inapoi
AUCTION_RACE_TEXT	Clasa
AUCTION_RACE_TEXT_1	Razboinic
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Saman
AUCTION_RACE_TEXT_5	Lykan
MINI_GAME_RUMI_DISCARD_TEXT	Modul Sigur
MINI_GAME_RUMI_EXIT	Sfârsit
MINI_GAME_RUMI_LBUTTON_DESC	Stânga mouse sã adaugi card
MINI_GAME_RUMI_RBUTTON_DESC	Dreapta mouse sã renunti la card
MINI_GAME_RUMI_SCORE	Scor
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin2 Jocul Okey cu Carduri
OPTION_ITEM_HIGHLIGHT	Marcheaza Obiect
OPTION_ITEM_HIGHLIGHT_ON	Marcheaza
OPTION_ITEM_HIGHLIGHT_OFF	off
OPTION_GOLD_PICKUP	Yang-instiintare
OPTION_GOLD_PICKUP_ON	Activ
OPTION_GOLD_PICKUP_OFF	Inactiv
WEB_LOADING_TITLE	Pagina se incarca...
WEB_LOADING_DESC	Va rugam asteptati un moment
ANTIEXP_TOOLTIP	Anti-EXP
OPTION_DISABLE_PICKUP	Nu ridica
OPTION_DISABLE_PICKUP_ARMOR	Armuri
OPTION_DISABLE_PICKUP_WEAPON	Arme
OPTION_DISABLE_PICKUP_ETC	Bijuterii
GUILD_DRAGONLAIR_RANKING	Ranguri
GUILD_DRAGONLAIR_RANKING_COUNT	Rang
GUILD_DRAGONLAIR_RANKING_MEMBER	Membru
GUILD_DRAGONLAIR_RANKING_NAME	Breaslã
GUILD_DRAGONLAIR_RANKING_TIME	Timp
FAKEBUFF_SKILL_TITLE	Skill-uri Buffi
ATTRTREE_TITLE_1	Razboinic
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Saman
ATTRTREE_TITLE_5	Special
ATTRTREE_TITLE_6	Monstri
ATTRTREE_REFINE_TITLE	Imbunatatire
ATTRTREE_REFINE_UPGRADE	Imbunatatire
ATTRTREE_REFINE_CANCEL	Anulare
SELECT_METIN_DETACH_TITLE	Elimina Piatra
SELECT_METIN_DETACH_INFO	Alege piatra pentru eliminare
SELECT_METIN_DETACH_BUTTON	Elimina
SELECT_ATTR_DETACH_TITLE	Elimina Bonus
SELECT_ATTR_DETACH_INFO	Alege Bonusul pentru eliminare
SELECT_ATTR_DETACH_BUTTON	Elimina
QUEST_CATEGORIE_3	Permis de Lupta-Event
QUEST_CATEGORIE_4	Permis de Lupta Nelimitat
OFFLINE_SHOP_RENEW_BUTTON	Reinoire
DO_REFINE_ALL	Improvizare toate
OPTION_QUEST_LETTER	Scrisoare-Misiuni
OPTION_QUEST_LETTER_SHOW	Inserare
OPTION_QUEST_LETTER_HIDE	Ascunde
OPTION_PICKUP_ALL	Ridica
OPTION_PICKUP_FAST	Tot
OPTION_PICKUP_SLOW	Singur
SHOP_SEARCH_SORT_DESC	Sortare
SHOP_SEARCH_SORT_ALPHA_AZ	Alfabetic A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Alfabetic Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Pret unic crescator
SHOP_SEARCH_SORT_PRICE_DESC	Pret unic decrescator
SHOP_SEARCH_CAT_DESC	Categorie
SHOP_SEARCH_CAT_ALL	Toate
SHOP_SEARCH_CAT_WEAPON	Arme
SHOP_SEARCH_CAT_ARMOR	Armuri
SHOP_SEARCH_CAT_JEWELLERY	Bijuterii
SHOP_SEARCH_CAT_TALISMAN	Talismane
SHOP_SEARCH_CAT_DRAGONSOUL	Alchimie Dragon
SHOP_SEARCH_CAT_COSTUME	Costum
SHOP_SEARCH_CAT_COSTUME_BONI	Bonus Costum
SHOP_SEARCH_CAT_SKILLS	Abilitati
SHOP_SEARCH_CAT_POTIONS	Licori
SHOP_SEARCH_CAT_USABLE	Consumabile
SHOP_SEARCH_CAT_FISHS	Pesti
SHOP_SEARCH_CAT_MOUNTS	Animale de Calarie
SHOP_SEARCH_CAT_PETS	Companion
SHOP_SEARCH_CAT_OWNED	Itemele mele
LOGIN_SHRINK	Reducere
LOGIN_EXTEND	Extindere
OPTION_USENIGHT	Mod Noapte
OPTION_CAMERA_DISTANCE_HUGE	Extra Departe
SPLIT_ITEM	Despartire completa
PLAYER_SELECT_HAIR_TITLE	Alege-Frizura
EVENT_JOIN_TITLE	Participa la Event
EVENT_JOIN_ACCEPT_BUTTON	Teleport
EVENT_JOIN_DECLINE_BUTTON	Respinge
OPTION_SHOP_TITLE	Nume Shop
REFINE_FAST_CHECK	Nu inchide fereastra
GUILD_MEMBER_MELEY	Incepe hoarda Meley
COMB_TITLE	Bonus Transfer Costum
COMB_APPEARANCE	Costum 1
