ACCE_ABSORB	Aufnahme der Boni
WHISPER_NAME	Zuflüstern
WHISPER_REPORT	report
WHISPER_SEND	Senden
YES	Ja
ZONE_MAP	Übersichtskarte
INVENTORY_SORT	Sortieren
GUILD_SAFE_TITLE	Gildenlager
GUILD_SAFEBOX_MONEY_TITLE	Gildenlager - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	Wie viel Yang möchtest du einzahlen oder herausnehmen?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Einzahlen
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Herausnehmen
GUILD_SAFE_LOG_TITLE	Gildenlager - Logs
GUILD_SAFE_LOG_BUTTON	Logs
ACCOUNT_PASSWORD_Q	Vergessen?
ACCOUNT_REGISTER	Registrieren?
ACCOUNT_REGISTER_Q	Du hast kein Account?
ACCOUNT_CHANNEL	Channel %d
ACCOUNT_USERNAME_LABEL	Accountname / ID
ACCOUNT_PASSWORD_LABEL	Passwort
ACCOUNT_LOGIN	Anmelden
ACCOUNT_YOUR_ACCLIST	Deine Accounts
SELECT_LANGUAGE_TITLE	Sprache
LOGIN_EMPTY	[Acc speichern]
COSTUME_WINDOW_TITLE	Kostüme
COSTUME_TITLE	Kostüme öffnen
SYSTEM_CHANNEL	Channel wechseln
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	Mein Offline-Laden
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Vitalität
PET_STAT2_NAME	Stärke
PET_STAT3_NAME	Intelligenz
PET_STAT4_NAME	Bewegl.
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Stark gegen Monster
MOUNT_STAT2_NAME	Abwehr gegen Monster
MOUNT_STAT3_NAME	Stark gegen Metinsteine
MOUNT_STAT4_NAME	Stark gegen Bosse
CHARACTER_VALUE	Eigenschaften
CHARACTER_STATISTIC	Boni
CHAR_STAT_MVSPD	Bewegungsg.:
CHAR_STAT_ATSPD	Angriffsgeschwindigkeit:
CHAR_STAT_SPSPD	Zaubergeschwindigkeit:
CHAR_STAT_MAGIC_ATK	Magischer Angriff:
CHAR_STAT_NORMAL_ATK	Normaler Angriff:
CHAR_STAT_MAGIC_DEF	Magische Verteidigung:
CHAR_STAT_NORMAL_DEF	Normale Verteidigung:
CHAR_STAT_DODGE	Ausweichen:
CHAR_MAIN_HP	(VIT)Vitalitat:
CHAR_MAIN_INT	(INT)Inteligenz:
CHAR_MAIN_STR	(STR)Starke:
CHAR_MAIN_DEX	(DEX)Ausweichen:
CHAR_MAIN_POINTS	Verfugbare Punkte: 
CHARACTER_BONI_ATTACK	Angriff
CHARACTER_BONI_DEFENSE	Abwehr
CHARACTER_BONI_PVM	Monster (PvM)
CHARACTER_BONI_PVP	Spieler (PvP)
CHAR_HP	(TP) Leben
CHAR_MP	(MP) Mana
CHAR_EXP_OF	von
CHARACTER_ANTI_EXP_ACTIVE	Erfahrung erhalten: Deaktiviert
CHARACTER_ANTI_EXP_INACTIVE	Erfahrung erhalten: Aktiviert
QUEST_CATEGORIE_1	Allgemein
QUEST_CATEGORIE_2	Battlepass
TASKBAR_OPEN_CHAT	Chat öffnen
DRAGONSOUL_ACTIVATE	Aktivieren
DRAGONSOUL_REFINE_OPEN	Verbessern
DRAGONSOUL_SHOP_OPEN	Shop
DRAGONSOUL_PAGE_BUTTON_1	Roh
DRAGONSOUL_PAGE_BUTTON_2	Schliff
DRAGONSOUL_PAGE_BUTTON_3	Rar
DRAGONSOUL_PAGE_BUTTON_4	Antik
DRAGONSOUL_PAGE_BUTTON_5	Legendär
DRAGONSOUL_REFINE_WINDOW_TITLE	Veredelungsfenster
DRAGONSOUL_TAP_TITLE_1	Drachendiamant
DRAGONSOUL_TAP_TITLE_2	Drachenrubin
DRAGONSOUL_TAP_TITLE_3	Drachenjade
DRAGONSOUL_TAP_TITLE_4	Drachensaphir
DRAGONSOUL_TAP_TITLE_5	Drachengranat
DRAGONSOUL_TAP_TITLE_6	Drachenonyx
DRAGONSOUL_TITLE	Drachensteinalchemie
GRADE_SELECT	Klasse
STEP_SELECT	Reinheitsgrad
STRENGTH_SELECT	Stufe
DO_REFINE	Veredeln
GAYA_SHOP_TITLE	Gaya-Laden
AUCTION_INFORMER_WINDOW_TITLE	Gegenstand verkauft
AUCTION_WINDOW_TITLE	Shop Suche
AUCTION_PAGE_BUTTON_BUY	Kaufen
AUCTION_PAGE_BUTTON_SELL	Verkaufen
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Gegenstandsname...
AUCTION_SEARCH_BUTTON_TEXT	Suchen
AUCTION_SEARCH_RESET_BUTTON_TEXT	Zurücksetzen
AUCTION_LV_TEXT_1	Level-Begrenzung
AUCTION_LV_TEXT_2	bis
AUCTION_PRICE_TEXT_1	Kosten-Begrenzung
AUCTION_PRICE_TEXT_2	bis
AUCTION_PRICE_OVERLAY_2	- (unbegrenzt)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Nur Auktionshaus-Items zeigen
AUCTION_ONLY_SELF_CHECKBOX	Nur eigene Items zeigen
AUCTION_ORDER_TITLE	Sortierungsoptionen
AUCTION_ORDER_BUTTON_NAME	Gegenstandsname
AUCTION_ORDER_BUTTON_PRICE	Preis
AUCTION_ORDER_BUTTON_DATE	Einstellungsdatum
AUCTION_SELL_NO_ITEM_TEXT	Ziehe einen Gegenstand auf dieses Fenster, um ihn zum Verkaufen auszuwählen.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	Die Verkaufen-Option ist für das Auktionshaus zur Zeit deaktiviert.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Gebe einen Preis ein...
AUCTION_SELL_ITEM_BUTTON	Einstellen
AUCTION_SELL_PRICE_TAX_INFO	Auf Gegenstände, die du ins Auktionshaus einstellst, werden 9% Steuern erhoben. Der angezeigte Preis ist der Wert, den der Spieler bezahlen muss. Der Wert hinter "Du erhälst" zeigt an, wie viel Yang du beim Verkauf erhälst.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	Zehn Seiten zurück
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	Zehn Seiten weiter
AUCTION_RACE_TEXT	Klasse
AUCTION_RACE_TEXT_1	Krieger
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Schamane
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Sicherer Modus
MINI_GAME_RUMI_EXIT	Beenden
MINI_GAME_RUMI_LBUTTON_DESC	Karte mit Linksklick hinzufügen
MINI_GAME_RUMI_RBUTTON_DESC	Karte mit Rechtsklick entfernen
MINI_GAME_RUMI_SCORE	Punkte
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin2 Okey-Kartenspiel
OPTION_ITEM_HIGHLIGHT	Neue Items
OPTION_ITEM_HIGHLIGHT_ON	Markieren
OPTION_ITEM_HIGHLIGHT_OFF	Nichts
OPTION_GOLD_PICKUP	Yang-Nachricht
OPTION_GOLD_PICKUP_ON	Aktiv
OPTION_GOLD_PICKUP_OFF	Inaktiv
WEB_LOADING_TITLE	Browser wird geladen...
WEB_LOADING_DESC	Bitte habe einen kurzen Moment Geduld
ANTIEXP_TOOLTIP	Anti-EXP
OPTION_DISABLE_PICKUP	Nicht Aufheben
OPTION_DISABLE_PICKUP_ARMOR	Rüsstungen
OPTION_DISABLE_PICKUP_WEAPON	Waffen
OPTION_DISABLE_PICKUP_ETC	Schmuck
GUILD_DRAGONLAIR_RANKING	Bestenliste
GUILD_DRAGONLAIR_RANKING_COUNT	Platz
GUILD_DRAGONLAIR_RANKING_MEMBER	Mitglieder
GUILD_DRAGONLAIR_RANKING_NAME	Gilde
GUILD_DRAGONLAIR_RANKING_TIME	Zeit
FAKEBUFF_SKILL_TITLE	Buffi-Skills
ATTRTREE_TITLE_1	Krieger
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Schamane
ATTRTREE_TITLE_5	Spezial
ATTRTREE_TITLE_6	Monster
ATTRTREE_REFINE_TITLE	Verbessern
ATTRTREE_REFINE_UPGRADE	Verbessern
ATTRTREE_REFINE_CANCEL	Abbrechen
SELECT_METIN_DETACH_TITLE	Stein Entfernen
SELECT_METIN_DETACH_INFO	Wähle den zu entfernenden Stein.
SELECT_METIN_DETACH_BUTTON	Enfernen
SELECT_ATTR_DETACH_TITLE	Bonus Entfernen
SELECT_ATTR_DETACH_INFO	Wähle den zu entfernenden Bonus.
SELECT_ATTR_DETACH_BUTTON	Enfernen
QUEST_CATEGORIE_3	Event-Battlepass
QUEST_CATEGORIE_4	Unbegrenzter Battlepass
OFFLINE_SHOP_RENEW_BUTTON	Erneuern
DO_REFINE_ALL	Alle Veredeln
OPTION_QUEST_LETTER	Quest-Briefe
OPTION_QUEST_LETTER_SHOW	einblenden
OPTION_QUEST_LETTER_HIDE	ausblenden
OPTION_PICKUP_ALL	Aufheben
OPTION_PICKUP_FAST	Alles
OPTION_PICKUP_SLOW	Einzeln
SHOP_SEARCH_SORT_DESC	Sortieren
SHOP_SEARCH_SORT_ALPHA_AZ	Alphabetisch - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Alphabetisch - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Einzelpreis aufsteigend
SHOP_SEARCH_SORT_PRICE_DESC	Einzelpreis absteigend
SHOP_SEARCH_SORT_DATE_ASC	Verkaufszeit
SHOP_SEARCH_CAT_DESC	Kategorien
SHOP_SEARCH_CAT_ALL	Alles
SHOP_SEARCH_CAT_WEAPON	Waffen
SHOP_SEARCH_CAT_ARMOR	Rüstungen
SHOP_SEARCH_CAT_JEWELLERY	Schmuck
SHOP_SEARCH_CAT_TALISMAN	Talismane
SHOP_SEARCH_CAT_DRAGONSOUL	Drachensteinalchemie
SHOP_SEARCH_CAT_COSTUME	Kostüm
SHOP_SEARCH_CAT_COSTUME_BONI	Kostüm Boni
SHOP_SEARCH_CAT_SKILLS	Fertigkeiten
SHOP_SEARCH_CAT_POTIONS	Tränke
SHOP_SEARCH_CAT_USABLE	Verbrauchsgegenstände
SHOP_SEARCH_CAT_FISHS	Fische
SHOP_SEARCH_CAT_MOUNTS	Reittiere
SHOP_SEARCH_CAT_PETS	Begleiter
SHOP_SEARCH_CAT_OWNED	Meine Items
LOGIN_SHRINK	Verkleinern
LOGIN_EXTEND	Erweitern
OPTION_USENIGHT	Nacht Modus
OPTION_CAMERA_DISTANCE_HUGE	Extra Fern
SPLIT_ITEM	Komplett aufteilen
PLAYER_SELECT_HAIR_TITLE	Frisur-Wahl
EVENT_JOIN_TITLE	Event-Teilnahme
EVENT_JOIN_ACCEPT_BUTTON	Teleportieren
