ACCE_ABSORB	Absorpcja bonusów
PASSWORD_DESC_3	Czy właśnie zmieniłeś hasło?
PASSWORD_DESC_4	Jeśli nie, Twoje hasło to '000000'.
PASSWORD_DESC_5	Change your password in storage.
PASSWORD_TITLE	Zapamiętywanie Hasła
PICK_MONEY_TITLE	Podziel
PRIVATE_SHOP_CLOSE_BUTTON	Zamknij Sklep
PRIVATE_SHOP_NAME	Nazwa sklepu
PRIVATE_SHOP_TITLE	Otwórz sklep
OFFLINE_SHOP_CREATE_TITLE	Postaw sklep offline
REFINE_COST	Ulepszanie Kosztuje: 0 Yang
REFINE_INFO	Szansa na udane Ulepszenie: 100%
REFINE_TTILE	Ulepszanie
REPORT_VIOLENT_WHISPER	Sneak
RESTART_HERE	Rozpocznij tutaj
RESTART_TOWN	Rozpocznij w Mieście
SAFE_CHANGE_PASSWORD	Zmień Hasło
SAFE_TITLE	Magazyn
SELECT_ATT_GRADE	SIŁA
SELECT_CREATE	Stwórz
SELECT_DELETE	Usuń
SELECT_DEX_GRADE	ZRÊ
SELECT_EMPIRE_NAME	Nazwa Królestwa
SELECT_EXIT	Zamknij
SELECT_HP	P¯
SELECT_LEVEL	Poziom
SELECT_METIN_STONE_TITLE	Wybierz Kamień Duszy
SELECT_NAME	Nazwa
SELECT_NO_GUILD	Brak Gildii
SELECT_PLAYTIME	Czas gry (min.)
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Wybierz Tytuł
SHOP_BUY	Kup
SHOP_SELL	Sprzedaj
SHOP_TITLE	Magazyn
SKILL_SUPPORT_TITLE	Standardowe Umiejętności
SYSTEMOPTION_TITLE	Opcje Systemowe
SYSTEM_CHANGE	Zmień Postać
SYSTEM_EXIT	WyjdŸ z Gry
SYSTEM_HELP	Pomoc
SYSTEM_LOGOUT	Wyloguj
SYSTEM_MALL	Sklep z Przedmiotami
SYSTEM_OPTION	Opcje Systemowe
TASKBAR_MONEY	Pasek pieniędzy
TASKBAR_CHARACTER	Postać [C/V/B/N]
TASKBAR_CHAT	Okno Chatu
TASKBAR_DISABLE	Dezaktywowany
TASKBAR_EXPAND	Rozszerz okno
TASKBAR_INVENTORY	Ekwipunek [I]
TASKBAR_MESSENGER	Wiadomości
TASKBAR_NEXT_QUICKSLOT	Następne Szybkie Pole Dostępu [Shift+Numer, Alt]
TASKBAR_PREV_QUICKSLOT	Poprzednie Szybkie Pole Dostępu [Shift+Numer]
TASKBAR_SYSTEM	Opcje [ESC]
WHISPER_BAN	Blokuj
WHISPER_NAME	Szept
WHISPER_REPORT	reportuj
WHISPER_SEND	Wyślij
YES	Tak
ZONE_MAP	Duża Mapa
INVENTORY_SORT	Sortuj
GUILD_SAFE_TITLE	Magazyn gildii
GUILD_SAFEBOX_MONEY_TITLE	Magazyn gildii - Yang
GUILD_SAFEBOX_MONEY_INFO_TEXT	Ile yangów chcesz zdepozytować lub wypłacić?
GUILD_SAFEBOX_MONEY_GIVE_BUTTON	Depozyt
GUILD_SAFEBOX_MONEY_TAKE_BUTTON	Wypłać
GUILD_SAFE_LOG_TITLE	Logi magazynu gildii
GUILD_SAFE_LOG_BUTTON	Logi
ACCOUNT_PASSWORD_Q	Zapomniałeś?
BDAY_EVENT_DESC_D1	Pokonaj Boss'y
ACCOUNT_USERNAME_Q	Zapomniałeś nazwy konta?
ACCOUNT_REGISTER	Zarejestrować?
ACCOUNT_REGISTER_Q	Nie masz jeszcze konta?
ACCOUNT_CHANNEL	Kanał %d
ACCOUNT_USERNAME_LABEL	Nazwa konta / ID
ACCOUNT_PASSWORD_LABEL	Hasło
ACCOUNT_LOGIN	Zaloguj
ACCOUNT_YOUR_ACCLIST	Twoje konta
SELECT_LANGUAGE_TITLE	Język
LOGIN_EMPTY	[Save acc]
COSTUME_WINDOW_TITLE	Costum
COSTUME_TITLE	 Kostiumy
SYSTEM_CHANNEL	Change Channel
SERVER_INFO_LABEL	Aeldra.net CH
OFFLINE_SHOP_TITLE	Mój sklep
PET_TITLE	Haustier-Übersicht
PET_STAT1_NAME	Witalność
PET_STAT2_NAME	Siła]
PET_STAT3_NAME	Inteligencja
PET_STAT4_NAME	Zręczność
MOUNT_TITLE	Reittier-Übersicht
MOUNT_STAT1_NAME	Strong against Monster
MOUNT_STAT2_NAME	Ochrona przed potworami
MOUNT_STAT3_NAME	Silny przeciwko kamieniom Metin
MOUNT_STAT4_NAME	Strong against Bosses
CHARACTER_VALUE	Właściwości
CHARACTER_STATISTIC	Bonusy
CHAR_STAT_MVSPD	Prędkość chodu
CHAR_STAT_ATSPD	Szybkość ataku
CHAR_STAT_SPSPD	Szybkość zaklęcia:
CHAR_STAT_MAGIC_ATK	Atak magiczny:
CHAR_STAT_NORMAL_ATK	Normalny atak:
CHAR_STAT_MAGIC_DEF	Ochrona przed magią:
CHAR_STAT_NORMAL_DEF	Normalna obrona:
CHAR_STAT_DODGE	Unik:
CHAR_MAIN_HP	(WIT) Witalność:
CHAR_MAIN_INT	(INT) Inteligencja:
CHAR_MAIN_STR	(STR) Siła:
CHAR_MAIN_DEX	Zręczność
CHAR_MAIN_POINTS	Dostępne Punkty:
CHARACTER_BONI_ATTACK	Atak
CHARACTER_BONI_DEFENSE	Obrona
CHARACTER_BONI_PVM	Potwór (PVM)
CHARACTER_BONI_PVP	Gracz (PVP)
CHAR_HP	(PŻ) Punkty życia
CHAR_MP	(PM) Mana
CHAR_EXP_OF	Z
CHARACTER_ANTI_EXP_ACTIVE	Zdobywanie doświadczenia: wyłączone
CHARACTER_ANTI_EXP_INACTIVE	Zdobywanie doświadczenia: włączone
QUEST_CATEGORIE_1	Ogólne
QUEST_CATEGORIE_2	Przepustka sezonowa
TASKBAR_OPEN_CHAT	Otwórz czat
DRAGONSOUL_ACTIVATE	Aktywuj
DRAGONSOUL_REFINE_OPEN	Zwiększ
DRAGONSOUL_PAGE_BUTTON_1	Surowy
DRAGONSOUL_PAGE_BUTTON_2	Szlifowany
DRAGONSOUL_PAGE_BUTTON_3	Rzadki
DRAGONSOUL_PAGE_BUTTON_4	Antyczny
DRAGONSOUL_PAGE_BUTTON_5	Legendarny
DRAGONSOUL_REFINE_WINDOW_TITLE	Okienko uszlachetniania
DRAGONSOUL_TAP_TITLE_1	Smoczy Diament
DRAGONSOUL_TAP_TITLE_2	Smoczy Rubin
DRAGONSOUL_TAP_TITLE_3	Smoczy Jadeit
DRAGONSOUL_TAP_TITLE_4	Smoczy Szafir
DRAGONSOUL_TAP_TITLE_5	Smoczy Granat
DRAGONSOUL_TAP_TITLE_6	Smoczy Onyks
DRAGONSOUL_TITLE	Alchemia Smoczych Kamieni
GRADE_SELECT	Klasa
STEP_SELECT	Stopień czystości
STRENGTH_SELECT	Poziom
DO_REFINE	Uszlachetnij
GAYA_SHOP_TITLE	Sklep Gaya
AUCTION_INFORMER_WINDOW_TITLE	Sprzedany przedmiot
AUCTION_WINDOW_TITLE	Szukaj
AUCTION_PAGE_BUTTON_BUY	Kup
AUCTION_PAGE_BUTTON_SELL	Sprzedaj
AUCTION_SEARCH_EDIT_OVERLAY_TEXT	Nazwa przedmiotu...
AUCTION_SEARCH_BUTTON_TEXT	Szukaj
AUCTION_SEARCH_RESET_BUTTON_TEXT	Resetuj
AUCTION_LV_TEXT_1	Limit poziomu
AUCTION_LV_TEXT_2	do
AUCTION_PRICE_TEXT_1	Limit kosztów
AUCTION_PRICE_TEXT_2	do
AUCTION_PRICE_OVERLAY_2	-(nieograniczony)
AUCTION_ONLY_AUCTIONHOUSE_CHECKBOX	Pokazuj przedmioty tylko z domu aukcyjnego
AUCTION_ONLY_SELF_CHECKBOX	Pokaż tylko moje przedmioty
AUCTION_ORDER_TITLE	Opcje sortowania
AUCTION_ORDER_BUTTON_NAME	Nazwa przedmiotu
AUCTION_ORDER_BUTTON_PRICE	Cena
AUCTION_ORDER_BUTTON_DATE	Data
AUCTION_SELL_NO_ITEM_TEXT	Przeciągnij przedmiot, aby wybrać go do sprzedaży.
AUCTION_SELL_NO_ITEM_DISABLE_TEXT	Opcja sprzedaży jest aktualnie wyłączona.
AUCTION_SELL_ITEM_PRICE_OVERLAY	Wprowadź cenę...
AUCTION_SELL_ITEM_BUTTON	Ustaw
AUCTION_SELL_PRICE_TAX_INFO	Przedmioty umieszczone w Domu Aukcyjnym będą obciążone 9% podatkiem. Wyświetlana cena to wartość którą gracz musi zapłacić. Wartość poniżej wskazuje ile yang dostaniesz faktycznie, jeśli to sprzedasz.
AUCTION_ITEM_PAGE_BUTTON_LEFT_TOOLTIP	10 stron do tyłu
AUCTION_ITEM_PAGE_BUTTON_RIGHT_TOOLTIP	10 stron dalej
AUCTION_RACE_TEXT	Klasa
AUCTION_RACE_TEXT_1	Wojownik
AUCTION_RACE_TEXT_2	Ninja
AUCTION_RACE_TEXT_3	Sura
AUCTION_RACE_TEXT_4	Szaman
AUCTION_RACE_TEXT_5	Lykaner
MINI_GAME_RUMI_DISCARD_TEXT	Tryb bezpieczny
MINI_GAME_RUMI_EXIT	Koniec
MINI_GAME_RUMI_LBUTTON_DESC	LPM aby dodać kartę
MINI_GAME_RUMI_RBUTTON_DESC	PPM aby odrzucić kartę
MINI_GAME_RUMI_SCORE	Punkty
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Gra karciana Okey Metin2
OPTION_ITEM_HIGHLIGHT	Nowe przedmioty
OPTION_ITEM_HIGHLIGHT_ON	Zaznaczenie
OPTION_ITEM_HIGHLIGHT_OFF	Nic
OPTION_GOLD_PICKUP	Podniesienie Yang
OPTION_GOLD_PICKUP_ON	Aktywny
OPTION_GOLD_PICKUP_OFF	Nie aktywne
WEB_LOADING_TITLE	Ładowanie przeglądarki...
WEB_LOADING_DESC	Prosimy o chwilę cierpliwości.
ANTIEXP_TOOLTIP	Anty-EXP
OPTION_DISABLE_PICKUP	Nie podnoś
OPTION_DISABLE_PICKUP_ARMOR	Zbroje
OPTION_DISABLE_PICKUP_WEAPON	Bronie
OPTION_DISABLE_PICKUP_ETC	Biżuterie
GUILD_DRAGONLAIR_RANKING	Rankingi
GUILD_DRAGONLAIR_RANKING_COUNT	Ranga
GUILD_DRAGONLAIR_RANKING_MEMBER	Członek
GUILD_DRAGONLAIR_RANKING_NAME	Gildia
GUILD_DRAGONLAIR_RANKING_TIME	Czas
FAKEBUFF_SKILL_TITLE	Umiejętności Buffi
ATTRTREE_TITLE_1	Wojownik
ATTRTREE_TITLE_2	Ninja
ATTRTREE_TITLE_3	Sura
ATTRTREE_TITLE_4	Szaman
ATTRTREE_TITLE_5	Specjalne
ATTRTREE_TITLE_6	Potwór
ATTRTREE_REFINE_TITLE	Ulepsz
ATTRTREE_REFINE_UPGRADE	Zwiększ
ATTRTREE_REFINE_CANCEL	Anuluj
SELECT_METIN_DETACH_TITLE	Usuń kamień
SELECT_METIN_DETACH_INFO	Wybierz kamień do usunięcia.
SELECT_METIN_DETACH_BUTTON	Usuń
SELECT_ATTR_DETACH_TITLE	Usuń bonus
SELECT_ATTR_DETACH_INFO	Wybierz bonus do usunięcia.
SELECT_ATTR_DETACH_BUTTON	Usuń
QUEST_CATEGORIE_3	Wydarzenie - Przepustka Bitewna
QUEST_CATEGORIE_4	Unlimited Battlepass
OFFLINE_SHOP_RENEW_BUTTON	Odnów
DO_REFINE_ALL	Ulepsz wszystkie
OPTION_QUEST_LETTER	Ikony misji
OPTION_QUEST_LETTER_SHOW	Pokaż
OPTION_QUEST_LETTER_HIDE	Schowaj
OPTION_PICKUP_ALL	Podnieś
OPTION_PICKUP_FAST	Wszystkie
OPTION_PICKUP_SLOW	Pojedyńczy
SHOP_SEARCH_SORT_DESC	Sortuj
SHOP_SEARCH_SORT_ALPHA_AZ	Alfabetycznie - A-Z
SHOP_SEARCH_SORT_ALPHA_ZA	Alfabetycznie - Z-A
SHOP_SEARCH_SORT_PRICE_ASC	Cena rosnąco
SHOP_SEARCH_SORT_PRICE_DESC	Cena malejąco
SHOP_SEARCH_CAT_DESC	Kategorie
SHOP_SEARCH_CAT_ALL	Wszystko
SHOP_SEARCH_CAT_WEAPON	Bronie
SHOP_SEARCH_CAT_ARMOR	Zbroja
SHOP_SEARCH_CAT_JEWELLERY	Biżuteria
SHOP_SEARCH_CAT_TALISMAN	Talizman
SHOP_SEARCH_CAT_DRAGONSOUL	Alchemia Smoczych Kamieni
SHOP_SEARCH_CAT_COSTUME	Kostium
SHOP_SEARCH_CAT_COSTUME_BONI	Bonus Kostiumu
SHOP_SEARCH_CAT_SKILLS	Umiejętności
